item,count,percentage
1001,104,5.72
1004,7,0.39
1006,4,0.22
1011,175,9.63
1018,2,0.11
1027,49,2.7
1028,268,14.75
1029,194,10.68
1031,238,13.1
1033,75,4.13
1036,39,2.15
1037,2,0.11
1038,17,0.94
1039,7,0.39
1042,14,0.77
1043,2,0.11
1051,6,0.33
1053,1,0.06
1054,374,20.58
1055,9,0.5
1056,1,0.06
1057,74,4.07
1400,23,1.27
1401,359,19.76
1408,1,0.06
1409,34,1.87
1412,4,0.22
1413,28,1.54
2003,40,2.2
2010,22,1.21
2031,245,13.48
2032,13,0.72
2033,231,12.71
2045,31,1.71
2049,63,3.47
2053,5,0.28
2055,70,3.85
2302,4,0.22
2303,101,5.56
3001,15,0.83
3006,3,0.17
3009,96,5.28
3010,1,0.06
3020,1,0.06
3022,20,1.1
3024,82,4.51
3025,488,26.86
3026,62,3.41
3031,8,0.44
3044,41,2.26
3046,2,0.11
3047,851,46.84
3050,8,0.44
3052,21,1.16
3053,17,0.94
3057,93,5.12
3060,5,0.28
3065,584,32.14
3067,135,7.43
3068,829,45.62
3069,2,0.11
3070,1,0.06
3071,69,3.8
3072,1,0.06
3074,3,0.17
3075,256,14.09
3076,112,6.16
3077,18,0.99
3078,171,9.41
3082,140,7.71
3083,60,3.3
3087,7,0.39
3096,1,0.06
3097,33,1.82
3101,20,1.1
3105,22,1.21
3107,27,1.49
3109,97,5.34
3110,34,1.87
3111,602,33.13
3114,1,0.06
3115,1,0.06
3117,60,3.3
3123,3,0.17
3124,1,0.06
3133,3,0.17
3134,2,0.11
3139,1,0.06
3142,12,0.66
3143,194,10.68
3144,5,0.28
3146,1,0.06
3147,20,1.1
3153,1,0.06
3155,7,0.39
3156,14,0.77
3158,12,0.66
3190,101,5.56
3193,218,12.0
3194,95,5.23
3211,155,8.53
3301,2,0.11
3302,33,1.82
3340,1427,78.54
3341,46,2.53
3363,96,5.28
3364,245,13.48
3373,4,0.22
3379,3,0.17
3380,1,0.06
3383,4,0.22
3384,3,0.17
3401,139,7.65
3504,2,0.11
3508,1,0.06
3512,19,1.05
3706,3,0.17
3711,2,0.11
3742,411,22.62
3748,46,2.53
3751,115,6.33
3800,64,3.52
3801,28,1.54
3812,2,0.11
3814,3,0.17
