item,count,percentage
1001,92,7.38
1011,7,0.56
1018,42,3.37
1028,21,1.68
1029,18,1.44
1031,2,0.16
1033,21,1.68
1036,171,13.71
1037,79,6.34
1038,181,14.51
1041,6,0.48
1042,125,10.02
1043,7,0.56
1051,41,3.29
1053,83,6.66
1054,19,1.52
1055,441,35.36
1083,1,0.08
1400,14,1.12
1408,3,0.24
1412,139,11.15
1416,4,0.32
1419,6,0.48
2003,46,3.69
2010,19,1.52
2015,37,2.97
2031,90,7.22
2032,6,0.48
2033,8,0.64
2045,1,0.08
2055,18,1.44
2301,1,0.08
3006,718,57.58
3009,70,5.61
3022,13,1.04
3025,2,0.16
3026,86,6.9
3031,401,32.16
3033,28,2.25
3034,17,1.36
3035,39,3.13
3036,102,8.18
3044,12,0.96
3046,276,22.13
3047,104,8.34
3052,7,0.56
3053,5,0.4
3057,1,0.08
3065,4,0.32
3067,7,0.56
3069,1,0.08
3071,28,2.25
3072,92,7.38
3075,4,0.32
3078,13,1.04
3082,1,0.08
3085,37,2.97
3086,120,9.62
3087,357,28.63
3091,1,0.08
3094,43,3.45
3101,1,0.08
3111,45,3.61
3117,113,9.06
3123,7,0.56
3124,1,0.08
3133,87,6.98
3134,149,11.95
3139,40,3.21
3140,16,1.28
3142,622,49.88
3143,1,0.08
3144,22,1.76
3146,1,0.08
3147,794,63.67
3153,104,8.34
3155,51,4.09
3156,46,3.69
3158,9,0.72
3211,1,0.08
3252,1,0.08
3303,1,0.08
3340,1034,82.92
3341,6,0.48
3363,155,12.43
3364,46,3.69
3371,16,1.28
3384,1,0.08
3508,41,3.29
3513,1,0.08
3715,10,0.8
3742,13,1.04
3751,1,0.08
3812,34,2.73
3814,101,8.1
