item,count,percentage
1001,585,8.91
1004,292,4.45
1006,84,1.28
1011,96,1.46
1026,57,0.87
1027,24,0.37
1028,398,6.07
1029,490,7.47
1031,413,6.29
1033,364,5.55
1036,2,0.03
1038,1,0.02
1042,2,0.03
1043,1,0.02
1051,1,0.02
1052,130,1.98
1053,1,0.02
1054,4,0.06
1055,3,0.05
1056,20,0.3
1057,47,0.72
1058,30,0.46
1082,47,0.72
1401,2,0.03
1402,2,0.03
1409,1,0.02
1414,2,0.03
1416,1,0.02
2003,26,0.4
2010,529,8.06
2011,9,0.14
2031,337,5.14
2032,2,0.03
2033,10,0.15
2045,792,12.07
2049,1825,27.81
2053,71,1.08
2055,900,13.72
2138,1,0.02
2301,248,3.78
2302,2583,39.36
2303,14,0.21
3001,30,0.46
3004,1,0.02
3006,5,0.08
3009,347,5.29
3010,14,0.21
3020,31,0.47
3022,4,0.06
3024,239,3.64
3025,10,0.15
3026,3,0.05
3027,25,0.38
3028,19,0.29
3030,4,0.06
3031,2,0.03
3033,1,0.02
3041,11,0.17
3044,1,0.02
3046,1,0.02
3047,902,13.75
3050,639,9.74
3053,2,0.03
3056,4,0.06
3057,3,0.05
3060,14,0.21
3065,82,1.25
3067,467,7.12
3068,50,0.76
3069,2306,35.14
3070,28,0.43
3075,52,0.79
3076,51,0.78
3078,2,0.03
3082,64,0.98
3083,56,0.85
3085,1,0.02
3087,5,0.08
3089,23,0.35
3091,1,0.02
3092,40,0.61
3096,746,11.37
3097,7,0.11
3098,58,0.88
3100,16,0.24
3101,2,0.03
3102,128,1.95
3105,520,7.92
3107,3022,46.05
3108,101,1.54
3109,1591,24.25
3110,37,0.56
3111,1755,26.74
3113,236,3.6
3114,650,9.91
3115,5,0.08
3116,24,0.37
3117,1992,30.36
3124,2,0.03
3133,1,0.02
3135,8,0.12
3136,2,0.03
3140,2,0.03
3143,69,1.05
3144,2,0.03
3145,8,0.12
3146,11,0.17
3147,2,0.03
3151,8,0.12
3152,26,0.4
3153,2,0.03
3157,134,2.04
3158,638,9.72
3165,19,0.29
3174,60,0.91
3190,1132,17.25
3191,43,0.66
3193,60,0.91
3194,27,0.41
3211,39,0.59
3222,79,1.2
3285,25,0.38
3301,326,4.97
3302,5,0.08
3303,31,0.47
3340,1807,27.54
3341,791,12.05
3363,45,0.69
3364,3903,59.48
3373,1,0.02
3374,3,0.05
3382,90,1.37
3383,42,0.64
3401,34,0.52
3504,3997,60.91
3508,1,0.02
3512,32,0.49
3742,76,1.16
3751,15,0.23
3800,321,4.89
3801,537,8.18
3802,1,0.02
