item,count,percentage
1001,164,4.42
1006,15,0.4
1011,250,6.73
1018,1,0.03
1028,406,10.93
1029,347,9.34
1031,319,8.59
1033,135,3.63
1036,335,9.02
1037,64,1.72
1038,100,2.69
1042,16,0.43
1043,15,0.4
1053,176,4.74
1054,621,16.72
1055,1176,31.66
1056,6,0.16
1057,47,1.27
1083,4,0.11
1400,8,0.22
1401,4,0.11
1408,2,0.05
1412,17,0.46
1413,3,0.08
1419,5,0.13
2003,96,2.58
2010,6,0.16
2031,299,8.05
2032,1,0.03
2033,16,0.43
2045,2,0.05
2053,4,0.11
2055,89,2.4
2138,1,0.03
2140,5,0.13
2303,1,0.03
3001,2,0.05
3006,3,0.08
3009,22,0.59
3010,1,0.03
3022,20,0.54
3024,2,0.05
3026,387,10.42
3031,7,0.19
3033,16,0.43
3035,6,0.16
3036,5,0.13
3044,174,4.68
3046,11,0.3
3047,2535,68.26
3050,1,0.03
3052,240,6.46
3053,381,10.26
3060,1,0.03
3065,653,17.58
3067,228,6.14
3068,192,5.17
3070,28,0.75
3071,3015,81.18
3072,10,0.27
3074,814,21.92
3075,404,10.88
3076,194,5.22
3077,608,16.37
3078,9,0.24
3082,171,4.6
3083,21,0.57
3086,5,0.13
3087,6,0.16
3091,1,0.03
3094,1,0.03
3097,3,0.08
3101,2,0.05
3105,10,0.27
3109,17,0.46
3110,4,0.11
3111,820,22.08
3117,5,0.13
3123,23,0.62
3133,161,4.33
3134,29,0.78
3139,3,0.08
3140,6,0.16
3142,93,2.5
3143,292,7.86
3144,32,0.86
3146,1,0.03
3147,86,2.32
3153,151,4.07
3155,196,5.28
3156,284,7.65
3158,15,0.4
3190,31,0.83
3191,2,0.05
3193,173,4.66
3194,41,1.1
3211,257,6.92
3302,4,0.11
3340,3267,87.96
3341,4,0.11
3363,293,7.89
3364,142,3.82
3380,21,0.57
3401,2,0.05
3508,2,0.05
3512,11,0.3
3706,1,0.03
3742,664,17.88
3748,1436,38.66
3751,32,0.86
3800,1,0.03
3801,3,0.08
3812,263,7.08
3814,5,0.13
