item,count,percentage
1001,203,9.76
1006,6,0.29
1011,38,1.83
1018,31,1.49
1026,4,0.19
1028,112,5.39
1029,112,5.39
1031,34,1.64
1033,25,1.2
1036,409,19.67
1037,113,5.44
1038,192,9.24
1039,14,0.67
1041,59,2.84
1042,8,0.38
1043,1,0.05
1051,3,0.14
1052,7,0.34
1053,39,1.88
1054,26,1.25
1055,138,6.64
1057,4,0.19
1400,108,5.19
1401,2,0.1
1402,1,0.05
1408,48,2.31
1409,3,0.14
1412,1209,58.15
1413,16,0.77
1414,2,0.1
1416,1,0.05
1419,1,0.05
2003,57,2.74
2010,7,0.34
2015,6,0.29
2031,341,16.4
2032,28,1.35
2033,1,0.05
2045,2,0.1
2049,1,0.05
2055,48,2.31
2140,2,0.1
2303,1,0.05
3006,5,0.24
3009,62,2.98
3020,4,0.19
3022,4,0.19
3024,1,0.05
3026,296,14.24
3031,301,14.48
3033,29,1.39
3034,7,0.34
3035,21,1.01
3036,45,2.16
3044,109,5.24
3046,13,0.63
3047,497,23.91
3050,1,0.05
3052,15,0.72
3053,21,1.01
3056,1,0.05
3057,2,0.1
3065,111,5.34
3067,118,5.68
3068,7,0.34
3070,17,0.82
3071,596,28.67
3072,17,0.82
3074,94,4.52
3075,24,1.15
3076,19,0.91
3077,67,3.22
3078,14,0.67
3082,16,0.77
3083,4,0.19
3086,13,0.63
3087,50,2.41
3089,2,0.1
3094,3,0.14
3096,1,0.05
3097,1,0.05
3100,2,0.1
3101,1,0.05
3102,25,1.2
3107,1,0.05
3108,16,0.77
3109,2,0.1
3111,319,15.34
3113,1,0.05
3117,216,10.39
3123,11,0.53
3124,1,0.05
3133,194,9.33
3134,312,15.01
3135,1,0.05
3136,1,0.05
3139,3,0.14
3140,10,0.48
3142,1038,49.93
3143,26,1.25
3144,1,0.05
3146,1,0.05
3147,1395,67.1
3151,2,0.1
3152,4,0.19
3153,3,0.14
3155,38,1.83
3156,41,1.97
3157,13,0.63
3158,636,30.59
3190,2,0.1
3191,5,0.24
3193,5,0.24
3194,2,0.1
3211,31,1.49
3252,3,0.14
3285,1,0.05
3301,1,0.05
3302,5,0.24
3340,1490,71.67
3341,22,1.06
3363,151,7.26
3364,407,19.58
3371,10,0.48
3380,12,0.58
3384,1,0.05
3401,3,0.14
3508,5,0.24
3512,1,0.05
3706,9,0.43
3711,3,0.14
3715,57,2.74
3742,97,4.67
3748,30,1.44
3751,2,0.1
3800,2,0.1
3801,1,0.05
3812,93,4.47
3814,220,10.58
