item,count,percentage
1001,67,4.4
1011,4,0.26
1026,414,27.17
1028,89,5.84
1029,54,3.54
1031,7,0.46
1033,39,2.56
1037,1,0.07
1038,3,0.2
1039,5,0.33
1042,1,0.07
1052,376,24.67
1054,593,38.91
1056,11,0.72
1057,16,1.05
1058,164,10.76
1082,32,2.1
1083,6,0.39
1401,1,0.07
1402,118,7.74
1410,15,0.98
1414,13,0.85
2003,64,4.2
2010,15,0.98
2015,1,0.07
2031,183,12.01
2032,1,0.07
2033,9,0.59
2049,2,0.13
2053,2,0.13
2055,55,3.61
2139,2,0.13
2303,2,0.13
3001,34,2.23
3009,3,0.2
3010,9,0.59
3020,1082,71.0
3025,1,0.07
3026,1,0.07
3041,6,0.39
3047,219,14.37
3065,6,0.39
3067,28,1.84
3068,6,0.39
3070,9,0.59
3075,4,0.26
3076,5,0.33
3082,8,0.52
3086,1,0.07
3089,177,11.61
3092,1,0.07
3097,1,0.07
3102,117,7.68
3107,1,0.07
3108,111,7.28
3111,92,6.04
3113,2,0.13
3116,691,45.34
3117,2,0.13
3135,413,27.1
3136,92,6.04
3143,6,0.39
3144,1,0.07
3145,35,2.3
3146,3,0.2
3151,1326,87.01
3152,218,14.3
3157,903,59.25
3158,7,0.46
3190,1,0.07
3191,136,8.92
3193,2,0.13
3194,5,0.33
3211,17,1.12
3285,14,0.92
3302,1,0.07
3303,3,0.2
3340,1265,83.01
3341,4,0.26
3363,167,10.96
3364,83,5.45
3374,2,0.13
3379,2,0.13
3401,1,0.07
3512,1,0.07
3715,1,0.07
3742,6,0.39
3751,1,0.07
3801,4,0.26
