item,count,percentage
1001,174,7.03
1004,4,0.16
1006,11,0.44
1011,33,1.33
1018,44,1.78
1026,55,2.22
1027,10,0.4
1028,96,3.88
1029,93,3.76
1031,22,0.89
1033,20,0.81
1036,259,10.46
1037,129,5.21
1038,218,8.8
1039,3,0.12
1041,347,14.01
1042,75,3.03
1043,15,0.61
1051,24,0.97
1052,53,2.14
1053,69,2.79
1054,8,0.32
1055,1,0.04
1056,101,4.08
1057,15,0.61
1058,37,1.49
1082,23,0.93
1400,569,22.98
1401,26,1.05
1402,72,2.91
1408,9,0.36
1409,5,0.2
1410,1,0.04
1412,324,13.09
1413,42,1.7
1414,9,0.36
1416,33,1.33
1418,1,0.04
1419,52,2.1
2003,16,0.65
2010,8,0.32
2015,35,1.41
2031,565,22.82
2032,63,2.54
2033,116,4.68
2045,5,0.2
2049,8,0.32
2053,9,0.36
2055,55,2.22
2139,2,0.08
2140,1,0.04
2301,6,0.24
2302,11,0.44
2303,2,0.08
3001,6,0.24
3003,1,0.04
3004,1,0.04
3006,330,13.33
3009,175,7.07
3010,5,0.2
3020,137,5.53
3022,18,0.73
3024,12,0.48
3025,12,0.48
3026,256,10.34
3027,9,0.36
3030,4,0.16
3031,448,18.09
3033,22,0.89
3034,5,0.2
3035,12,0.48
3036,42,1.7
3040,3,0.12
3041,10,0.4
3042,8,0.32
3044,90,3.63
3046,43,1.74
3047,383,15.47
3052,48,1.94
3053,53,2.14
3057,99,4.0
3060,6,0.24
3065,13,0.53
3067,57,2.3
3068,31,1.25
3069,3,0.12
3070,11,0.44
3071,149,6.02
3072,17,0.69
3074,353,14.26
3075,31,1.25
3076,14,0.57
3077,687,27.75
3078,439,17.73
3082,16,0.65
3083,9,0.36
3086,57,2.3
3087,420,16.96
3089,51,2.06
3091,7,0.28
3092,16,0.65
3094,2,0.08
3096,12,0.48
3097,3,0.12
3098,11,0.44
3100,131,5.29
3101,48,1.94
3102,7,0.28
3105,1,0.04
3107,3,0.12
3108,23,0.93
3109,10,0.4
3110,21,0.85
3111,192,7.75
3113,41,1.66
3114,2,0.08
3115,5,0.2
3116,18,0.73
3117,787,31.79
3123,17,0.69
3124,5,0.2
3133,114,4.6
3134,199,8.04
3135,28,1.13
3136,22,0.89
3139,7,0.28
3140,4,0.16
3142,384,15.51
3143,20,0.81
3144,24,0.97
3145,28,1.13
3146,105,4.24
3147,1111,44.87
3151,30,1.21
3152,224,9.05
3153,43,1.74
3155,62,2.5
3156,49,1.98
3157,89,3.59
3158,141,5.69
3165,51,2.06
3174,1,0.04
3190,3,0.12
3191,12,0.48
3193,7,0.28
3194,8,0.32
3211,11,0.44
3252,9,0.36
3285,70,2.83
3301,3,0.12
3302,6,0.24
3303,7,0.28
3340,1881,75.97
3341,36,1.45
3363,93,3.76
3364,453,18.3
3371,7,0.28
3380,5,0.2
3384,12,0.48
3401,3,0.12
3504,2,0.08
3508,11,0.44
3512,16,0.65
3513,2,0.08
3706,101,4.08
3711,3,0.12
3715,73,2.95
3742,48,1.94
3748,305,12.32
3751,10,0.4
3800,2,0.08
3801,1,0.04
3802,4,0.16
3812,24,0.97
3814,36,1.45
