item,count,percentage
1001,221,7.23
1004,5,0.16
1006,55,1.8
1011,325,10.63
1026,3,0.1
1027,2,0.07
1028,551,18.03
1029,333,10.9
1031,394,12.89
1033,151,4.94
1036,111,3.63
1038,7,0.23
1041,1,0.03
1042,12,0.39
1043,11,0.36
1051,1,0.03
1052,2,0.07
1053,5,0.16
1054,1304,42.67
1055,26,0.85
1057,103,3.37
1083,2,0.07
1400,2,0.07
1401,65,2.13
1409,19,0.62
1412,3,0.1
1413,164,5.37
1416,4,0.13
1419,6,0.2
2003,107,3.5
2010,32,1.05
2031,231,7.56
2032,2,0.07
2033,24,0.79
2045,61,2.0
2049,107,3.5
2053,22,0.72
2055,154,5.04
2138,2,0.07
2303,159,5.2
3001,14,0.46
3006,9,0.29
3009,59,1.93
3010,2,0.07
3020,1,0.03
3022,29,0.95
3024,10,0.33
3025,7,0.23
3026,8,0.26
3028,1,0.03
3031,1,0.03
3034,1,0.03
3035,1,0.03
3044,13,0.43
3046,1,0.03
3047,1401,45.84
3050,1,0.03
3052,202,6.61
3053,7,0.23
3056,1,0.03
3057,7,0.23
3060,3,0.1
3065,783,25.62
3067,240,7.85
3068,1892,61.91
3069,5,0.16
3071,14,0.46
3072,1,0.03
3074,2,0.07
3075,494,16.16
3076,214,7.0
3077,417,13.65
3078,25,0.82
3082,196,6.41
3083,288,9.42
3086,1,0.03
3087,4,0.13
3089,1,0.03
3091,28,0.92
3096,1,0.03
3097,53,1.73
3100,1,0.03
3101,9,0.29
3102,2,0.07
3105,37,1.21
3107,28,0.92
3108,2,0.07
3109,162,5.3
3110,9,0.29
3111,1110,36.32
3113,1,0.03
3114,6,0.2
3115,3,0.1
3117,47,1.54
3123,7,0.23
3124,1,0.03
3133,2,0.07
3134,1,0.03
3142,4,0.13
3143,268,8.77
3144,3,0.1
3146,1,0.03
3147,2,0.07
3151,1,0.03
3152,1,0.03
3153,25,0.82
3155,4,0.13
3156,3,0.1
3158,72,2.36
3190,155,5.07
3193,257,8.41
3194,223,7.3
3211,305,9.98
3285,1,0.03
3302,34,1.11
3340,2462,80.56
3341,52,1.7
3363,204,6.68
3364,332,10.86
3373,20,0.65
3380,1,0.03
3382,3,0.1
3383,2,0.07
3384,1,0.03
3401,223,7.3
3504,8,0.26
3508,1,0.03
3512,45,1.47
3513,2,0.07
3706,2,0.07
3742,335,10.96
3748,1303,42.64
3751,162,5.3
3800,7,0.23
3801,85,2.78
3814,1,0.03
