item,count,percentage
1001,166,7.06
1004,1,0.04
1006,15,0.64
1011,297,12.64
1026,4,0.17
1028,359,15.28
1029,179,7.62
1031,209,8.89
1033,67,2.85
1036,118,5.02
1037,7,0.3
1038,14,0.6
1039,6,0.26
1041,55,2.34
1042,53,2.26
1043,98,4.17
1052,3,0.13
1053,48,2.04
1054,51,2.17
1055,18,0.77
1057,24,1.02
1082,1,0.04
1400,16,0.68
1401,76,3.23
1402,1,0.04
1408,1,0.04
1409,1,0.04
1412,6,0.26
1413,39,1.66
1416,1296,55.15
1418,17,0.72
1419,627,26.68
2003,19,0.81
2010,4,0.17
2031,796,33.87
2032,64,2.72
2033,8,0.34
2053,3,0.13
2055,70,2.98
2138,1,0.04
3001,7,0.3
3006,37,1.57
3009,120,5.11
3010,1,0.04
3020,7,0.3
3022,651,27.7
3024,1,0.04
3025,5,0.21
3026,39,1.66
3027,1,0.04
3031,5,0.21
3033,5,0.21
3035,2,0.09
3044,50,2.13
3046,2,0.09
3047,750,31.91
3050,1,0.04
3052,264,11.23
3053,25,1.06
3057,24,1.02
3065,391,16.64
3067,82,3.49
3068,92,3.91
3069,1,0.04
3070,2,0.09
3071,32,1.36
3072,7,0.3
3074,26,1.11
3075,382,16.26
3076,137,5.83
3077,187,7.96
3078,196,8.34
3082,111,4.72
3083,27,1.15
3086,2,0.09
3087,5,0.21
3089,1,0.04
3091,28,1.19
3094,1,0.04
3097,1,0.04
3100,2,0.09
3101,32,1.36
3102,2,0.09
3105,2,0.09
3108,1,0.04
3109,15,0.64
3110,4,0.17
3111,1097,46.68
3115,4,0.17
3116,7,0.3
3117,31,1.32
3123,3,0.13
3124,22,0.94
3133,2,0.09
3134,1,0.04
3135,2,0.09
3139,2,0.09
3140,1,0.04
3142,5,0.21
3143,144,6.13
3144,104,4.43
3146,4,0.17
3147,6,0.26
3151,4,0.17
3152,2,0.09
3153,561,23.87
3155,9,0.38
3156,25,1.06
3157,1,0.04
3158,9,0.38
3190,16,0.68
3193,45,1.91
3194,38,1.62
3211,167,7.11
3285,2,0.09
3340,1914,81.45
3341,15,0.64
3363,60,2.55
3364,353,15.02
3371,1,0.04
3373,3,0.13
3379,1,0.04
3380,3,0.13
3383,1,0.04
3384,17,0.72
3508,1,0.04
3512,7,0.3
3513,2,0.09
3706,20,0.85
3711,1,0.04
3715,7,0.3
3742,462,19.66
3748,1173,49.91
3751,22,0.94
3800,3,0.13
3801,7,0.3
3812,10,0.43
3814,3,0.13
