item,count,percentage
1001,26,1.89
1006,8,0.58
1011,103,7.47
1026,117,8.48
1027,7,0.51
1028,95,6.89
1029,70,5.08
1031,90,6.53
1033,24,1.74
1038,1,0.07
1039,1,0.07
1052,49,3.55
1054,13,0.94
1056,54,3.92
1057,84,6.09
1058,11,0.8
1082,588,42.64
1401,14,1.02
1402,16,1.16
1409,1,0.07
1410,1,0.07
1413,1,0.07
1414,1,0.07
2003,3,0.22
2010,2,0.15
2031,115,8.34
2032,11,0.8
2033,491,35.61
2045,3,0.22
2049,3,0.22
2053,55,3.99
2055,11,0.8
2301,1,0.07
3001,199,14.43
3003,4,0.29
3009,598,43.36
3010,37,2.68
3020,21,1.52
3024,34,2.47
3025,2,0.15
3027,149,10.8
3030,8,0.58
3040,27,1.96
3041,45,3.26
3047,409,29.66
3050,2,0.15
3057,3,0.22
3060,11,0.8
3065,150,10.88
3067,28,2.03
3068,22,1.6
3069,8,0.58
3070,28,2.03
3071,1,0.07
3075,249,18.06
3076,93,6.74
3082,43,3.12
3083,37,2.68
3089,11,0.8
3096,2,0.15
3097,5,0.36
3100,4,0.29
3102,22,1.6
3105,8,0.58
3107,3,0.22
3108,11,0.8
3109,39,2.83
3110,17,1.23
3111,272,19.72
3113,7,0.51
3116,872,63.23
3117,6,0.44
3134,1,0.07
3135,11,0.8
3136,101,7.32
3140,2,0.15
3142,1,0.07
3143,49,3.55
3145,4,0.29
3146,2,0.15
3151,447,32.41
3152,2,0.15
3155,1,0.07
3157,3,0.22
3158,2,0.15
3165,3,0.22
3174,1,0.07
3190,39,2.83
3191,4,0.29
3193,41,2.97
3194,24,1.74
3211,54,3.92
3285,13,0.94
3301,1,0.07
3302,3,0.22
3340,1213,87.96
3341,2,0.15
3363,108,7.83
3364,53,3.84
3373,2,0.15
3379,7,0.51
3401,6,0.44
3504,3,0.22
3512,292,21.17
3513,1,0.07
3706,2,0.15
3742,331,24.0
3748,1,0.07
3751,12,0.87
3800,724,52.5
3801,37,2.68
3802,1,0.07
