item,count,percentage
1001,167,4.35
1011,1,0.03
1018,175,4.55
1027,6,0.16
1028,1,0.03
1029,54,1.41
1033,32,0.83
1036,319,8.3
1037,331,8.61
1038,841,21.88
1042,446,11.61
1043,17,0.44
1051,100,2.6
1053,521,13.56
1054,183,4.76
1055,1719,44.73
1056,5,0.13
1083,55,1.43
1412,2,0.05
1419,2,0.05
2003,134,3.49
2010,91,2.37
2015,83,2.16
2031,160,4.16
2033,2,0.05
2049,1,0.03
2055,103,2.68
2140,2,0.05
3004,2,0.05
3006,3266,84.99
3009,21,0.55
3022,6,0.16
3026,254,6.61
3031,1991,51.81
3033,201,5.23
3034,43,1.12
3035,206,5.36
3036,439,11.42
3042,2,0.05
3044,4,0.1
3046,1748,45.49
3047,155,4.03
3052,4,0.1
3053,4,0.1
3056,2,0.05
3057,1,0.03
3065,1,0.03
3067,2,0.05
3068,1,0.03
3070,25,0.65
3071,5,0.13
3072,553,14.39
3075,2,0.05
3076,1,0.03
3078,8,0.21
3082,2,0.05
3085,40,1.04
3086,414,10.77
3087,1568,40.8
3091,1,0.03
3094,370,9.63
3097,8,0.21
3101,2,0.05
3111,36,0.94
3115,1,0.03
3117,2,0.05
3123,77,2.0
3124,4,0.1
3133,94,2.45
3134,6,0.16
3139,107,2.78
3140,80,2.08
3142,18,0.47
3143,2,0.05
3144,49,1.28
3147,11,0.29
3153,102,2.65
3155,49,1.28
3156,51,1.33
3157,1,0.03
3158,29,0.75
3165,1,0.03
3193,1,0.03
3211,1,0.03
3302,8,0.21
3340,2133,55.5
3341,2,0.05
3363,1682,43.77
3364,22,0.57
3371,68,1.77
3380,1,0.03
3508,3135,81.58
3711,1,0.03
3751,6,0.16
3800,2,0.05
3812,59,1.54
3814,3,0.08
