item,count,percentage
1001,33,6.0
1006,3,0.55
1011,72,13.09
1026,2,0.36
1027,14,2.55
1028,66,12.0
1029,38,6.91
1031,57,10.36
1033,22,4.0
1036,29,5.27
1039,9,1.64
1042,13,2.36
1043,7,1.27
1052,2,0.36
1053,1,0.18
1054,9,1.64
1057,21,3.82
1400,193,35.09
1401,211,38.36
1402,2,0.36
1408,2,0.36
1409,22,4.0
1412,9,1.64
1413,27,4.91
1414,1,0.18
1416,15,2.73
1418,1,0.18
1419,4,0.73
2003,6,1.09
2010,1,0.18
2031,166,30.18
2032,55,10.0
2033,7,1.27
2045,1,0.18
2049,2,0.36
2053,3,0.55
2055,19,3.45
2303,3,0.55
3001,32,5.82
3006,5,0.91
3009,70,12.73
3010,9,1.64
3020,1,0.18
3022,1,0.18
3024,19,3.45
3025,81,14.73
3026,2,0.36
3028,1,0.18
3031,1,0.18
3042,1,0.18
3044,25,4.55
3047,139,25.27
3050,4,0.73
3052,31,5.64
3053,62,11.27
3057,37,6.73
3065,42,7.64
3067,17,3.09
3068,3,0.55
3069,6,1.09
3071,19,3.45
3075,40,7.27
3076,26,4.73
3077,5,0.91
3078,272,49.45
3082,27,4.91
3083,27,4.91
3086,1,0.18
3087,1,0.18
3091,10,1.82
3097,1,0.18
3101,17,3.09
3105,6,1.09
3108,1,0.18
3109,14,2.55
3110,4,0.73
3111,267,48.55
3113,1,0.18
3115,2,0.36
3116,3,0.55
3117,11,2.0
3124,1,0.18
3133,3,0.55
3134,2,0.36
3142,1,0.18
3143,35,6.36
3144,3,0.55
3145,1,0.18
3146,3,0.55
3152,2,0.36
3153,3,0.55
3155,3,0.55
3156,1,0.18
3158,8,1.45
3190,17,3.09
3193,24,4.36
3194,16,2.91
3211,21,3.82
3302,3,0.55
3340,418,76.0
3341,14,2.55
3363,9,1.64
3364,108,19.64
3373,1,0.18
3383,2,0.36
3384,5,0.91
3401,1,0.18
3512,6,1.09
3513,1,0.18
3706,10,1.82
3715,4,0.73
3742,181,32.91
3748,16,2.91
3751,3,0.55
3800,85,15.45
3801,14,2.55
3812,1,0.18
