item,count,percentage
1001,753,14.32
1004,363,6.9
1006,38,0.72
1011,24,0.46
1018,1,0.02
1026,261,4.96
1027,99,1.88
1028,179,3.4
1029,168,3.19
1031,29,0.55
1033,212,4.03
1037,1,0.02
1038,3,0.06
1039,1,0.02
1042,2,0.04
1043,1,0.02
1052,452,8.59
1055,3,0.06
1056,95,1.81
1057,9,0.17
1058,381,7.24
1082,94,1.79
1402,4,0.08
1419,1,0.02
2003,58,1.1
2010,436,8.29
2031,259,4.92
2032,2,0.04
2033,19,0.36
2045,182,3.46
2049,743,14.13
2053,14,0.27
2055,469,8.92
2139,2,0.04
2301,2030,38.6
2302,959,18.24
3001,10,0.19
3003,41,0.78
3006,3,0.06
3009,220,4.18
3010,33,0.63
3020,1754,33.35
3024,90,1.71
3025,57,1.08
3026,1,0.02
3027,81,1.54
3028,287,5.46
3030,7,0.13
3040,89,1.69
3041,97,1.84
3042,1,0.02
3044,1,0.02
3047,261,4.96
3050,47,0.89
3056,1,0.02
3057,384,7.3
3060,5,0.1
3065,16,0.3
3067,28,0.53
3068,2,0.04
3069,146,2.78
3070,362,6.88
3075,10,0.19
3076,4,0.08
3082,64,1.22
3083,13,0.25
3087,2,0.04
3089,92,1.75
3091,1,0.02
3092,779,14.81
3096,227,4.32
3098,415,7.89
3100,980,18.63
3101,3,0.06
3102,106,2.02
3105,168,3.19
3107,2102,39.97
3108,253,4.81
3109,37,0.7
3110,147,2.8
3111,227,4.32
3113,591,11.24
3114,552,10.5
3115,4,0.08
3116,93,1.77
3117,640,12.17
3123,1,0.02
3133,1,0.02
3134,1,0.02
3135,44,0.84
3136,18,0.34
3143,16,0.3
3145,22,0.42
3146,14,0.27
3151,36,0.68
3152,5,0.1
3157,51,0.97
3158,884,16.81
3165,185,3.52
3174,1171,22.27
3190,429,8.16
3191,36,0.68
3193,4,0.08
3194,8,0.15
3211,14,0.27
3222,293,5.57
3285,507,9.64
3301,98,1.86
3303,322,6.12
3340,2272,43.2
3341,420,7.99
3363,123,2.34
3364,2436,46.32
3374,1,0.02
3382,52,0.99
3383,4,0.08
3401,1,0.02
3504,2997,56.99
3512,16,0.3
3742,10,0.19
3751,1,0.02
3800,12,0.23
3801,265,5.04
3802,51,0.97
