item,count,percentage
1001,90,6.25
1004,3,0.21
1011,3,0.21
1026,279,19.39
1027,7,0.49
1028,115,7.99
1029,45,3.13
1031,1,0.07
1033,36,2.5
1043,1,0.07
1052,223,15.5
1053,1,0.07
1054,27,1.88
1056,699,48.58
1057,5,0.35
1058,106,7.37
1082,70,4.86
1402,3,0.21
2003,44,3.06
2010,23,1.6
2031,76,5.28
2033,57,3.96
2049,2,0.14
2053,1,0.07
2055,40,2.78
2301,2,0.14
2302,1,0.07
3001,27,1.88
3003,24,1.67
3006,2,0.14
3009,12,0.83
3010,31,2.15
3020,491,34.12
3024,6,0.42
3025,1,0.07
3027,952,66.16
3030,412,28.63
3033,1,0.07
3040,22,1.53
3041,9,0.63
3046,1,0.07
3047,224,15.57
3050,2,0.14
3052,1,0.07
3065,375,26.06
3067,54,3.75
3068,8,0.56
3070,25,1.74
3075,22,1.53
3076,18,1.25
3082,15,1.04
3083,1,0.07
3087,1,0.07
3089,147,10.22
3092,12,0.83
3094,1,0.07
3097,1,0.07
3098,1,0.07
3100,2,0.14
3102,34,2.36
3107,1,0.07
3108,106,7.37
3109,1,0.07
3110,15,1.04
3111,178,12.37
3116,297,20.64
3117,6,0.42
3135,97,6.74
3136,135,9.38
3143,5,0.35
3145,19,1.32
3146,14,0.97
3151,442,30.72
3152,10,0.69
3157,943,65.53
3158,368,25.57
3165,43,2.99
3190,1,0.07
3191,115,7.99
3194,6,0.42
3211,106,7.37
3285,7,0.49
3301,1,0.07
3340,1215,84.43
3341,2,0.14
3363,183,12.72
3364,39,2.71
3373,2,0.14
3374,6,0.42
3379,2,0.14
3382,1,0.07
3512,1,0.07
3742,2,0.14
3800,3,0.21
3801,2,0.14
3802,5,0.35
