item,count,percentage
1001,175,4.83
1011,1,0.03
1026,897,24.78
1027,7,0.19
1028,65,1.8
1029,59,1.63
1031,1,0.03
1033,109,3.01
1037,2,0.06
1038,3,0.08
1052,773,21.35
1054,1,0.03
1055,1,0.03
1056,2056,56.8
1057,7,0.19
1058,775,21.41
1082,151,4.17
1402,6,0.17
2003,94,2.6
2010,156,4.31
2031,206,5.69
2032,2,0.06
2033,19,0.52
2045,1,0.03
2049,6,0.17
2055,109,3.01
2139,2,0.06
2301,14,0.39
2302,2,0.06
3001,19,0.52
3003,5,0.14
3004,2,0.06
3006,1,0.03
3009,4,0.11
3010,5,0.14
3020,3048,84.2
3025,1,0.03
3026,1,0.03
3027,30,0.83
3028,2,0.06
3030,3,0.08
3040,11,0.3
3041,27,0.75
3042,2,0.06
3046,1,0.03
3047,47,1.3
3050,1,0.03
3057,2,0.06
3067,1,0.03
3068,1,0.03
3069,1,0.03
3070,20,0.55
3082,1,0.03
3086,3,0.08
3087,2,0.06
3089,984,27.18
3092,16,0.44
3096,2,0.06
3100,3,0.08
3102,543,15.0
3107,4,0.11
3108,341,9.42
3111,142,3.92
3113,234,6.46
3116,164,4.53
3117,7,0.19
3135,890,24.59
3136,213,5.88
3140,10,0.28
3145,3,0.08
3151,865,23.9
3157,972,26.85
3158,53,1.46
3165,3304,91.27
3174,6,0.17
3190,2,0.06
3191,234,6.46
3194,3,0.08
3211,5,0.14
3285,1426,39.39
3301,1,0.03
3303,3,0.08
3340,2465,68.09
3341,5,0.14
3363,973,26.88
3364,164,4.53
3374,42,1.16
3513,2,0.06
3715,1,0.03
3742,1,0.03
3802,121,3.34
