item,count,percentage
1001,89,5.45
1004,10,0.61
1006,14,0.86
1011,172,10.53
1026,8,0.49
1027,3,0.18
1028,180,11.02
1029,157,9.61
1031,225,13.78
1033,102,6.25
1036,17,1.04
1038,1,0.06
1042,3,0.18
1043,4,0.24
1052,1,0.06
1053,2,0.12
1054,97,5.94
1055,5,0.31
1056,21,1.29
1057,61,3.74
1058,5,0.31
1082,3,0.18
1400,1,0.06
1401,54,3.31
1402,1,0.06
1409,3,0.18
1413,5,0.31
1416,4,0.24
1419,3,0.18
2003,6,0.37
2010,48,2.94
2031,418,25.6
2032,4,0.24
2033,79,4.84
2045,235,14.39
2049,425,26.03
2053,11,0.67
2055,147,9.0
2138,1,0.06
2301,1,0.06
2302,7,0.43
2303,355,21.74
3001,38,2.33
3003,1,0.06
3006,17,1.04
3009,734,44.95
3010,12,0.73
3020,4,0.24
3022,24,1.47
3024,42,2.57
3025,23,1.41
3026,3,0.18
3027,10,0.61
3028,1,0.06
3031,1,0.06
3044,9,0.55
3046,1,0.06
3047,361,22.11
3050,10,0.61
3052,14,0.86
3053,3,0.18
3056,1,0.06
3057,10,0.61
3060,7,0.43
3065,279,17.09
3067,147,9.0
3068,195,11.94
3069,11,0.67
3070,3,0.18
3071,4,0.24
3074,1,0.06
3075,172,10.53
3076,58,3.55
3077,11,0.67
3078,9,0.55
3082,50,3.06
3083,82,5.02
3087,3,0.18
3089,3,0.18
3091,11,0.67
3092,2,0.12
3096,4,0.24
3097,93,5.7
3100,1,0.06
3101,1,0.06
3102,5,0.31
3105,96,5.88
3107,93,5.7
3108,3,0.18
3109,338,20.7
3110,28,1.71
3111,220,13.47
3113,1,0.06
3114,15,0.92
3115,2,0.12
3116,5,0.31
3117,115,7.04
3124,8,0.49
3134,1,0.06
3135,2,0.12
3136,1,0.06
3140,3,0.18
3143,55,3.37
3144,2,0.12
3145,1,0.06
3146,1,0.06
3151,6,0.37
3152,1,0.06
3153,8,0.49
3155,1,0.06
3156,1,0.06
3157,2,0.12
3158,14,0.86
3165,1,0.06
3174,1,0.06
3190,515,31.54
3193,116,7.1
3194,14,0.86
3211,99,6.06
3222,6,0.37
3285,3,0.18
3302,50,3.06
3340,775,47.46
3341,191,11.7
3363,30,1.84
3364,633,38.76
3373,3,0.18
3379,1,0.06
3382,5,0.31
3383,15,0.92
3401,720,44.09
3504,6,0.37
3512,30,1.84
3513,2,0.12
3742,357,21.86
3748,75,4.59
3751,46,2.82
3800,90,5.51
3801,72,4.41
