item,count,percentage
1001,181,5.91
1006,15,0.49
1011,15,0.49
1018,4,0.13
1028,123,4.02
1029,166,5.42
1031,10,0.33
1033,37,1.21
1036,659,21.51
1037,139,4.54
1038,182,5.94
1039,4,0.13
1041,4,0.13
1042,11,0.36
1043,2,0.07
1051,1,0.03
1052,1,0.03
1053,217,7.08
1054,23,0.75
1055,24,0.78
1056,1,0.03
1057,2,0.07
1400,26,0.85
1401,2,0.07
1408,2,0.07
1412,57,1.86
1416,1,0.03
1419,1,0.03
2003,18,0.59
2010,5,0.16
2015,2,0.07
2031,875,28.57
2032,17,0.56
2033,243,7.93
2045,1,0.03
2053,2,0.07
2055,62,2.02
3001,1,0.03
3006,13,0.42
3009,206,6.73
3020,1,0.03
3022,5,0.16
3024,1,0.03
3025,1,0.03
3026,655,21.38
3028,1,0.03
3031,67,2.19
3033,135,4.41
3034,9,0.29
3035,72,2.35
3036,115,3.75
3044,261,8.52
3046,9,0.29
3047,461,15.05
3052,8,0.26
3053,5,0.16
3057,7,0.23
3065,5,0.16
3067,203,6.63
3068,1,0.03
3069,1,0.03
3070,7,0.23
3071,1323,43.19
3072,12,0.39
3074,245,8.0
3075,8,0.26
3076,4,0.13
3077,129,4.21
3078,23,0.75
3082,5,0.16
3083,2,0.07
3086,6,0.2
3087,20,0.65
3091,1,0.03
3094,1,0.03
3101,4,0.13
3109,1,0.03
3111,540,17.63
3117,699,22.82
3123,51,1.67
3133,288,9.4
3134,417,13.61
3139,37,1.21
3140,33,1.08
3142,2481,81.0
3143,7,0.23
3144,2,0.07
3147,2522,82.34
3153,5,0.16
3155,307,10.02
3156,435,14.2
3158,799,26.09
3190,1,0.03
3193,1,0.03
3194,1,0.03
3211,2,0.07
3252,6,0.2
3301,2,0.07
3302,1,0.03
3340,2437,79.56
3341,8,0.26
3363,244,7.97
3364,362,11.82
3371,8,0.26
3380,39,1.27
3384,2,0.07
3508,5,0.16
3512,1,0.03
3513,1,0.03
3706,3,0.1
3715,3,0.1
3742,21,0.69
3748,15,0.49
3751,1,0.03
3800,1,0.03
3802,1,0.03
3812,378,12.34
3814,435,14.2
