item,count,percentage
1001,270,6.72
1004,3,0.07
1006,7,0.17
1011,39,0.97
1018,7,0.17
1026,682,16.98
1027,18,0.45
1028,141,3.51
1029,43,1.07
1031,9,0.22
1033,21,0.52
1036,62,1.54
1037,38,0.95
1038,28,0.7
1039,2,0.05
1041,5,0.12
1042,292,7.27
1043,191,4.75
1051,20,0.5
1052,556,13.84
1053,41,1.02
1054,95,2.36
1055,168,4.18
1056,1362,33.91
1057,27,0.67
1058,483,12.02
1082,50,1.24
1083,17,0.42
1402,24,0.6
1410,2,0.05
1412,1,0.02
1413,1,0.02
1414,18,0.45
1416,78,1.94
1418,2,0.05
1419,69,1.72
2003,167,4.16
2010,110,2.74
2015,8,0.2
2031,208,5.18
2032,22,0.55
2033,296,7.37
2045,6,0.15
2049,15,0.37
2053,8,0.2
2055,74,1.84
2139,2,0.05
2140,1,0.02
2301,45,1.12
2302,4,0.1
3001,15,0.37
3003,2,0.05
3006,389,9.68
3009,131,3.26
3010,6,0.15
3020,2311,57.53
3022,475,11.82
3024,2,0.05
3025,7,0.17
3026,24,0.6
3027,24,0.6
3030,1,0.02
3031,49,1.22
3033,2,0.05
3035,2,0.05
3036,2,0.05
3040,1,0.02
3041,19,0.47
3044,7,0.17
3046,22,0.55
3047,356,8.86
3052,53,1.32
3053,4,0.1
3056,5,0.12
3057,84,2.09
3060,6,0.15
3065,59,1.47
3067,8,0.2
3068,10,0.25
3069,3,0.07
3070,11,0.27
3071,11,0.27
3072,21,0.52
3075,29,0.72
3076,8,0.2
3078,22,0.55
3082,7,0.17
3083,8,0.2
3085,469,11.68
3086,101,2.51
3087,60,1.49
3089,569,14.16
3091,175,4.36
3092,128,3.19
3094,25,0.62
3096,12,0.3
3098,41,1.02
3100,309,7.69
3101,243,6.05
3102,52,1.29
3105,2,0.05
3107,3,0.07
3108,247,6.15
3109,1,0.02
3110,2,0.05
3111,187,4.66
3113,185,4.61
3114,1,0.02
3115,1840,45.81
3116,352,8.76
3117,29,0.72
3123,13,0.32
3124,365,9.09
3133,5,0.12
3134,9,0.22
3135,519,12.92
3136,251,6.25
3139,11,0.27
3140,10,0.25
3142,1,0.02
3143,16,0.4
3144,89,2.22
3145,98,2.44
3146,848,21.11
3147,21,0.52
3151,2318,57.7
3152,10,0.25
3153,346,8.61
3155,3,0.07
3156,5,0.12
3157,270,6.72
3158,53,1.32
3165,164,4.08
3174,2,0.05
3190,5,0.12
3191,75,1.87
3193,2,0.05
3194,8,0.2
3211,23,0.57
3285,548,13.64
3301,6,0.15
3302,1,0.02
3303,31,0.77
3340,3350,83.4
3341,22,0.55
3363,324,8.07
3364,303,7.54
3374,16,0.4
3380,1,0.02
3384,1,0.02
3401,1,0.02
3504,2,0.05
3508,8,0.2
3512,39,0.97
3513,2,0.05
3706,3,0.07
3715,1,0.02
3742,13,0.32
3751,1,0.02
3800,4,0.1
3801,1,0.02
3802,22,0.55
3812,2,0.05
3814,2,0.05
