item,count,percentage
1001,640,5.12
1004,216,1.73
1006,118,0.94
1011,386,3.09
1018,14,0.11
1026,6,0.05
1027,146,1.17
1028,1015,8.13
1029,1468,11.75
1031,839,6.72
1033,1133,9.07
1036,33,0.26
1037,16,0.13
1038,42,0.34
1042,41,0.33
1043,9,0.07
1051,11,0.09
1052,13,0.1
1053,11,0.09
1054,13,0.1
1055,54,0.43
1056,7,0.06
1057,170,1.36
1058,2,0.02
1082,7,0.06
1083,2,0.02
1400,3,0.02
1401,2,0.02
1408,1,0.01
1409,4,0.03
1412,1,0.01
1413,2,0.02
1416,1,0.01
1419,5,0.04
2003,91,0.73
2010,1009,8.08
2011,2,0.02
2015,15,0.12
2031,685,5.48
2032,5,0.04
2033,22,0.18
2045,2218,17.76
2049,4706,37.67
2053,87,0.7
2055,1913,15.31
2138,6,0.05
2301,9,0.07
2302,1169,9.36
2303,2761,22.1
3001,60,0.48
3006,83,0.66
3009,354,2.83
3010,17,0.14
3020,12,0.1
3022,14,0.11
3024,1046,8.37
3025,28,0.22
3026,15,0.12
3027,4,0.03
3028,108,0.86
3030,1,0.01
3031,85,0.68
3033,2,0.02
3034,1,0.01
3035,1,0.01
3036,2,0.02
3041,3,0.02
3044,7,0.06
3046,9,0.07
3047,1047,8.38
3050,1068,8.55
3052,6,0.05
3053,4,0.03
3056,4,0.03
3057,14,0.11
3060,50,0.4
3065,192,1.54
3067,1121,8.97
3068,147,1.18
3069,926,7.41
3070,20,0.16
3071,9,0.07
3072,18,0.14
3075,343,2.75
3076,218,1.75
3078,17,0.14
3082,662,5.3
3083,238,1.91
3085,9,0.07
3086,25,0.2
3087,125,1.0
3089,5,0.04
3091,4,0.03
3092,5,0.04
3094,35,0.28
3096,213,1.71
3097,882,7.06
3098,1,0.01
3100,4,0.03
3101,5,0.04
3102,13,0.1
3105,1389,11.12
3107,2877,23.03
3108,9,0.07
3109,2869,22.97
3110,1050,8.41
3111,773,6.19
3113,11,0.09
3114,493,3.95
3115,1,0.01
3116,3,0.02
3117,8265,66.16
3123,8,0.06
3124,2,0.02
3133,6,0.05
3134,9,0.07
3140,1,0.01
3142,9,0.07
3143,253,2.03
3144,8,0.06
3145,6,0.05
3146,5,0.04
3147,17,0.14
3151,3,0.02
3152,14,0.11
3153,46,0.37
3155,7,0.06
3156,4,0.03
3157,5,0.04
3158,933,7.47
3165,4,0.03
3174,1,0.01
3190,6024,48.22
3191,1,0.01
3193,210,1.68
3194,54,0.43
3211,160,1.28
3222,374,2.99
3285,2,0.02
3301,102,0.82
3302,537,4.3
3340,2998,24.0
3341,1789,14.32
3363,83,0.66
3364,7593,60.78
3371,6,0.05
3373,4,0.03
3379,3,0.02
3382,57,0.46
3383,124,0.99
3401,5593,44.77
3504,116,0.93
3508,13,0.1
3512,115,0.92
3513,2,0.02
3706,1,0.01
3742,224,1.79
3751,70,0.56
3800,1079,8.64
3801,1011,8.09
3812,4,0.03
