item,count,percentage
1001,580,4.62
1004,1,0.01
1006,18,0.14
1011,9,0.07
1018,234,1.87
1026,4,0.03
1028,11,0.09
1029,206,1.64
1031,2,0.02
1033,123,0.98
1036,934,7.45
1037,592,4.72
1038,1965,15.66
1041,1,0.01
1042,1681,13.4
1043,237,1.89
1051,413,3.29
1052,3,0.02
1053,1778,14.17
1054,693,5.52
1055,5795,46.2
1056,6,0.05
1057,3,0.02
1058,1,0.01
1082,1,0.01
1083,227,1.81
1412,6,0.05
1416,3,0.02
1418,1,0.01
1419,9,0.07
2003,377,3.01
2010,322,2.57
2015,749,5.97
2031,503,4.01
2032,3,0.02
2033,2,0.02
2053,2,0.02
2055,206,1.64
2139,1,0.01
2140,2,0.02
2301,1,0.01
2302,1,0.01
3006,10875,86.69
3009,13,0.1
3020,5,0.04
3022,53,0.42
3026,1046,8.34
3031,10683,85.16
3033,565,4.5
3034,111,0.88
3035,697,5.56
3036,1337,10.66
3041,1,0.01
3044,3,0.02
3046,683,5.44
3047,352,2.81
3052,20,0.16
3053,4,0.03
3057,3,0.02
3065,5,0.04
3067,4,0.03
3070,23,0.18
3071,16,0.13
3072,1802,14.37
3075,5,0.04
3076,3,0.02
3078,11,0.09
3082,1,0.01
3083,2,0.02
3085,1151,9.18
3086,1944,15.5
3087,8555,68.2
3089,6,0.05
3091,11,0.09
3092,2,0.02
3094,6602,52.63
3097,23,0.18
3100,3,0.02
3101,10,0.08
3102,1,0.01
3107,1,0.01
3108,2,0.02
3111,92,0.73
3113,3,0.02
3114,1,0.01
3115,9,0.07
3117,7,0.06
3123,278,2.22
3124,42,0.33
3133,38,0.3
3134,8,0.06
3135,1,0.01
3139,587,4.68
3140,428,3.41
3142,12,0.1
3143,6,0.05
3144,468,3.73
3145,2,0.02
3146,10,0.08
3147,16,0.13
3152,1,0.01
3153,1886,15.04
3155,109,0.87
3156,106,0.85
3157,3,0.02
3158,7,0.06
3193,2,0.02
3194,3,0.02
3211,2,0.02
3252,1,0.01
3285,3,0.02
3301,1,0.01
3302,20,0.16
3340,7317,58.33
3341,4,0.03
3363,5139,40.97
3364,65,0.52
3371,224,1.79
3384,1,0.01
3504,1,0.01
3508,98,0.78
3512,1,0.01
3742,2,0.02
3801,1,0.01
3812,40,0.32
3814,3,0.02
