item,count,percentage
1001,124,6.59
1004,7,0.37
1006,12,0.64
1011,170,9.03
1018,1,0.05
1027,15,0.8
1028,251,13.33
1029,185,9.82
1031,162,8.6
1033,70,3.72
1036,108,5.74
1037,13,0.69
1038,5,0.27
1041,12,0.64
1042,55,2.92
1043,50,2.66
1052,2,0.11
1053,78,4.14
1054,428,22.73
1055,94,4.99
1057,25,1.33
1083,5,0.27
1400,135,7.17
1401,116,6.16
1408,1,0.05
1409,20,1.06
1412,19,1.01
1413,70,3.72
1416,48,2.55
1418,1,0.05
1419,50,2.66
2003,51,2.71
2010,23,1.22
2031,180,9.56
2032,8,0.42
2033,182,9.67
2045,23,1.22
2049,68,3.61
2053,6,0.32
2055,100,5.31
2302,10,0.53
2303,112,5.95
3001,3,0.16
3006,15,0.8
3009,60,3.19
3010,1,0.05
3020,1,0.05
3022,17,0.9
3024,37,1.96
3025,146,7.75
3026,14,0.74
3028,1,0.05
3033,5,0.27
3035,1,0.05
3044,81,4.3
3046,7,0.37
3047,1117,59.32
3050,2,0.11
3052,60,3.19
3053,35,1.86
3056,1,0.05
3057,63,3.35
3060,1,0.05
3065,541,28.73
3067,149,7.91
3068,75,3.98
3069,5,0.27
3070,6,0.32
3071,45,2.39
3072,4,0.21
3074,225,11.95
3075,224,11.9
3076,115,6.11
3077,183,9.72
3078,631,33.51
3082,142,7.54
3083,9,0.48
3086,3,0.16
3087,3,0.16
3089,1,0.05
3091,3,0.16
3096,2,0.11
3097,30,1.59
3101,34,1.81
3105,23,1.22
3107,19,1.01
3108,1,0.05
3109,88,4.67
3110,84,4.46
3111,424,22.52
3113,3,0.16
3114,9,0.48
3116,1,0.05
3117,50,2.66
3123,5,0.27
3124,2,0.11
3133,16,0.85
3140,1,0.05
3142,2,0.11
3143,196,10.41
3144,73,3.88
3146,1,0.05
3153,359,19.07
3155,17,0.9
3156,20,1.06
3157,1,0.05
3158,31,1.65
3174,1,0.05
3190,79,4.2
3193,36,1.91
3194,21,1.12
3211,177,9.4
3222,4,0.21
3301,2,0.11
3302,8,0.42
3340,1468,77.96
3341,42,2.23
3363,98,5.2
3364,272,14.45
3373,4,0.21
3384,9,0.48
3401,76,4.04
3504,83,4.41
3512,10,0.53
3513,1,0.05
3706,13,0.69
3715,5,0.27
3742,394,20.92
3748,391,20.76
3751,18,0.96
3800,27,1.43
3801,19,1.01
3812,21,1.12
