item,count,percentage
1001,202,5.12
1004,1,0.03
1006,5,0.13
1011,18,0.46
1018,247,6.25
1026,5,0.13
1028,39,0.99
1029,106,2.68
1031,5,0.13
1033,33,0.84
1036,358,9.07
1037,297,7.52
1038,602,15.24
1039,4,0.1
1041,52,1.32
1042,361,9.14
1043,177,4.48
1051,84,2.13
1052,2,0.05
1053,668,16.92
1054,371,9.39
1055,876,22.18
1056,4,0.1
1057,1,0.03
1058,1,0.03
1082,5,0.13
1083,16,0.41
1400,12,0.3
1401,2,0.05
1412,10,0.25
1416,373,9.45
1418,1,0.03
1419,113,2.86
2003,126,3.19
2010,19,0.48
2015,61,1.54
2031,314,7.95
2032,4,0.1
2033,9,0.23
2053,1,0.03
2055,56,1.42
2140,4,0.1
3006,2260,57.23
3009,54,1.37
3022,51,1.29
3026,355,8.99
3031,2147,54.37
3033,248,6.28
3034,10,0.25
3035,110,2.79
3036,126,3.19
3044,68,1.72
3046,1348,34.14
3047,717,18.16
3052,23,0.58
3053,5,0.13
3057,3,0.08
3065,12,0.3
3067,32,0.81
3068,5,0.13
3069,1,0.03
3070,6,0.15
3071,241,6.1
3072,189,4.79
3074,271,6.86
3075,19,0.48
3076,14,0.35
3077,247,6.25
3078,14,0.35
3082,7,0.18
3083,2,0.05
3086,307,7.77
3087,3044,77.08
3091,7,0.18
3092,1,0.03
3094,8,0.2
3097,2,0.05
3100,1,0.03
3101,6,0.15
3108,1,0.03
3111,413,10.46
3115,13,0.33
3117,3,0.08
3123,78,1.98
3124,38,0.96
3133,103,2.61
3134,21,0.53
3139,95,2.41
3140,66,1.67
3142,38,0.96
3143,10,0.25
3144,319,8.08
3145,2,0.05
3146,6,0.15
3147,35,0.89
3153,1637,41.45
3155,53,1.34
3156,70,1.77
3157,1,0.03
3158,53,1.34
3193,4,0.1
3194,4,0.1
3211,5,0.13
3285,4,0.1
3302,1,0.03
3340,3527,89.31
3341,6,0.15
3363,278,7.04
3364,119,3.01
3371,31,0.79
3380,2,0.05
3401,2,0.05
3508,372,9.42
3512,4,0.1
3513,7,0.18
3706,23,0.58
3715,5,0.13
3742,18,0.46
3748,25,0.63
3751,1,0.03
3800,1,0.03
3812,150,3.8
