item,count,percentage
1001,166,4.8
1011,2,0.06
1018,8,0.23
1026,615,17.78
1027,37,1.07
1028,19,0.55
1029,72,2.08
1031,1,0.03
1033,54,1.56
1036,13,0.38
1037,13,0.38
1038,22,0.64
1042,63,1.82
1043,32,0.93
1051,5,0.14
1052,526,15.21
1053,21,0.61
1054,14,0.4
1055,48,1.39
1056,1546,44.69
1057,5,0.14
1058,627,18.13
1082,160,4.63
1083,8,0.23
1400,1,0.03
1402,8,0.23
1410,3,0.09
1412,3,0.09
1414,11,0.32
1416,13,0.38
1418,1,0.03
1419,44,1.27
2003,50,1.45
2010,103,2.98
2015,15,0.43
2031,229,6.62
2032,1,0.03
2033,27,0.78
2045,3,0.09
2049,5,0.14
2053,1,0.03
2055,142,4.11
2139,4,0.12
2301,3,0.09
2302,1,0.03
3001,14,0.4
3003,2,0.06
3006,138,3.99
3009,254,7.34
3010,23,0.66
3020,1252,36.2
3022,11,0.32
3024,1,0.03
3025,3,0.09
3026,9,0.26
3027,1661,48.02
3030,319,9.22
3031,50,1.45
3033,3,0.09
3035,1,0.03
3036,2,0.06
3040,3,0.09
3041,37,1.07
3044,3,0.09
3046,17,0.49
3047,172,4.97
3052,4,0.12
3057,251,7.26
3060,1,0.03
3065,1,0.03
3067,5,0.14
3068,1,0.03
3069,1,0.03
3070,30,0.87
3071,2,0.06
3072,12,0.35
3075,1,0.03
3076,3,0.09
3078,18,0.52
3082,2,0.06
3085,73,2.11
3086,39,1.13
3087,26,0.75
3089,534,15.44
3091,22,0.64
3092,18,0.52
3094,173,5.0
3098,3,0.09
3100,2696,77.94
3101,11,0.32
3102,246,7.11
3107,1,0.03
3108,302,8.73
3111,387,11.19
3113,365,10.55
3115,44,1.27
3116,15,0.43
3117,9,0.26
3124,80,2.31
3133,2,0.06
3135,561,16.22
3136,17,0.49
3139,4,0.12
3140,9,0.26
3142,1,0.03
3143,1,0.03
3144,14,0.4
3145,25,0.72
3146,36,1.04
3147,4,0.12
3151,38,1.1
3152,24,0.69
3153,111,3.21
3155,3,0.09
3156,2,0.06
3157,1180,34.11
3158,956,27.64
3165,138,3.99
3174,2,0.06
3191,266,7.69
3194,1,0.03
3211,2,0.06
3285,1088,31.45
3340,2432,70.31
3341,3,0.09
3363,861,24.89
3364,151,4.37
3371,2,0.06
3374,25,0.72
3379,1,0.03
3384,2,0.06
3508,9,0.26
3512,3,0.09
3706,1,0.03
3715,1,0.03
3742,3,0.09
3801,1,0.03
3802,18,0.52
3812,3,0.09
3814,1,0.03
