item,count,percentage
1001,66,6.15
1006,17,1.58
1011,79,7.36
1018,2,0.19
1026,3,0.28
1027,14,1.3
1028,113,10.52
1029,100,9.31
1031,82,7.64
1033,37,3.45
1036,50,4.66
1037,6,0.56
1038,8,0.74
1039,17,1.58
1041,12,1.12
1042,46,4.28
1043,38,3.54
1051,1,0.09
1052,3,0.28
1053,17,1.58
1054,29,2.7
1055,8,0.74
1056,4,0.37
1057,35,3.26
1082,6,0.56
1400,60,5.59
1401,182,16.95
1402,18,1.68
1408,2,0.19
1409,15,1.4
1412,27,2.51
1413,55,5.12
1414,2,0.19
1416,406,37.8
1418,7,0.65
1419,103,9.59
2003,8,0.74
2010,1,0.09
2015,1,0.09
2031,248,23.09
2032,127,11.82
2033,16,1.49
2053,21,1.96
2055,23,2.14
2303,1,0.09
3001,7,0.65
3006,20,1.86
3009,207,19.27
3010,4,0.37
3020,3,0.28
3022,10,0.93
3024,37,3.45
3025,59,5.49
3026,8,0.74
3031,7,0.65
3033,1,0.09
3040,2,0.19
3042,4,0.37
3044,73,6.8
3046,13,1.21
3047,245,22.81
3050,2,0.19
3052,23,2.14
3053,8,0.74
3056,2,0.19
3057,66,6.15
3060,1,0.09
3065,174,16.2
3067,50,4.66
3068,25,2.33
3070,15,1.4
3071,22,2.05
3072,7,0.65
3074,27,2.51
3075,133,12.38
3076,69,6.42
3077,68,6.33
3078,463,43.11
3082,58,5.4
3083,10,0.93
3086,4,0.37
3087,7,0.65
3089,1,0.09
3091,67,6.24
3094,1,0.09
3096,1,0.09
3100,12,1.12
3101,44,4.1
3102,3,0.28
3105,4,0.37
3107,2,0.19
3108,3,0.28
3109,13,1.21
3110,157,14.62
3111,451,41.99
3113,1,0.09
3115,11,1.02
3116,2,0.19
3117,28,2.61
3123,1,0.09
3124,21,1.96
3133,9,0.84
3134,2,0.19
3136,1,0.09
3139,1,0.09
3140,8,0.74
3142,12,1.12
3143,29,2.7
3144,34,3.17
3145,1,0.09
3146,2,0.19
3147,13,1.21
3151,2,0.19
3152,4,0.37
3153,127,11.82
3155,9,0.84
3156,20,1.86
3158,3,0.28
3190,7,0.65
3193,13,1.21
3194,13,1.21
3211,66,6.15
3285,1,0.09
3301,1,0.09
3340,885,82.4
3341,14,1.3
3363,32,2.98
3364,140,13.04
3379,1,0.09
3384,19,1.77
3401,2,0.19
3512,58,5.4
3706,25,2.33
3711,2,0.19
3715,14,1.3
3742,211,19.65
3748,119,11.08
3751,7,0.65
3800,33,3.07
3801,7,0.65
3812,17,1.58
