item,count,percentage
1001,122,5.37
1004,2,0.09
1006,8,0.35
1011,173,7.61
1018,2,0.09
1027,10,0.44
1028,255,11.22
1029,148,6.51
1031,27,1.19
1033,73,3.21
1036,281,12.36
1037,69,3.04
1038,20,0.88
1039,2,0.09
1041,3,0.13
1042,10,0.44
1043,6,0.26
1053,206,9.06
1054,197,8.67
1055,748,32.91
1056,2,0.09
1057,14,0.62
1083,26,1.14
1400,39,1.72
1401,23,1.01
1409,3,0.13
1412,36,1.58
1413,25,1.1
1416,1,0.04
1419,2,0.09
2003,93,4.09
2010,22,0.97
2031,149,6.56
2032,5,0.22
2033,138,6.07
2045,1,0.04
2049,4,0.18
2053,4,0.18
2055,50,2.2
2140,1,0.04
2302,3,0.13
2303,6,0.26
3001,5,0.22
3004,33,1.45
3006,29,1.28
3009,124,5.46
3010,2,0.09
3022,1175,51.69
3024,24,1.06
3025,34,1.5
3026,50,2.2
3031,6,0.26
3033,20,0.88
3035,13,0.57
3036,6,0.26
3042,58,2.55
3044,62,2.73
3046,4,0.18
3047,1490,65.55
3050,2,0.09
3052,296,13.02
3053,386,16.98
3056,1,0.04
3057,7,0.31
3065,221,9.72
3067,99,4.36
3068,23,1.01
3069,4,0.18
3070,30,1.32
3071,1996,87.81
3072,11,0.48
3075,488,21.47
3076,193,8.49
3078,32,1.41
3082,103,4.53
3083,58,2.55
3085,8,0.35
3086,5,0.22
3087,4,0.18
3091,3,0.13
3094,3,0.13
3096,3,0.13
3097,3,0.13
3101,5,0.22
3102,1,0.04
3105,3,0.13
3107,1,0.04
3109,12,0.53
3110,39,1.72
3111,400,17.6
3117,13,0.57
3123,19,0.84
3133,165,7.26
3134,20,0.88
3139,5,0.22
3140,1,0.04
3142,41,1.8
3143,82,3.61
3144,9,0.4
3147,25,1.1
3152,2,0.09
3153,27,1.19
3155,109,4.8
3156,196,8.62
3157,1,0.04
3158,17,0.75
3190,9,0.4
3193,48,2.11
3194,52,2.29
3211,114,5.02
3301,1,0.04
3302,6,0.26
3303,3,0.13
3340,1914,84.21
3341,8,0.35
3363,193,8.49
3364,148,6.51
3371,1,0.04
3380,17,0.75
3384,1,0.04
3401,7,0.31
3508,1,0.04
3512,15,0.66
3513,1,0.04
3706,4,0.18
3715,3,0.13
3742,41,1.8
3751,7,0.31
3800,158,6.95
3801,31,1.36
3812,390,17.16
3814,6,0.26
