item,count,percentage
1001,168,6.01
1004,1,0.04
1006,1,0.04
1011,2,0.07
1018,129,4.61
1026,12,0.43
1027,1,0.04
1028,5,0.18
1029,55,1.97
1031,1,0.04
1033,25,0.89
1036,244,8.73
1037,243,8.69
1038,527,18.85
1042,365,13.05
1043,101,3.61
1051,63,2.25
1052,5,0.18
1053,258,9.23
1054,147,5.26
1055,1205,43.1
1056,10,0.36
1057,4,0.14
1058,7,0.25
1082,3,0.11
1083,28,1.0
1416,1,0.04
1419,4,0.14
2003,86,3.08
2010,93,3.33
2015,53,1.9
2031,108,3.86
2032,2,0.07
2033,10,0.36
2049,1,0.04
2055,47,1.68
2302,2,0.07
3003,1,0.04
3004,35,1.25
3006,2188,78.25
3009,24,0.86
3020,17,0.61
3022,12,0.43
3026,243,8.69
3027,6,0.21
3031,1236,44.21
3033,135,4.83
3034,30,1.07
3035,130,4.65
3036,270,9.66
3041,1,0.04
3042,20,0.72
3044,4,0.14
3046,249,8.91
3047,179,6.4
3050,1,0.04
3052,3,0.11
3053,2,0.07
3057,4,0.14
3067,2,0.07
3070,25,0.89
3071,16,0.57
3072,301,10.77
3075,1,0.04
3078,6,0.21
3083,2,0.07
3085,1255,44.89
3086,294,10.52
3087,981,35.09
3089,8,0.29
3091,14,0.5
3094,139,4.97
3097,1,0.04
3100,6,0.21
3101,7,0.25
3108,4,0.14
3111,41,1.47
3113,2,0.07
3115,44,1.57
3117,2,0.07
3123,56,2.0
3124,123,4.4
3133,71,2.54
3134,28,1.0
3135,13,0.46
3136,2,0.07
3139,85,3.04
3140,83,2.97
3142,108,3.86
3143,1,0.04
3144,89,3.18
3146,19,0.68
3147,92,3.29
3151,1,0.04
3152,1,0.04
3153,1375,49.18
3155,31,1.11
3156,38,1.36
3157,6,0.21
3158,53,1.9
3165,1,0.04
3191,1,0.04
3193,1,0.04
3194,1,0.04
3211,2,0.07
3285,2,0.07
3301,1,0.04
3302,2,0.07
3303,1,0.04
3340,1880,67.24
3363,893,31.94
3364,13,0.46
3371,50,1.79
3384,1,0.04
3401,1,0.04
3508,680,24.32
3812,76,2.72
3814,17,0.61
