item,count,percentage
1001,531,5.17
1006,3,0.03
1011,23,0.22
1018,341,3.32
1026,9,0.09
1027,3,0.03
1028,19,0.19
1029,96,0.93
1031,2,0.02
1033,155,1.51
1036,668,6.5
1037,763,7.43
1038,1828,17.8
1039,1,0.01
1041,4,0.04
1042,1494,14.55
1043,398,3.88
1051,320,3.12
1052,1,0.01
1053,1222,11.9
1054,635,6.18
1055,4477,43.59
1057,3,0.03
1058,1,0.01
1082,6,0.06
1083,162,1.58
1400,1,0.01
1412,1,0.01
1413,1,0.01
1416,10,0.1
1419,46,0.45
2003,337,3.28
2010,356,3.47
2015,387,3.77
2031,343,3.34
2032,2,0.02
2033,4,0.04
2055,152,1.48
2138,1,0.01
2140,4,0.04
3004,1,0.01
3006,8773,85.42
3009,31,0.3
3020,1,0.01
3022,68,0.66
3024,1,0.01
3025,2,0.02
3026,573,5.58
3031,7275,70.84
3033,193,1.88
3034,65,0.63
3035,261,2.54
3036,584,5.69
3041,6,0.06
3044,21,0.2
3046,3601,35.06
3047,303,2.95
3052,28,0.27
3053,18,0.18
3057,10,0.1
3065,9,0.09
3067,2,0.02
3068,1,0.01
3069,1,0.01
3070,31,0.3
3071,10,0.1
3072,1024,9.97
3075,6,0.06
3076,1,0.01
3078,63,0.61
3082,4,0.04
3083,2,0.02
3085,52,0.51
3086,1332,12.97
3087,7674,74.72
3089,1,0.01
3091,14,0.14
3094,1703,16.58
3096,1,0.01
3097,12,0.12
3101,10,0.1
3111,94,0.92
3117,9,0.09
3123,132,1.29
3124,230,2.24
3133,33,0.32
3134,24,0.23
3135,1,0.01
3139,795,7.74
3140,682,6.64
3142,21,0.2
3143,13,0.13
3144,512,4.99
3145,1,0.01
3147,128,1.25
3153,3857,37.56
3155,99,0.96
3156,86,0.84
3190,1,0.01
3193,5,0.05
3194,1,0.01
3211,4,0.04
3302,12,0.12
3340,6379,62.11
3341,7,0.07
3363,3784,36.85
3364,75,0.73
3371,157,1.53
3384,3,0.03
3401,1,0.01
3508,75,0.73
3512,2,0.02
3513,2,0.02
3715,3,0.03
3742,6,0.06
3801,1,0.01
3812,57,0.56
3814,1,0.01
