item,count,percentage
1001,281,7.44
1004,10,0.26
1006,3,0.08
1011,39,1.03
1026,896,23.73
1027,22,0.58
1028,49,1.3
1029,75,1.99
1031,10,0.26
1033,96,2.54
1036,2,0.05
1038,2,0.05
1042,4,0.11
1043,4,0.11
1052,833,22.06
1053,1,0.03
1054,3,0.08
1055,2,0.05
1056,1697,44.94
1057,11,0.29
1058,804,21.29
1082,84,2.22
1083,1,0.03
1402,5,0.13
1419,1,0.03
2003,96,2.54
2010,193,5.11
2031,135,3.58
2032,3,0.08
2033,44,1.17
2045,22,0.58
2049,75,1.99
2053,2,0.05
2055,85,2.25
2139,2,0.05
2301,140,3.71
2302,36,0.95
2303,14,0.37
3001,70,1.85
3003,62,1.64
3004,1,0.03
3006,8,0.21
3009,37,0.98
3010,37,0.98
3020,2820,74.68
3022,7,0.19
3024,5,0.13
3025,3,0.08
3026,10,0.26
3027,466,12.34
3028,2,0.05
3030,32,0.85
3031,1,0.03
3036,1,0.03
3040,109,2.89
3041,39,1.03
3046,1,0.03
3047,85,2.25
3050,2,0.05
3056,2,0.05
3057,18,0.48
3060,3,0.08
3065,42,1.11
3067,13,0.34
3068,6,0.16
3069,7,0.19
3070,98,2.6
3075,23,0.61
3076,8,0.21
3082,12,0.32
3083,22,0.58
3085,1,0.03
3087,3,0.08
3089,1405,37.21
3092,196,5.19
3096,7,0.19
3097,2,0.05
3098,43,1.14
3100,39,1.03
3101,3,0.08
3102,587,15.55
3105,3,0.08
3107,16,0.42
3108,398,10.54
3109,2,0.05
3110,22,0.58
3111,113,2.99
3113,233,6.17
3114,4,0.11
3115,10,0.26
3116,88,2.33
3117,36,0.95
3123,1,0.03
3124,2,0.05
3133,1,0.03
3134,1,0.03
3135,1074,28.44
3136,69,1.83
3140,3,0.08
3143,16,0.42
3145,4,0.11
3146,9,0.24
3147,1,0.03
3151,138,3.65
3152,19,0.5
3153,4,0.11
3157,1141,30.22
3158,199,5.27
3165,2869,75.98
3174,8,0.21
3190,9,0.24
3191,208,5.51
3193,3,0.08
3194,13,0.34
3211,13,0.34
3222,1,0.03
3285,969,25.66
3301,3,0.08
3302,6,0.16
3303,30,0.79
3340,3039,80.48
3341,38,1.01
3363,404,10.7
3364,284,7.52
3374,59,1.56
3379,1,0.03
3401,5,0.13
3504,2,0.05
3508,1,0.03
3512,9,0.24
3706,1,0.03
3715,1,0.03
3742,28,0.74
3800,4,0.11
3801,4,0.11
3802,153,4.05
