item,count,percentage
1001,187,6.44
1006,6,0.21
1011,332,11.44
1018,8,0.28
1026,2,0.07
1027,44,1.52
1028,430,14.81
1029,294,10.13
1031,238,8.2
1033,129,4.44
1036,308,10.61
1037,8,0.28
1038,48,1.65
1039,3,0.1
1041,67,2.31
1042,105,3.62
1043,10,0.34
1051,2,0.07
1053,17,0.59
1054,24,0.83
1055,12,0.41
1057,45,1.55
1083,1,0.03
1400,1860,64.07
1401,158,5.44
1408,49,1.69
1409,13,0.45
1412,440,15.16
1413,55,1.89
1416,31,1.07
1418,1,0.03
1419,18,0.62
2003,91,3.13
2010,8,0.28
2015,2,0.07
2031,496,17.09
2032,68,2.34
2033,13,0.45
2049,2,0.07
2053,1,0.03
2055,123,4.24
2138,1,0.03
2140,1,0.03
2303,1,0.03
3001,9,0.31
3006,32,1.1
3009,80,2.76
3010,3,0.1
3022,33,1.14
3024,12,0.41
3025,31,1.07
3026,102,3.51
3031,15,0.52
3033,4,0.14
3034,2,0.07
3035,4,0.14
3036,3,0.1
3044,330,11.37
3046,9,0.31
3047,1612,55.53
3052,133,4.58
3053,326,11.23
3057,180,6.2
3060,1,0.03
3065,167,5.75
3067,138,4.75
3068,26,0.9
3069,1,0.03
3071,565,19.46
3072,9,0.31
3074,15,0.52
3075,151,5.2
3076,59,2.03
3077,31,1.07
3078,1662,57.25
3082,167,5.75
3083,25,0.86
3086,3,0.1
3087,20,0.69
3091,2,0.07
3094,1,0.03
3097,1,0.03
3101,123,4.24
3102,4,0.14
3105,10,0.34
3108,4,0.14
3109,15,0.52
3110,9,0.31
3111,724,24.94
3117,101,3.48
3123,4,0.14
3124,2,0.07
3133,95,3.27
3134,40,1.38
3139,4,0.14
3140,2,0.07
3142,67,2.31
3143,337,11.61
3144,9,0.31
3145,1,0.03
3146,1,0.03
3147,130,4.48
3153,27,0.93
3155,212,7.3
3156,231,7.96
3157,1,0.03
3158,38,1.31
3190,16,0.55
3193,65,2.24
3194,53,1.83
3211,98,3.38
3252,20,0.69
3340,2247,77.4
3341,42,1.45
3363,95,3.27
3364,506,17.43
3371,1,0.03
3373,2,0.07
3380,10,0.34
3384,38,1.31
3401,6,0.21
3508,4,0.14
3512,9,0.31
3513,6,0.21
3706,50,1.72
3711,4,0.14
3715,24,0.83
3742,710,24.46
3748,61,2.1
3751,15,0.52
3800,5,0.17
3801,5,0.17
3812,20,0.69
3814,5,0.17
