item,count,percentage
1001,106,6.26
1004,1,0.06
1006,1,0.06
1026,406,24.0
1027,28,1.65
1028,50,2.96
1029,21,1.24
1033,44,2.6
1038,1,0.06
1039,1,0.06
1052,295,17.43
1054,1,0.06
1056,885,52.3
1057,2,0.12
1058,219,12.94
1082,128,7.57
2003,37,2.19
2010,74,4.37
2031,106,6.26
2032,1,0.06
2033,10,0.59
2049,2,0.12
2055,59,3.49
2301,5,0.3
2303,1,0.06
3001,6,0.35
3003,1,0.06
3006,2,0.12
3009,4,0.24
3010,2,0.12
3020,887,52.42
3025,1,0.06
3027,17,1.0
3031,1,0.06
3041,22,1.3
3046,1,0.06
3047,43,2.54
3057,171,10.11
3070,5,0.3
3072,1,0.06
3087,1,0.06
3089,259,15.31
3092,3,0.18
3096,1,0.06
3098,2,0.12
3100,931,55.02
3102,221,13.06
3108,115,6.8
3111,119,7.03
3113,130,7.68
3115,1,0.06
3116,561,33.16
3117,2,0.12
3135,314,18.56
3136,24,1.42
3140,7,0.41
3145,3,0.18
3146,3,0.18
3151,54,3.19
3152,2,0.12
3157,299,17.67
3158,450,26.6
3165,219,12.94
3174,1,0.06
3191,80,4.73
3194,2,0.12
3196,73,4.31
3197,61,3.61
3198,1500,88.65
3200,58,3.43
3285,70,4.14
3301,1,0.06
3303,1,0.06
3340,1128,66.67
3341,1,0.06
3363,471,27.84
3364,85,5.02
3374,11,0.65
3508,1,0.06
3802,37,2.19
