item,count,percentage
1001,136,4.41
1006,3,0.1
1011,14,0.45
1026,613,19.86
1028,206,6.67
1029,108,3.5
1031,10,0.32
1033,61,1.98
1038,1,0.03
1052,533,17.27
1054,941,30.48
1056,13,0.42
1057,5,0.16
1058,418,13.54
1082,452,14.64
1401,1,0.03
1402,1,0.03
1414,1,0.03
2003,79,2.56
2010,17,0.55
2031,219,7.09
2032,1,0.03
2033,6,0.19
2049,1,0.03
2055,84,2.72
2139,1,0.03
3001,7,0.23
3009,39,1.26
3010,2,0.06
3020,591,19.14
3026,1,0.03
3027,5,0.16
3041,62,2.01
3047,225,7.29
3056,1,0.03
3057,2,0.06
3065,1049,33.98
3067,151,4.89
3068,8,0.26
3069,1,0.03
3070,18,0.58
3075,18,0.58
3076,11,0.36
3082,5,0.16
3083,18,0.58
3089,498,16.13
3092,5,0.16
3098,1,0.03
3100,1,0.03
3102,195,6.32
3108,299,9.69
3109,1,0.03
3110,1,0.03
3111,222,7.19
3113,44,1.43
3116,795,25.75
3123,2,0.06
3135,447,14.48
3136,277,8.97
3140,4,0.13
3143,11,0.36
3144,2,0.06
3145,56,1.81
3146,14,0.45
3151,1145,37.09
3152,2457,79.59
3157,1403,45.45
3158,1756,56.88
3165,73,2.36
3191,219,7.09
3193,1,0.03
3194,9,0.29
3211,142,4.6
3222,1,0.03
3285,299,9.69
3302,1,0.03
3303,2,0.06
3340,2510,81.31
3341,1,0.03
3363,451,14.61
3364,112,3.63
3373,2,0.06
3374,22,0.71
3379,1,0.03
3512,4,0.13
3513,1,0.03
3742,13,0.42
3751,3,0.1
3800,2,0.06
3801,3,0.1
3802,1,0.03
