item,count,percentage
1001,69,5.98
1006,14,1.21
1011,160,13.86
1027,3,0.26
1028,175,15.16
1029,111,9.62
1031,116,10.05
1033,41,3.55
1036,55,4.77
1037,2,0.17
1038,2,0.17
1041,23,1.99
1042,3,0.26
1043,4,0.35
1052,2,0.17
1053,4,0.35
1054,100,8.67
1055,14,1.21
1056,1,0.09
1057,11,0.95
1082,2,0.17
1400,2,0.17
1401,685,59.36
1409,34,2.95
1413,46,3.99
1416,5,0.43
1419,6,0.52
2003,26,2.25
2010,6,0.52
2031,216,18.72
2032,95,8.23
2033,8,0.69
2045,2,0.17
2049,5,0.43
2053,3,0.26
2055,29,2.51
2138,1,0.09
2302,2,0.17
2303,14,1.21
3001,4,0.35
3006,9,0.78
3009,105,9.1
3010,3,0.26
3020,1,0.09
3022,35,3.03
3024,31,2.69
3025,5,0.43
3026,8,0.69
3027,1,0.09
3031,1,0.09
3044,8,0.69
3046,1,0.09
3047,282,24.44
3052,79,6.85
3053,103,8.93
3057,2,0.17
3065,443,38.39
3067,77,6.67
3068,196,16.98
3069,1,0.09
3071,7,0.61
3074,1,0.09
3075,226,19.58
3076,80,6.93
3077,69,5.98
3078,53,4.59
3082,83,7.19
3083,139,12.05
3086,1,0.09
3087,6,0.52
3091,8,0.69
3097,7,0.61
3100,1,0.09
3101,2,0.17
3102,1,0.09
3105,3,0.26
3108,1,0.09
3109,13,1.13
3110,31,2.69
3111,584,50.61
3116,2,0.17
3117,39,3.38
3123,1,0.09
3124,3,0.26
3133,3,0.26
3134,1,0.09
3139,1,0.09
3143,61,5.29
3144,7,0.61
3145,1,0.09
3146,2,0.17
3147,1,0.09
3152,1,0.09
3153,8,0.69
3155,1,0.09
3156,5,0.43
3158,3,0.26
3190,10,0.87
3191,1,0.09
3193,33,2.86
3194,19,1.65
3211,96,8.32
3285,1,0.09
3301,1,0.09
3302,8,0.69
3340,965,83.62
3341,20,1.73
3363,45,3.9
3364,119,10.31
3373,5,0.43
3379,1,0.09
3380,1,0.09
3383,1,0.09
3384,2,0.17
3401,29,2.51
3504,1,0.09
3512,19,1.65
3513,1,0.09
3706,5,0.43
3711,1,0.09
3742,503,43.59
3748,248,21.49
3751,27,2.34
3800,196,16.98
3801,39,3.38
3812,1,0.09
