item,count,percentage
1001,678,12.01
1004,1,0.02
1006,257,4.55
1011,494,8.75
1026,4,0.07
1027,73,1.29
1028,871,15.44
1029,459,8.13
1031,554,9.82
1033,211,3.74
1036,251,4.45
1037,13,0.23
1038,33,0.58
1039,18,0.32
1041,187,3.31
1042,182,3.23
1043,167,2.96
1052,13,0.23
1053,88,1.56
1054,98,1.74
1055,15,0.27
1056,42,0.74
1057,79,1.4
1058,7,0.12
1082,4,0.07
1083,1,0.02
1400,75,1.33
1401,2532,44.87
1402,21,0.37
1408,1,0.02
1409,99,1.75
1410,1,0.02
1412,63,1.12
1413,1612,28.57
1414,7,0.12
1416,158,2.8
1418,4,0.07
1419,273,4.84
2003,40,0.71
2010,10,0.18
2015,1,0.02
2031,196,3.47
2032,25,0.44
2033,27,0.48
2045,6,0.11
2049,7,0.12
2053,6,0.11
2055,251,4.45
2138,5,0.09
3001,5,0.09
3004,1,0.02
3006,116,2.06
3009,469,8.31
3010,2,0.04
3020,12,0.21
3022,35,0.62
3024,187,3.31
3025,320,5.67
3026,63,1.12
3027,3,0.05
3031,6,0.11
3033,3,0.05
3036,2,0.04
3041,1,0.02
3044,193,3.42
3046,8,0.14
3047,2220,39.34
3050,3,0.05
3052,314,5.56
3053,13,0.23
3056,3,0.05
3057,209,3.7
3060,1,0.02
3065,1957,34.68
3067,373,6.61
3068,29,0.51
3069,1,0.02
3070,12,0.21
3071,47,0.83
3072,12,0.21
3074,110,1.95
3075,453,8.03
3076,247,4.38
3077,1211,21.46
3078,582,10.31
3082,179,3.17
3083,58,1.03
3086,2,0.04
3087,8,0.14
3089,10,0.18
3091,175,3.1
3094,1,0.02
3096,1,0.02
3097,3,0.05
3100,9,0.16
3101,98,1.74
3102,1,0.02
3105,21,0.37
3107,1,0.02
3108,1,0.02
3109,86,1.52
3110,93,1.65
3111,1390,24.63
3113,2,0.04
3115,5,0.09
3116,2,0.04
3117,312,5.53
3123,10,0.18
3124,14,0.25
3133,7,0.12
3134,4,0.07
3136,2,0.04
3139,3,0.05
3140,3,0.05
3142,5,0.09
3143,204,3.62
3144,154,2.73
3145,3,0.05
3146,36,0.64
3147,11,0.19
3151,2,0.04
3152,2,0.04
3153,422,7.48
3155,6,0.11
3156,17,0.3
3157,4,0.07
3158,53,0.94
3190,40,0.71
3191,1,0.02
3193,97,1.72
3194,48,0.85
3211,558,9.89
3285,3,0.05
3302,1,0.02
3340,4460,79.04
3341,72,1.28
3363,158,2.8
3364,928,16.45
3373,5,0.09
3379,1,0.02
3380,7,0.12
3382,1,0.02
3383,7,0.12
3384,11,0.19
3401,7,0.12
3512,6,0.11
3513,10,0.18
3706,123,2.18
3711,3,0.05
3715,87,1.54
3742,1249,22.13
3748,3739,66.26
3751,62,1.1
3800,264,4.68
3801,78,1.38
3812,12,0.21
