item,count,percentage
1001,182,8.67
1006,8,0.38
1011,110,5.24
1018,1,0.05
1027,1,0.05
1028,165,7.86
1029,128,6.1
1031,92,4.39
1033,48,2.29
1036,365,17.4
1037,68,3.24
1038,83,3.96
1039,20,0.95
1041,9,0.43
1042,10,0.48
1051,1,0.05
1053,138,6.58
1054,67,3.19
1055,358,17.06
1056,1,0.05
1057,7,0.33
1400,602,28.69
1401,25,1.19
1408,11,0.52
1409,2,0.1
1412,115,5.48
1413,3,0.14
1418,1,0.05
1419,1,0.05
2003,46,2.19
2010,17,0.81
2015,1,0.05
2031,183,8.72
2032,38,1.81
2033,203,9.68
2045,2,0.1
2049,1,0.05
2055,39,1.86
2140,1,0.05
2303,3,0.14
3001,1,0.05
3006,15,0.71
3009,98,4.67
3010,1,0.05
3022,17,0.81
3024,3,0.14
3025,7,0.33
3026,264,12.58
3031,20,0.95
3033,40,1.91
3034,11,0.52
3035,26,1.24
3036,63,3.0
3044,169,8.06
3046,2,0.1
3047,733,34.94
3050,1,0.05
3052,22,1.05
3053,23,1.1
3057,32,1.53
3065,49,2.34
3067,114,5.43
3068,28,1.33
3070,2,0.1
3071,1163,55.43
3072,10,0.48
3074,340,16.21
3075,43,2.05
3076,20,0.95
3077,165,7.86
3078,81,3.86
3082,46,2.19
3083,16,0.76
3086,4,0.19
3087,14,0.67
3094,1,0.05
3096,1,0.05
3097,1,0.05
3101,10,0.48
3105,1,0.05
3107,1,0.05
3109,5,0.24
3110,2,0.1
3111,749,35.7
3117,164,7.82
3123,19,0.91
3133,154,7.34
3134,217,10.34
3139,7,0.33
3140,5,0.24
3142,846,40.32
3143,108,5.15
3144,2,0.1
3147,988,47.09
3153,10,0.48
3155,119,5.67
3156,193,9.2
3157,2,0.1
3158,54,2.57
3190,4,0.19
3191,1,0.05
3193,6,0.29
3194,10,0.48
3211,26,1.24
3252,1,0.05
3302,4,0.19
3340,1755,83.65
3341,17,0.81
3363,133,6.34
3364,187,8.91
3371,1,0.05
3373,1,0.05
3380,11,0.52
3401,4,0.19
3512,4,0.19
3706,32,1.53
3711,1,0.05
3715,7,0.33
3742,238,11.34
3748,85,4.05
3751,9,0.43
3800,3,0.14
3812,189,9.01
3814,181,8.63
