item,count,percentage
1001,380,5.04
1004,6,0.08
1006,1,0.01
1011,3,0.04
1018,405,5.37
1027,1,0.01
1028,9,0.12
1029,73,0.97
1033,76,1.01
1036,607,8.05
1037,662,8.78
1038,1586,21.03
1042,920,12.2
1043,64,0.85
1051,226,3.0
1052,1,0.01
1053,1016,13.47
1054,403,5.34
1055,3658,48.51
1056,1,0.01
1057,1,0.01
1083,110,1.46
1400,1,0.01
1412,3,0.04
1416,1,0.01
1419,5,0.07
2003,253,3.36
2010,236,3.13
2015,279,3.7
2031,360,4.77
2032,2,0.03
2033,7,0.09
2049,1,0.01
2055,149,1.98
2140,7,0.09
2303,1,0.01
3006,6442,85.44
3009,14,0.19
3020,1,0.01
3022,12,0.16
3026,377,5.0
3031,3903,51.76
3033,224,2.97
3034,49,0.65
3035,265,3.51
3036,418,5.54
3044,8,0.11
3046,1088,14.43
3047,304,4.03
3052,8,0.11
3053,5,0.07
3057,1,0.01
3065,1,0.01
3067,5,0.07
3070,17,0.23
3071,18,0.24
3072,943,12.51
3075,2,0.03
3078,5,0.07
3082,4,0.05
3085,1445,19.16
3086,856,11.35
3087,1917,25.42
3091,1,0.01
3094,2240,29.71
3097,9,0.12
3101,2,0.03
3111,74,0.98
3117,6,0.08
3123,144,1.91
3124,1,0.01
3133,238,3.16
3134,10,0.13
3139,301,3.99
3140,296,3.93
3142,16,0.21
3143,2,0.03
3144,139,1.84
3147,22,0.29
3153,488,6.47
3155,71,0.94
3156,64,0.85
3158,9,0.12
3302,9,0.12
3340,3320,44.03
3341,3,0.04
3363,4167,55.27
3364,33,0.44
3371,151,2.0
3380,1,0.01
3508,6271,83.17
3513,1,0.01
3742,1,0.01
3812,124,1.64
3814,3,0.04
