item,count,percentage
1001,109,6.61
1004,1,0.06
1011,1,0.06
1026,399,24.18
1027,2,0.12
1028,19,1.15
1029,21,1.27
1033,11,0.67
1036,1,0.06
1038,1,0.06
1052,360,21.82
1054,1,0.06
1055,1,0.06
1056,906,54.91
1057,1,0.06
1058,390,23.64
1082,72,4.36
1402,2,0.12
1410,1,0.06
1414,1,0.06
2003,39,2.36
2010,90,5.45
2031,79,4.79
2032,1,0.06
2033,10,0.61
2045,1,0.06
2049,6,0.36
2055,58,3.52
2139,1,0.06
2301,20,1.21
3003,11,0.67
3009,4,0.24
3010,5,0.3
3020,1362,82.55
3024,1,0.06
3026,1,0.06
3027,55,3.33
3030,1,0.06
3040,37,2.24
3041,70,4.24
3047,10,0.61
3057,1,0.06
3070,33,2.0
3086,1,0.06
3089,462,28.0
3092,37,2.24
3098,16,0.97
3100,2,0.12
3102,81,4.91
3108,103,6.24
3111,18,1.09
3113,112,6.79
3116,108,6.55
3117,4,0.24
3135,388,23.52
3136,78,4.73
3146,1,0.06
3151,257,15.58
3157,309,18.73
3158,53,3.21
3165,1404,85.09
3174,5,0.3
3191,81,4.91
3285,1005,60.91
3303,12,0.73
3340,1229,74.48
3341,4,0.24
3363,380,23.03
3364,33,2.0
3371,1,0.06
3374,10,0.61
3379,1,0.06
3504,1,0.06
3802,46,2.79
