item,count,percentage
1001,269,8.56
1004,6,0.19
1006,22,0.7
1011,250,7.96
1018,8,0.25
1026,53,1.69
1027,34,1.08
1028,319,10.16
1029,206,6.56
1031,253,8.05
1033,101,3.22
1036,296,9.42
1037,107,3.41
1038,73,2.32
1039,1,0.03
1041,61,1.94
1042,279,8.88
1043,331,10.54
1051,5,0.16
1052,2,0.06
1053,174,5.54
1054,25,0.8
1055,246,7.83
1057,12,0.38
1058,2,0.06
1082,1,0.03
1083,2,0.06
1400,27,0.86
1401,16,0.51
1408,4,0.13
1409,3,0.1
1412,85,2.71
1413,39,1.24
1414,2,0.06
1416,289,9.2
1418,13,0.41
1419,1909,60.78
2003,136,4.33
2010,28,0.89
2015,5,0.16
2031,373,11.88
2032,36,1.15
2033,18,0.57
2045,2,0.06
2049,1,0.03
2055,64,2.04
2140,1,0.03
2303,1,0.03
3001,2,0.06
3006,351,11.17
3009,67,2.13
3010,1,0.03
3020,1,0.03
3022,46,1.46
3024,8,0.25
3025,9,0.29
3026,85,2.71
3031,38,1.21
3033,10,0.32
3034,1,0.03
3035,5,0.16
3036,1,0.03
3044,218,6.94
3046,41,1.31
3047,843,26.84
3052,48,1.53
3053,20,0.64
3057,129,4.11
3065,482,15.35
3067,158,5.03
3068,27,0.86
3070,1,0.03
3071,114,3.63
3072,49,1.56
3074,120,3.82
3075,114,3.63
3076,61,1.94
3077,133,4.23
3078,998,31.77
3082,104,3.31
3083,21,0.67
3086,23,0.73
3087,55,1.75
3089,2,0.06
3091,23,0.73
3094,2,0.06
3096,1,0.03
3097,4,0.13
3100,8,0.25
3101,129,4.11
3102,2,0.06
3105,2,0.06
3108,2,0.06
3109,4,0.13
3110,13,0.41
3111,1279,40.72
3113,1,0.03
3115,11,0.35
3116,1,0.03
3117,115,3.66
3123,7,0.22
3124,412,13.12
3133,68,2.16
3134,57,1.81
3139,12,0.38
3140,8,0.25
3142,181,5.76
3143,116,3.69
3144,210,6.69
3145,1,0.03
3146,13,0.41
3147,83,2.64
3151,1,0.03
3152,2,0.06
3153,1498,47.69
3155,83,2.64
3156,106,3.37
3157,2,0.06
3158,19,0.6
3190,1,0.03
3193,15,0.48
3194,16,0.51
3211,201,6.4
3252,34,1.08
3285,1,0.03
3301,1,0.03
3302,5,0.16
3340,2726,86.79
3341,36,1.15
3363,106,3.37
3364,254,8.09
3371,4,0.13
3373,2,0.06
3380,5,0.16
3384,25,0.8
3401,1,0.03
3508,8,0.25
3512,3,0.1
3513,6,0.19
3706,8,0.25
3715,54,1.72
3742,567,18.05
3748,211,6.72
3751,9,0.29
3800,3,0.1
3801,4,0.13
3812,76,2.42
3814,9,0.29
