item,count,percentage
1001,403,5.3
1006,4,0.05
1011,292,3.84
1018,638,8.39
1027,2,0.03
1028,230,3.02
1029,302,3.97
1031,48,0.63
1033,111,1.46
1036,868,11.41
1037,475,6.24
1038,1558,20.48
1039,1,0.01
1041,10,0.13
1042,342,4.5
1043,105,1.38
1051,25,0.33
1052,1,0.01
1053,1462,19.22
1054,421,5.53
1055,3282,43.14
1057,7,0.09
1058,2,0.03
1083,16,0.21
1400,8,0.11
1401,1,0.01
1412,21,0.28
1413,5,0.07
1414,1,0.01
1416,27,0.35
1419,97,1.28
2003,358,4.71
2010,52,0.68
2015,18,0.24
2031,443,5.82
2033,5,0.07
2049,4,0.05
2053,20,0.26
2055,106,1.39
2140,6,0.08
2303,8,0.11
3006,2960,38.91
3009,29,0.38
3020,1,0.01
3022,1135,14.92
3026,999,13.13
3027,1,0.01
3031,5492,72.2
3033,289,3.8
3034,21,0.28
3035,134,1.76
3036,121,1.59
3044,77,1.01
3046,6502,85.47
3047,2085,27.41
3052,338,4.44
3053,49,0.64
3057,15,0.2
3065,79,1.04
3067,22,0.29
3068,32,0.42
3069,1,0.01
3070,46,0.6
3071,49,0.64
3072,2010,26.42
3074,40,0.53
3075,58,0.76
3076,34,0.45
3077,29,0.38
3078,193,2.54
3082,47,0.62
3083,8,0.11
3086,140,1.84
3087,786,10.33
3089,2,0.03
3091,7,0.09
3094,1,0.01
3097,4,0.05
3101,41,0.54
3105,1,0.01
3109,2,0.03
3111,1723,22.65
3113,1,0.01
3115,1,0.01
3116,1,0.01
3117,8,0.11
3123,116,1.52
3124,2,0.03
3133,76,1.0
3134,43,0.57
3135,1,0.01
3139,307,4.04
3140,212,2.79
3142,12,0.16
3143,100,1.31
3144,211,2.77
3146,1,0.01
3147,36,0.47
3153,906,11.91
3155,646,8.49
3156,450,5.92
3157,1,0.01
3158,7,0.09
3190,2,0.03
3193,3,0.04
3194,10,0.13
3211,34,0.45
3285,1,0.01
3301,1,0.01
3302,6,0.08
3303,4,0.05
3340,6243,82.07
3341,10,0.13
3363,1103,14.5
3364,226,2.97
3371,149,1.96
3373,1,0.01
3380,1,0.01
3382,1,0.01
3384,2,0.03
3401,10,0.13
3508,3,0.04
3512,2,0.03
3513,5,0.07
3706,4,0.05
3711,1,0.01
3715,14,0.18
3742,83,1.09
3748,19,0.25
3751,14,0.18
3801,1,0.01
3812,161,2.12
3814,57,0.75
