item,count,percentage
1001,86,6.49
1006,20,1.51
1011,105,7.92
1018,1,0.08
1026,1,0.08
1027,8,0.6
1028,165,12.44
1029,105,7.92
1031,95,7.16
1033,56,4.22
1036,93,7.01
1037,12,0.9
1038,12,0.9
1039,1,0.08
1041,3,0.23
1042,26,1.96
1043,2,0.15
1052,1,0.08
1053,31,2.34
1054,118,8.9
1055,29,2.19
1056,28,2.11
1057,39,2.94
1083,8,0.6
1400,7,0.53
1401,8,0.6
1412,24,1.81
1413,3,0.23
1416,1,0.08
2003,19,1.43
2010,5,0.38
2015,1,0.08
2031,38,2.87
2032,4,0.3
2033,571,43.06
2045,2,0.15
2049,3,0.23
2053,57,4.3
2055,35,2.64
2140,1,0.08
2303,3,0.23
3001,5,0.38
3004,2,0.15
3006,6,0.45
3009,46,3.47
3022,14,1.06
3024,11,0.83
3025,71,5.35
3026,44,3.32
3028,1,0.08
3031,1,0.08
3033,5,0.38
3035,4,0.3
3036,5,0.38
3042,3,0.23
3044,52,3.92
3046,1,0.08
3047,558,42.08
3052,108,8.14
3053,225,16.97
3057,54,4.07
3060,18,1.36
3065,312,23.53
3067,64,4.83
3068,35,2.64
3070,2,0.15
3071,97,7.32
3072,3,0.23
3074,9,0.68
3075,131,9.88
3076,55,4.15
3077,96,7.24
3078,1017,76.7
3082,74,5.58
3083,20,1.51
3086,3,0.23
3097,2,0.15
3101,15,1.13
3105,3,0.23
3107,1,0.08
3109,7,0.53
3110,11,0.83
3111,532,40.12
3117,5,0.38
3123,11,0.83
3133,32,2.41
3134,2,0.15
3139,2,0.15
3142,1,0.08
3143,118,8.9
3144,2,0.15
3146,3,0.23
3147,4,0.3
3153,6,0.45
3155,34,2.56
3156,83,6.26
3158,15,1.13
3190,4,0.3
3193,23,1.73
3194,10,0.75
3211,86,6.49
3252,1,0.08
3302,1,0.08
3340,1150,86.73
3341,5,0.38
3363,134,10.11
3364,33,2.49
3373,1,0.08
3383,1,0.08
3384,12,0.9
3401,6,0.45
3512,387,29.19
3711,2,0.15
3742,289,21.79
3748,235,17.72
3751,6,0.45
3800,7,0.53
3801,8,0.6
3812,89,6.71
3814,1,0.08
