item,count,percentage
1001,161,6.63
1006,19,0.78
1011,325,13.39
1026,29,1.19
1028,386,15.9
1029,306,12.6
1031,279,11.49
1033,152,6.26
1038,4,0.16
1039,53,2.18
1041,3,0.12
1052,28,1.15
1054,31,1.28
1056,2,0.08
1057,96,3.95
1058,10,0.41
1082,4,0.16
1401,1682,69.28
1402,83,3.42
1409,371,15.28
1410,3,0.12
1413,65,2.68
1414,2,0.08
2003,12,0.49
2010,8,0.33
2031,994,40.94
2032,57,2.35
2033,1,0.04
2045,4,0.16
2049,10,0.41
2053,1,0.04
2055,141,5.81
2138,1,0.04
2301,1,0.04
2303,22,0.91
3001,37,1.52
3006,1,0.04
3009,17,0.7
3010,4,0.16
3020,40,1.65
3024,6,0.25
3026,8,0.33
3027,4,0.16
3041,3,0.12
3047,779,32.08
3050,3,0.12
3056,1,0.04
3057,2,0.08
3060,1,0.04
3065,1271,52.35
3067,278,11.45
3068,89,3.67
3070,10,0.41
3075,612,25.21
3076,206,8.48
3082,245,10.09
3083,338,13.92
3087,1,0.04
3089,10,0.41
3097,3,0.12
3100,1,0.04
3102,6,0.25
3105,77,3.17
3107,23,0.95
3108,4,0.16
3109,167,6.88
3110,8,0.33
3111,417,17.17
3114,1,0.04
3115,1,0.04
3116,31,1.28
3117,51,2.1
3135,1,0.04
3136,23,0.95
3143,551,22.69
3145,3,0.12
3146,1,0.04
3151,62,2.55
3152,19,0.78
3157,10,0.41
3158,842,34.68
3190,334,13.76
3191,2,0.08
3193,337,13.88
3194,48,1.98
3211,211,8.69
3285,15,0.62
3301,2,0.08
3302,6,0.25
3340,1694,69.77
3341,79,3.25
3363,37,1.52
3364,609,25.08
3373,5,0.21
3379,2,0.08
3383,13,0.54
3401,24,0.99
3504,1,0.04
3512,8,0.33
3513,3,0.12
3706,11,0.45
3711,4,0.16
3715,2,0.08
3742,278,11.45
3751,30,1.24
3800,2,0.08
3801,50,2.06
