item,count,percentage
1001,109,4.89
1011,1,0.04
1026,532,23.86
1027,16,0.72
1028,28,1.26
1029,30,1.35
1033,25,1.12
1037,1,0.04
1039,3,0.13
1041,1,0.04
1043,2,0.09
1051,1,0.04
1052,467,20.94
1055,1,0.04
1056,1154,51.75
1058,523,23.45
1082,62,2.78
1083,1,0.04
1402,8,0.36
1414,1,0.04
2003,44,1.97
2010,119,5.34
2015,1,0.04
2031,80,3.59
2032,4,0.18
2033,18,0.81
2045,2,0.09
2049,6,0.27
2055,68,3.05
2139,2,0.09
2301,15,0.67
3001,5,0.22
3003,13,0.58
3004,1,0.04
3006,2,0.09
3009,8,0.36
3010,4,0.18
3020,1894,84.93
3022,1,0.04
3026,2,0.09
3027,51,2.29
3030,17,0.76
3031,1,0.04
3040,26,1.17
3041,38,1.7
3047,12,0.54
3057,81,3.63
3060,1,0.04
3067,1,0.04
3068,1,0.04
3070,20,0.9
3076,1,0.04
3082,1,0.04
3086,1,0.04
3087,2,0.09
3089,774,34.71
3091,1,0.04
3092,26,1.17
3096,1,0.04
3097,1,0.04
3098,6,0.27
3100,325,14.57
3102,143,6.41
3107,1,0.04
3108,123,5.52
3111,37,1.66
3113,200,8.97
3115,4,0.18
3116,59,2.65
3117,5,0.22
3124,2,0.09
3135,483,21.66
3136,109,4.89
3140,1,0.04
3145,8,0.36
3146,3,0.13
3151,336,15.07
3152,7,0.31
3157,537,24.08
3158,51,2.29
3165,1988,89.15
3174,5,0.22
3191,109,4.89
3194,2,0.09
3222,1,0.04
3285,1047,46.95
3303,5,0.22
3340,1626,72.91
3341,3,0.13
3363,535,23.99
3364,58,2.6
3374,20,0.9
3379,1,0.04
3513,1,0.04
3715,1,0.04
3802,45,2.02
