item,count,percentage
1001,166,7.28
1004,12,0.53
1006,6,0.26
1011,1,0.04
1026,631,27.69
1027,10,0.44
1028,218,9.57
1029,50,2.19
1031,1,0.04
1033,55,2.41
1036,1,0.04
1038,1,0.04
1052,522,22.9
1053,1,0.04
1056,184,8.07
1057,9,0.39
1058,144,6.32
1082,27,1.18
1402,2,0.09
1410,1,0.04
2003,26,1.14
2010,171,7.5
2031,154,6.76
2032,2,0.09
2033,12,0.53
2045,120,5.27
2049,431,18.91
2053,1,0.04
2055,258,11.32
2139,1,0.04
2301,956,41.95
2302,21,0.92
3001,12,0.53
3003,1,0.04
3006,2,0.09
3009,19,0.83
3010,4,0.18
3020,1401,61.47
3024,10,0.44
3025,1,0.04
3027,18,0.79
3028,3,0.13
3030,2,0.09
3031,1,0.04
3040,2,0.09
3041,12,0.53
3047,36,1.58
3050,46,2.02
3057,1,0.04
3060,9,0.39
3065,2,0.09
3067,3,0.13
3069,12,0.53
3070,7,0.31
3072,1,0.04
3075,1,0.04
3076,3,0.13
3082,3,0.13
3083,3,0.13
3085,1,0.04
3089,125,5.48
3092,614,26.94
3096,6,0.26
3098,181,7.94
3100,1,0.04
3101,1,0.04
3102,78,3.42
3105,44,1.93
3107,75,3.29
3108,180,7.9
3109,1,0.04
3110,7,0.31
3111,30,1.32
3113,28,1.23
3114,10,0.44
3116,1175,51.56
3117,398,17.46
3135,269,11.8
3136,270,11.85
3143,3,0.13
3146,1,0.04
3151,1345,59.02
3157,331,14.52
3158,130,5.7
3165,445,19.53
3174,8,0.35
3190,86,3.77
3191,117,5.13
3194,3,0.13
3211,3,0.13
3222,1,0.04
3285,82,3.6
3301,7,0.31
3303,87,3.82
3340,859,37.69
3341,205,9.0
3363,96,4.21
3364,1114,48.88
3374,14,0.61
3382,3,0.13
3504,8,0.35
3512,6,0.26
3513,1,0.04
3801,13,0.57
3802,74,3.25
