x,y
5873,8871
7295,1497
6602,3077
2767,11863
4962,5537
10794,10618
6636,6782
4049,9406
1048,10706
13234,10577
4692,3854
8070,8068
8854,9251
11980,3339
8044,7625
8621,8097
11532,7501
8667,7915
12202,7264
8673,9007
13414,7519
6846,6836
7779,7212
10575,9952
9994,9683
7317,7036
8487,1452
4794,7974
4856,7459
6824,8174
11528,4068
8001,10000
12262,10637
8658,9784
6371,6490
6799,7229
6870,7314
9236,9184
8803,8732
1590,11088
5595,5185
4153,12357
4052,3748
1447,3447
4784,13652
5331,9008
10138,8912
8014,8108
8594,1356
9221,7447
10047,1208
8410,8725
6256,5070
2434,6260
2826,3060
4874,4302
13106,2672
10676,2755
9776,9620
14075,9740
11113,12019
13892,10916
5823,6569
6951,7381
13341,3759
2424,8538
8184,1894
1284,7026
3663,10177
1892,2090
8620,7760
6354,6608
8760,1691
4702,6478
7807,7827
5938,6105
4808,8176
5615,5429
12536,12572
6933,7690
11951,11473
6680,7880
5825,10450
3760,903
7757,7871
2955,7910
9639,8936
7740,5086
9504,8925
8977,9039
9844,7019
8004,7992
9542,9764
10103,8752
13734,7830
10542,13395
6580,7027
9943,5142
5714,6026
7460,13544
7702,7725
9107,8895
6838,6602
13636,7926
3550,11176
10310,3371
2726,4310
3694,1517
1858,1295
9952,6599
8296,6937
7651,4919
6577,4828
8193,1421
2302,7536
4607,1588
1781,2147
1072,2084
5940,6627
7611,7605
8130,6168
7201,6451
6136,3812
5312,5255
6222,4970
7887,7775
13211,7445
4834,5351
10232,7265
13593,14060
6962,4876
9134,9333
8670,5757
4878,5462
7575,3298
4767,3577
8317,8293
11459,4477
8090,7929
5507,13039
9556,9204
9851,10306
12279,6610
11635,12080
9457,9445
8310,7878
6659,6899
8947,8709
8923,8224
6573,7012
7326,6368
8167,8222
8157,10611
4530,6965
5785,9014
2978,2123
6516,6558
11951,11174
12228,6386
10965,1470
9745,4325
7548,6722
11788,1239
13222,2283
7893,7653
4594,10270
9964,6039
10404,8954
12208,13733
6014,5947
11413,4565
6213,7085
3961,11451
4821,5593
5804,9178
9858,7379
6388,9874
7468,7525
13024,2900
6948,7274
12366,8130
6414,13385
12038,10865
11518,7196
10165,7487
6315,6146
12919,11240
6508,8213
6583,6503
7248,8880
4828,8828
4216,2130
6059,6357
9715,5878
4938,5125
8307,2041
925,9389
4267,4663
8701,8416
7974,7784
7522,7648
5708,5465
9788,4805
11070,4956
5313,6135
6957,7723
7704,10300
10532,10498
10724,11149
11906,12109
7016,7934
10949,2158
2765,5806
8423,6000
8542,8567
9001,4110
8306,8514
11483,10555
7964,13832
9670,11721
13214,12432
7608,9929
13654,12238
13773,13181
7446,7990
7634,7422
7647,7947
6888,7090
9618,7366
6934,7540
10022,9826
8693,5156
5384,9333
9763,5665
3386,10282
3471,4222
8288,8006
9362,9050
6847,6749
2951,7384
7452,8670
6240,10326
4122,4514
8593,8654
13153,8010
9767,12784
10448,2642
6544,6812
7335,7412
8247,8862
6405,6247
7010,6930
5931,8472
7868,7006
6169,10167
6086,8836
12344,2477
10748,5334
7058,6438
7985,7435
2808,5530
3421,6722
1337,6105
5960,5934
6181,6422
6213,6235
6166,6546
5307,5384
7466,7577
7734,7244
4525,4413
8812,8596
5354,8852
9529,1068
5058,1627
5732,5701
4970,2813
6668,6420
725,411
8709,6452
7850,1251
5452,3322
2598,7436
9381,1213
3062,1555
9762,9551
9237,8852
8107,8484
9026,8929
6528,7050
6977,7013
12952,7341
9486,9312
1974,12502
10618,13384
11722,12418
5707,6261
8024,7610
8237,8274
13843,3718
13563,8114
6789,8202
9157,6374
11039,11862
13791,7886
14183,10708
6240,3181
1948,1207
7357,7205
7745,4994
8723,8712
9854,14062
8788,5527
11384,9840
8961,8218
8071,7556
9273,13939
5099,9164
6027,4562
5786,6560
5710,6540
5697,6519
11389,3575
8797,6325
4878,5193
8370,8242
5561,3744
12073,2587
6188,6825
9677,6374
5849,7357
7668,6771
7288,7777
7210,6506
4793,5209
5133,7560
7208,4885
903,3773
8442,8607
8777,9029
10410,5637
9022,9671
7342,13886
9566,6230
11157,11699
8242,8357
5734,5376
8799,3447
6669,4805
10031,5353
4722,7946
12095,10259
13876,13094
7924,7914
5231,7661
7921,1399
2825,3554
7226,6025
13877,5406
13266,2151
7084,5010
6704,6222
13630,13024
4526,9216
7687,7843
5064,5522
2453,9714
1922,2205
3754,10503
7068,6359
8242,7999
9793,9905
5081,7858
7728,7752
8066,8521
10821,10443
10799,11449
13215,9129
5160,10338
6483,7133
4293,7295
11841,7040
5035,3723
6510,1016
6498,4752
9916,5164
2092,1890
6456,6682
5540,6331
6763,7151
5829,6195
5806,6132
6638,3134
7744,5246
2994,7140
6691,4625
7484,2658
2018,4144
8444,6110
7258,6698
5084,12408
8329,12026
3898,10600
12229,9769
9688,9122
12842,11832
5224,3551
6692,7196
4624,6006
8759,8477
1242,9812
9048,4120
8178,7719
8184,7566
7566,7740
9709,5647
9024,833
3651,13872
11319,5589
11334,4939
5314,5660
4833,9779
5961,5788
6592,6654
7976,5065
7085,6662
4753,4436
5034,5381
7150,7790
9496,8737
11366,1548
9696,9422
7717,9786
7474,9830
11496,4281
12501,1529
9423,5873
9030,6083
6086,5884
6129,6575
6535,6300
8284,5328
1123,9495
6355,6577
8485,5754
5240,8790
11777,9511
12985,5196
7230,6880
9090,5984
9923,6532
9253,11709
4801,7769
11857,13191
5988,5854
5707,5971
7709,5722
6710,6454
2156,8736
8642,8070
5116,5680
9606,890
2932,7875
6913,9473
10310,7400
13690,13733
10028,4952
8272,7089
3809,4402
8079,7982
7031,9286
14123,11795
6896,8247
11266,6158
10605,10010
13277,10724
12031,12402
6840,6842
6167,7032
8375,5643
5373,5539
11517,1101
7437,8830
11037,5278
5398,7570
8513,6306
7505,7472
7049,7974
8432,8271
8479,1076
6332,6043
8555,7517
13276,2712
7982,13992
4035,2161
13250,3930
8453,8195
11070,5282
13580,3384
8074,7864
13752,8508
3079,10856
11384,9699
10873,5536
5798,1752
6368,9151
8721,8276
8151,7646
10641,4968
3369,4204
4794,1310
1543,2191
1279,8159
1604,10100
9465,5659
6731,7405
6984,6746
8669,5176
13176,4558
11496,8624
6776,8984
10579,10123
12187,1510
13960,9198
9569,9221
7902,7818
6239,6069
8293,7501
9007,9387
10395,1341
7200,6807
10079,3304
9606,5733
8082,8462
6022,3999
12038,9639
11394,11057
7783,5099
10565,10615
6332,9122
9076,8324
4002,12708
11056,4904
8106,7701
12600,3130
10207,9015
7603,6826
9711,9230
3651,13237
12000,11024
8262,8496
6601,6453
9242,6372
3263,11761
11732,1433
11989,7773
8695,5797
9468,9176
6825,4973
5239,5651
6516,6231
6727,1673
6914,6481
765,4426
3593,3968
6262,9192
8416,6459
11652,2304
4670,9822
10028,4511
10362,14002
10444,12238
7300,6422
12954,3352
7499,11629
3734,4326
7108,7004
8162,7618
5087,6039
9362,8744
3726,9340
6391,4896
8752,9992
9059,13377
8775,5606
8518,7748
14079,4241
7735,7142
6352,6363
4541,9536
10877,9824
10837,10730
8258,7954
8192,7637
14047,4261
8414,8548
6507,4649
6595,8495
10984,10634
10096,11986
6890,10010
8169,7078
5533,1783
10318,2527
3821,3345
5740,8746
4024,3868
4469,4622
11832,1070
3919,5944
6381,6679
5303,5432
6057,6382
6707,2918
3135,1927
9173,7262
8392,6534
6061,6927
6106,13648
9575,8943
11008,5531
11444,7492
6224,10446
9848,9577
9109,1127
5730,5752
8199,5079
7599,7138
6262,6753
7163,5034
10361,852
4256,4735
6935,4408
9958,9576
924,1066
6198,6884
2380,9655
7200,7123
2531,6575
6015,9091
1730,11991
4998,4662
937,4963
8349,6581
6298,6402
10223,5010
2585,6607
10657,1125
7922,8710
4423,4362
6668,7531
6671,2720
3569,1598
2897,2279
7806,6832
11302,5548
5892,5938
6979,6983
9597,3406
8362,7899
9148,9475
6458,6188
9128,9322
4710,6044
1701,2150
6857,7412
6850,13352
