x,y
8180,3483
6147,4102
4953,5187
1761,9638
4690,9370
11496,7988
9514,8814
1376,10760
10827,10085
7934,7807
8096,8284
11642,2116
12252,3243
6982,7444
11276,1852
7197,4873
2588,11548
1710,11115
7681,3582
4585,1462
4407,4232
4841,1535
11089,10625
9595,11948
11492,11928
4303,12296
9011,9285
10585,8714
9724,1048
3947,7253
7955,5901
5776,5985
13917,5627
12349,6286
11873,5196
3887,11367
5484,12836
3961,13586
8454,11302
6918,7951
9551,6302
8205,4957
13752,7330
9771,9784
8715,5481
12677,11154
7128,9434
7520,11670
7012,7123
7072,7359
6671,4773
7059,4683
9171,8902
6059,5101
8654,5530
8684,8058
6673,13582
4163,12847
2360,3024
2682,2898
4432,7353
9814,9928
6010,10530
10644,10638
7870,7825
2774,3369
6728,4678
3960,4608
8702,8887
9160,8417
9678,9026
12340,1346
11873,1434
11983,2109
9724,4880
10006,5108
10158,9811
4316,12809
11221,1035
11913,2047
10988,11788
13625,8541
7464,6998
6134,4979
1051,3257
7180,6730
9238,9222
7403,6934
8942,9058
9018,7583
8575,8669
9388,8656
10414,10260
6853,6957
7987,5830
11154,5511
12048,7327
11807,7033
9870,9896
6997,7179
6422,6697
10432,3087
10926,1760
5019,5009
5343,5964
3659,3415
11391,4473
5722,6511
6541,6379
972,6955
4862,8240
4771,6457
10221,5610
11577,12813
13716,12935
5808,3775
11249,1170
13900,4787
12895,5136
11727,6722
8102,8129
13380,7087
3089,7064
6798,6329
6130,6820
11572,6554
11805,6755
11795,5169
11724,6653
13015,11997
8126,4803
9908,5946
13148,6991
9958,9154
7044,13451
10865,10464
11169,5680
10817,4768
8939,3574
3428,770
3204,6899
1980,9589
1664,960
923,1129
6824,974
6829,6398
5688,4959
1594,3243
2650,708
12180,1762
12367,1834
10890,3609
8726,8602
4991,5643
10216,7224
11242,3407
8372,8719
4626,9988
4842,8470
5670,1174
3254,778
7384,7444
7082,3837
4764,5850
11016,3790
947,9939
6058,6886
8484,4866
5903,8434
8499,3357
6562,6436
7246,7139
1085,11286
4025,7270
7163,6134
9079,5989
6165,7237
5044,1620
1355,4324
4070,3600
4713,1767
3933,1259
3728,899
7877,2370
12656,10723
6984,14114
7645,7447
7283,4898
6726,7841
3715,7363
5014,5146
9947,9273
10203,9005
6770,7285
13920,9155
11971,11626
9334,8912
7773,7699
8036,6585
6654,6801
9722,4192
12201,11465
12526,5037
13207,5711
8071,8477
8420,8068
9382,6347
8912,8141
7968,7353
6282,13516
10286,8271
