x,y
1950,11486
1559,7092
1685,12759
1889,12608
4147,12680
1492,11693
3633,4946
8120,4914
9455,9688
11448,9811
3942,9924
12260,9937
8117,13909
4474,14056
9434,7189
8003,13710
6907,13206
7008,13204
6512,11348
4868,10536
2100,11695
4977,13484
4249,13487
7839,13710
10041,9070
8694,8210
7170,8700
9070,9332
9678,10304
10788,10916
7777,5079
6444,11244
7060,8845
8782,1130
13632,8352
12922,11301
13187,3897
13964,8366
10242,11034
12446,12203
1619,11303
6018,9122
1046,9677
1201,10619
2942,7381
13921,3776
12153,2185
6161,4701
5817,1638
6707,4280
6975,2630
5959,5529
7436,3977
9836,1491
8729,8366
9703,9402
11263,5105
9387,2373
11709,6883
8945,8900
7827,7858
1809,11532
2191,11725
4784,13589
8045,10553
6375,6989
6944,7365
8848,8397
9866,9359
11750,11063
6254,10315
6221,12092
2274,12540
3775,13579
9619,11732
11584,6028
13089,3040
11430,6448
8778,7571
7217,6767
10780,5093
8836,12941
11976,12039
8429,8024
8192,7739
9197,8608
3070,13791
2512,12058
8138,1054
8068,1849
5810,8901
1415,8078
2214,8420
7050,2549
8802,6550
8966,1305
11104,3791
5759,5669
4678,6167
8815,2394
4995,5596
1091,11068
1873,11615
13080,10290
2110,12329
990,10791
1023,9839
1796,5044
2473,13364
1207,12124
5525,6170
5987,7363
5611,8893
6695,7101
3155,3869
799,9172
6472,14114
7637,10233
2313,13545
2868,12508
3366,10288
749,8686
3903,4291
2950,2158
3302,13541
1498,11006
6686,3057
1327,6570
7420,7184
7949,7376
10094,9697
8468,8316
8481,8303
8016,7542
9186,7374
8153,7747
8366,5702
10700,5138
3729,11385
3880,11210
3083,2495
3694,3988
3678,2829
3764,3090
7003,9343
7780,7335
8612,8156
13472,4508
14048,4751
8619,8026
9758,3350
8900,4370
7187,9704
6973,6996
9418,9954
8544,8673
2757,13521
8160,8430
10957,4448
7524,7029
13995,10995
13786,11800
7342,11999
9122,8359
8083,8031
7936,7260
13643,3826
13380,4408
8763,8670
7728,8119
8026,13565
8926,8230
8378,8345
7213,9063
11190,4910
6628,7649
6218,8262
10042,12001
5159,8637
12052,8494
5549,11135
11491,12097
3285,12896
2512,13430
1374,12264
1572,10317
9293,7130
11347,1323
6024,5931
5887,7153
9518,4359
4863,5852
4805,5297
13310,7434
12308,4696
5039,2533
6711,11719
3179,3605
2734,4011
2640,11474
2087,11794
2781,11902
1500,10616
4749,5092
1368,4718
1038,5081
1345,2777
7802,7649
9761,9410
3727,9139
3322,13340
3629,8993
10334,10140
11112,5460
10884,10750
13541,12736
8511,8304
8182,12355
13660,4055
12638,3034
6315,11039
6078,10550
7682,10036
12725,10567
13392,11482
13353,11772
13849,12280
12504,11824
12762,13512
5956,9315
12081,4812
8261,8816
8470,8172
8398,8050
3223,7703
3068,7960
8814,8757
11368,7214
10281,9846
10800,9829
11100,7800
13740,8371
13366,7333
8007,7811
7624,7386
7953,7343
9320,6237
10888,1621
6866,6972
5251,13214
7580,6663
6029,6247
5894,5952
10693,9884
12022,1864
10040,10070
6966,12876
9701,4651
7574,4709
5735,12215
6724,6287
6194,2440
6637,7790
6729,7323
5236,9367
4890,5566
4836,8008
3756,13281
4482,13588
2395,4545
4552,12043
4089,11644
5181,13220
5923,6843
5274,6128
11245,1782
6406,6191
1108,12147
2730,9830
4356,4263
7026,3069
5422,3726
5108,1602
4462,4080
4948,2730
2356,2314
8160,10219
1401,10409
1751,11458
11959,2106
7785,7635
6838,6919
6277,6436
7586,7150
9272,8597
5984,8572
11831,3917
11773,4459
11978,3238
5956,2171
11141,5625
8668,5486
8185,8428
8188,7482
6303,6621
4730,5014
4868,5143
12905,11858
4004,13610
3977,13851
904,11474
7917,13576
1845,12602
7340,13922
8556,3635
7786,6576
10526,1520
9219,9332
7754,7300
6951,7556
5467,7660
6558,10020
13391,9357
13727,9315
7009,9746
8292,10161
7166,11092
4796,8105
4621,7775
3754,7207
10350,1611
4818,4497
4436,4642
1526,12784
13954,7392
4124,13084
6286,9466
11267,5645
7516,7372
9603,1042
8144,7316
5029,7867
6082,6682
9976,1071
5194,8477
5712,6027
5136,5438
8820,9216
8158,8472
9373,3634
1895,9825
1241,6449
7180,2609
6362,1116
6142,8250
7873,3537
5477,4902
10172,4758
10311,4707
8952,8692
12563,12222
10276,8246
6843,7356
5785,6517
8696,8924
8310,7895
7798,10361
7742,10346
8615,7783
10031,7614
6709,6465
7466,5951
7701,11046
4548,11644
4182,13537
7327,8935
6480,6320
6436,6265
8588,7977
6278,10227
7298,9140
3672,13096
7792,7998
13112,4906
7323,7025
10600,1597
2935,7731
4532,4883
7969,6474
6341,6776
3393,12920
4043,12982
6473,6559
13115,3676
4641,10550
11844,2400
8785,8546
1513,8774
2918,6725
10285,7522
10161,7571
8790,1068
7307,7852
4809,8286
3047,2480
1662,7727
2574,9725
868,7790
7553,6836
12566,2100
8221,1313
8112,7369
8468,8310
7470,935
6080,6649
2423,1827
3817,3668
11579,3376
1223,12078
1418,11191
1138,12203
6128,6745
5363,11576
1102,10993
10522,1313
7479,1400
7245,9080
7074,8356
6595,7236
3110,7620
2948,12617
1655,11790
2050,11669
805,8136
5925,5900
5072,3578
6003,3530
3762,4379
3502,3064
1853,12231
2800,12574
2998,13051
7654,5118
924,10767
8422,8423
12772,1780
1626,8947
11844,10983
8116,7568
6623,6605
3961,13183
7360,13429
1026,6925
1710,9499
3542,8967
5115,5009
2310,1185
5361,5737
974,957
1211,12172
13287,2866
3343,10720
1978,12901
1544,11357
1833,11262
11790,1517
11249,1636
1649,6542
4770,8268
5824,13744
10224,2563
2764,656
1916,12800
8210,8314
2017,11941
3313,13783
11441,5607
8216,8620
1445,8860
1563,8924
10992,11278
7224,11579
3748,13336
10642,11477
8979,10953
3938,10479
3007,11374
12088,1434
13326,3786
8489,6283
5868,7502
11528,1666
1675,6427
6338,7219
8679,4577
7077,6380
1261,4815
8868,8836
11340,4132
8559,5515
8452,8052
10909,10861
12420,3096
9530,2494
13384,12664
14018,4583
5514,3766
5499,3421
6434,3086
5160,10006
2476,1088
2169,2992
2506,2399
9145,8530
10921,3310
8770,8562
12034,3409
10520,7726
9719,9717
9077,9922
8387,12232
9518,11563
6808,7202
6933,6645
6102,5949
6887,2556
7158,7233
6199,10559
13444,12717
13221,6857
11709,6945
8843,8577
9273,9180
9078,9478
10494,11363
2312,12070
4543,14011
6242,6408
6815,6869
8867,7602
10460,10362
10806,4699
10951,5074
12320,7273
6492,6145
10784,7194
11406,6432
6428,1154
6261,3087
6375,6741
2086,13276
6272,7196
4078,4121
7789,7537
6398,8334
6327,1362
2926,1881
1525,11833
4720,13628
4132,13775
3998,13873
7275,13884
1984,12307
4460,13616
7575,8373
9153,8800
13508,4935
5740,13560
10753,11657
6373,6690
6421,6845
7674,5085
5577,4952
13387,9625
7096,7402
8016,7363
6622,6905
5981,5571
13663,9262
6860,6657
5024,4508
9627,9311
6499,6347
3840,3826
1478,2406
1915,2319
1218,1430
3680,13066
1745,11491
7504,6974
6288,6984
5831,6119
7537,7791
1296,4484
4611,4006
4981,3788
6998,1085
14030,8926
3551,4033
3670,3156
2400,762
2745,13469
11325,7112
4257,11663
6860,1226
3058,4242
2700,6230
9469,4572
6664,7305
6114,6282
10027,1059
10614,1577
10322,1148
6136,6193
7645,1569
