x,y
7828,1192
1746,4502
7361,7549
10782,10037
3304,6190
13061,3855
10145,1410
12240,1659
13475,3759
6143,5910
6512,6178
6824,6602
5342,5526
3814,4124
12704,3227
12185,3269
11822,3352
1148,8027
9695,1675
7108,7476
13214,4176
14059,5142
11747,10496
11578,2159
12082,2539
13715,5680
9987,8849
13028,1928
13888,6215
14118,13646
8369,8572
9981,1418
10148,924
6027,2014
6391,1662
3152,2152
12482,1684
4831,8312
9934,8597
10092,9447
12511,11763
13271,2870
7406,2587
6633,6703
11974,1958
8360,3618
3880,12728
840,10549
3393,13003
4126,12817
809,10507
6922,6853
7145,8008
13212,5304
13104,5467
9626,6329
1550,4174
946,4448
4432,14018
1888,12877
7093,7570
8879,10657
7855,9978
9027,7558
5761,5713
12288,8576
9843,7350
13612,9233
9360,2334
6105,4882
11965,12369
1244,11262
3151,13724
6945,7110
9950,4494
3297,3533
9853,800
11300,3367
13675,3410
10165,1618
10567,9843
14124,4756
9024,833
5291,5928
6099,13204
5194,4818
12594,2617
10966,1334
9726,3977
4811,10578
10457,882
12908,3412
10380,2890
6578,2484
11244,1363
13925,3674
3729,6175
1350,12044
1266,10860
4838,13392
7650,10072
855,10722
1480,10816
2909,3249
3224,3461
13956,4115
7686,3451
761,8468
3398,3478
13206,4014
13427,4023
1569,8505
10798,888
3278,8867
11166,1829
8258,8230
9246,5767
7783,5666
10648,1101
3985,987
9012,5445
8498,3751
4581,5073
13458,2725
13216,2983
11770,2497
8216,8190
9320,5618
10063,9404
13157,3523
13570,8263
8655,8158
10917,10771
8441,11874
8609,13295
13203,3917
1320,7376
11076,1000
6164,12473
11868,9321
13608,13640
10970,4315
3279,12906
3498,10307
4662,1721
12846,2396
13954,4980
12471,6195
7966,8670
7360,7987
9092,8967
11718,11011
1288,4526
11817,13107
13572,3070
11222,908
7415,5051
11939,3127
12895,1820
11919,1088
14113,5000
3082,7017
11960,10670
8852,10722
10644,11503
4061,12356
12889,13310
11231,5766
11010,9857
6412,7114
7000,6331
9804,1728
11090,3872
8023,7927
8488,8555
9428,8771
13538,6675
11506,3588
13122,9056
13908,8033
7767,7237
12231,1258
7652,7969
11342,5568
13154,2704
7359,1568
7144,7722
8560,3531
13667,3545
13106,3129
12743,2829
14115,4388
6960,6186
6631,6541
6484,6854
7823,12049
11231,1013
2850,7584
12435,3035
10350,5784
10989,11227
11808,1366
9910,7400
5167,5650
6416,6570
2736,6658
4010,9421
11487,3317
5823,3895
3456,3304
6536,6520
13560,4574
12560,3017
9930,10150
10136,7053
13512,2655
13909,8312
10731,10180
11952,3370
13525,4699
6231,10515
7298,8750
7054,6553
8020,1734
11358,4420
9579,5570
8781,8087
5870,7446
13913,3564
8436,8281
10599,888
1824,3868
3370,9153
8689,9903
11471,1178
6286,8118
11811,1084
7527,9732
2738,2990
12169,2383
12368,2298
5838,6232
12941,3181
8850,7616
6814,9296
4185,13547
4034,9322
5469,13104
12431,11725
10714,2238
11204,4402
3948,3507
13574,7726
9669,4081
13695,2829
6108,6202
9262,5642
11444,1862
12376,1601
12678,1974
10537,1220
8583,8991
7633,7261
13882,8056
9950,13472
3471,4063
4786,1337
12553,1730
10740,2271
14085,4919
12931,2271
13949,3912
13844,7016
8075,8737
10832,1286
12622,2830
6775,6820
6033,4937
2382,5473
6896,4544
9129,5950
12648,1524
13457,3477
10932,8629
11195,10922
12813,2287
13817,3458
7332,8032
815,7906
6619,7572
11630,1142
9924,2541
2685,2090
9993,4897
9151,8445
6888,7308
13730,4390
11574,1330
8160,6608
13914,7667
10730,4797
12403,10654
8224,778
1264,6647
1166,6746
7906,5580
11551,1095
10915,921
10724,1932
6965,7796
13248,5157
14012,4529
12250,12316
12953,2708
6025,12399
7784,5248
1495,5056
1480,8200
2892,13455
13416,3104
13041,3757
3099,11609
11577,1473
6700,6403
12570,2907
3179,3704
12953,3294
9280,9008
11900,1379
10000,9021
10694,5730
1966,7603
13144,3947
10045,6496
1046,1318
13096,3919
11552,2032
10835,1117
10351,1187
10403,1222
9702,808
7795,8023
14128,5979
6880,1647
6095,6395
6498,1222
13651,3698
11671,4540
11752,6669
10189,4073
10350,5074
11434,1622
7367,2538
11976,1688
11747,3404
11333,1631
10123,8750
12565,3189
13080,4621
10674,1718
12627,3162
8455,8392
10462,1203
12899,12989
13271,11944
11459,11868
11837,1341
11936,1412
8828,5458
5532,5734
11716,6945
13250,3051
4443,1048
13283,2288
14011,7594
13894,3881
10863,2013
13090,12381
1046,9931
9892,1580
3558,11128
13921,6007
14071,4690
7217,6913
11667,3519
8571,4722
10746,4618
3797,594
12686,2344
10005,5311
13732,4501
7634,5206
13723,4763
7861,13610
7911,1259
6263,9747
12432,1435
12290,1852
8320,7015
10777,4585
10471,1303
8273,6976
9891,7361
8204,10113
7532,12037
11869,1093
14031,4997
7485,7166
11939,3970
1685,6949
5248,1101
5603,1107
11396,10614
12108,1520
8393,6821
7376,3484
11286,5383
5173,8900
12022,2435
10050,8634
2543,3047
14142,5940
9437,10017
12242,1300
10987,1034
12074,1810
3074,13506
3978,13832
5056,10509
13656,4547
13706,13627
11889,2341
7178,8882
3536,11529
7335,7574
7778,6525
10456,1687
9476,4337
4655,4805
5886,5453
11343,1012
7089,4505
6797,12858
7622,7014
10314,5375
6366,4633
1628,7302
12789,3082
10962,10811
11855,12225
10865,1169
11771,2556
5754,12435
7206,854
3288,3872
11845,1981
13416,4728
12773,2622
7112,866
9790,828
6004,6314
11900,7046
4318,3792
13324,3957
7795,7130
14082,6568
5099,3089
5200,5856
4255,9525
7563,11749
8492,11620
8590,10590
13826,8699
8900,8756
9812,9044
1822,12268
12933,2830
11533,1127
13031,14030
11350,1143
13066,2548
13126,3857
13280,5381
9453,8841
4310,13542
6267,12202
2412,12272
6467,6640
4138,13612
8484,8282
5328,9071
6837,9202
10721,2149
11877,11469
12910,3224
9397,4215
7650,12194
1425,12340
6985,6637
11331,1215
8654,10554
5725,13328
1564,12132
1812,11902
3735,13548
8810,9388
13596,7794
6055,13303
5093,11676
11719,1292
3348,2899
10649,1310
11236,1228
14092,5275
9309,1196
8586,7917
6241,4416
883,1283
8502,5769
6627,7504
9452,9978
11298,1890
11459,968
13335,3721
13304,2967
12945,3079
11034,3885
11170,1634
530,3250
13181,3905
13730,7625
8774,9158
2344,12947
8382,6754
10332,5694
11592,1591
5858,5387
3313,1932
12133,2249
9972,8810
12970,3616
8092,7775
12981,3617
12797,1651
13515,2686
12143,1911
13188,2920
13508,6837
11821,1456
13374,4482
11004,6837
13616,3790
6762,5180
11318,1128
13166,5890
9995,6761
6584,7922
9428,8682
10789,1821
1773,1295
13627,3538
11273,5739
10064,851
11844,1406
3088,7514
13296,4560
11587,1819
11551,1484
6169,773
13594,4714
9607,6238
12769,7351
12428,2893
13829,3294
13375,3409
13894,5952
14140,4702
7582,10152
13951,8047
8467,13750
11066,924
9569,8843
3798,9575
7550,7570
7875,7603
11136,5081
6549,6544
6127,4807
9832,11010
12442,2899
9984,5476
11854,2524
12969,2521
4412,1066
10194,5930
8920,8000
10241,6339
7807,9712
14110,6198
8031,8208
9429,8710
12480,6040
8182,1546
12168,3454
13097,13581
13846,5098
13624,5206
12939,2279
11572,7116
12317,1241
3701,1827
4101,4113
12112,7953
