x,y
7234,6714
8564,12798
6890,9420
8517,6815
2971,13626
12471,2721
4477,10158
3594,10745
1229,10358
8885,8739
1524,7856
6916,13458
9924,13368
9896,6981
2792,12322
2836,7576
11434,6801
10447,1627
7573,8660
12003,3344
5028,13406
1345,11077
9656,7058
2679,3545
3404,2938
4112,13868
1515,6037
971,8366
8138,1114
1274,6834
935,6629
7140,6500
5269,1594
9741,5362
11891,3255
6227,11062
3725,9462
4708,1512
2684,13527
13621,3350
13237,4936
10241,5460
10447,10799
12870,11331
2961,12157
3359,13218
8351,6296
13735,4873
2440,8652
4454,13480
13850,9429
1646,9549
13378,3386
6002,6502
8367,7503
7710,7218
8024,8301
7483,6798
5930,7562
7945,5909
10305,9061
14052,14650
10673,5141
3303,7722
1112,4844
11344,1435
5048,10734
5334,3097
2415,2479
1190,1856
2521,948
8385,10118
13534,7352
7263,7716
11080,6611
8600,8726
9493,9749
12048,2010
6947,6590
13511,3331
13436,3041
12118,9753
13678,3693
7865,8082
8430,5704
3265,13511
9436,8675
10024,2543
3151,13022
7231,8602
9786,6382
11128,4868
9598,12682
1629,12165
7138,3813
11826,3012
5465,5939
8006,3426
5553,4938
9393,8931
11132,4744
9801,6162
10771,13757
12716,1743
13096,2043
13942,12165
7887,7303
4852,8302
1694,7034
11074,10657
10837,1947
8738,4999
4973,9057
4825,2899
13220,3132
4789,8052
6724,13984
12573,2028
11063,10582
6052,6419
5269,4803
6871,11537
6676,8100
4482,7417
11488,3404
7490,3674
7951,8605
1426,11848
11639,3470
6676,7327
10468,5220
12445,1557
12490,2833
4668,9217
13300,3056
2672,11472
13652,6386
5814,900
11345,6115
13612,13150
7218,6843
6038,7124
8412,1611
8536,1271
5062,3900
8849,1057
8695,1528
12573,5199
4059,13486
1710,7352
7186,9242
8281,5470
7964,5490
3588,4153
13813,8949
13603,9583
6105,6503
1362,11148
1154,12018
10703,11284
8542,12567
5730,5718
1585,11305
8124,8506
1604,12488
10730,3311
11100,3548
728,6938
9197,948
7854,3318
5048,8518
13165,3597
11495,6178
13975,4295
11686,7491
10020,9267
7090,9568
8190,8740
7686,9817
1364,10861
11547,10743
11574,13115
13251,12837
1867,12604
9334,1223
8496,1292
8036,7516
4793,4879
7198,3294
7155,6666
14092,4312
8492,5541
13244,3460
1723,11416
11822,2781
8700,7925
1648,10864
1459,10216
7465,10041
13209,2045
5423,9371
12714,10407
12188,6679
11657,4253
6027,6378
6432,6823
8808,8085
6213,6322
3516,2430
11358,1598
12064,12941
12239,2167
7082,3964
12078,11564
4826,8638
7027,5083
13544,5371
13076,5244
11074,7152
13906,7761
7549,3625
4640,4855
4517,10064
7610,898
12063,3524
4100,4665
1042,8633
14032,10583
5777,6226
4352,4542
4684,9914
3256,7367
11899,1297
8685,12612
5044,7541
8001,6182
10369,5664
10402,5123
8791,9307
13675,13904
11359,1067
1886,11395
4987,5264
3457,10538
628,1908
11563,1598
12208,8599
3299,13643
7820,13679
1543,4504
1227,8508
9509,1740
11137,3825
12808,3314
8083,7904
9823,6341
3669,13926
4436,5238
5198,6077
12780,1871
7410,7335
11200,12613
9056,9108
7239,4808
6009,873
11846,1550
3334,11259
7459,7380
5138,5885
8073,14015
10327,1199
3745,13326
7602,12400
10103,9429
12507,11311
11884,12042
11039,1744
5934,6026
7790,8104
7448,7786
5444,4938
4772,3975
2797,4533
7228,6513
5996,13363
10835,3372
10352,1717
10622,3274
11046,3692
1525,6378
4246,9472
13354,4841
10407,8736
4787,7472
7400,7118
6743,12971
3182,6442
5097,9434
7403,7870
8665,8516
11668,11415
2932,12488
1882,11990
4253,5124
11131,5544
6709,12683
6868,12806
11551,1715
8449,5762
5680,6069
6217,13495
2744,11730
3903,5977
7948,7810
12509,1698
13963,5240
11977,3003
10111,1117
11260,1670
8615,7907
7375,3560
5265,10496
1374,11321
9980,4419
7354,14104
8577,6676
9188,9264
7882,7970
10133,4264
4216,11980
8479,5995
9956,8273
6261,6315
9864,12193
13108,3596
12799,3175
1168,10534
9096,7602
10038,4655
10280,4522
3822,13729
11056,6700
8737,8985
11263,12743
5213,10912
12563,13459
13994,13207
2103,12582
7709,7808
8667,8977
7478,2778
4190,4078
5179,4735
10378,10288
6154,6022
5420,5462
10919,10833
8375,7500
3299,7776
7086,4097
4983,9734
4251,10026
8689,5261
12930,2894
10837,1105
9104,9722
1570,10226
2033,11970
2246,12169
4079,12504
4239,12503
13536,3188
13678,3433
6645,9366
9772,9968
12741,11819
12872,12604
11813,2270
13581,3576
13767,3862
6616,6794
2173,2796
2873,3306
3199,3020
2970,3208
3712,2427
5641,3771
9963,4433
3868,10584
7278,7234
4661,10147
792,1543
13511,3116
3685,12907
12946,11948
14008,11251
3654,9110
4074,13201
13181,3273
10750,1194
6849,5017
6198,7246
11405,1617
1616,10810
2167,11797
11414,1642
10135,849
6288,9085
10137,5320
6936,3941
8890,9134
13014,14194
13746,12654
2755,12271
10004,9740
5915,6185
3203,6730
2236,3159
12644,3012
11565,6826
11715,11010
13059,12850
10158,7230
4872,6762
2428,13228
7561,8497
6991,4156
4290,3630
4534,4743
5639,5540
8442,6804
6875,7108
3830,13664
8138,8458
5900,9376
9393,3381
9445,3609
13016,5489
3662,7405
11619,1911
5811,9141
10268,4623
6493,6217
10208,10342
9814,8995
3811,13043
8710,8956
7798,2249
5544,3639
7294,8048
2155,13437
1946,13194
13816,4709
4775,8012
9019,8952
5756,5958
10502,11166
758,4866
5824,8356
7150,7423
8215,6969
10510,2858
10726,2464
11010,3943
11321,1369
13000,2785
13088,2316
9488,4549
8338,8094
10224,7814
8428,5202
6789,8344
12211,6619
12974,7366
12847,13367
13629,2990
7066,6357
4146,13408
7955,8425
12277,2519
6583,9741
4378,9675
3910,11551
13452,6902
12215,8052
8041,7385
13536,2921
8264,8611
8375,6749
13438,9545
12442,5448
13168,4067
8339,6691
13465,4293
13782,5792
13202,3706
12682,2242
13428,3925
13387,3480
14122,6708
6845,9233
5239,5741
7743,8061
4430,5036
10558,10478
5282,8905
3132,7880
1364,1074
858,4202
2567,5440
3354,11793
13218,2788
13247,3743
8470,8135
9240,2280
896,5604
8694,5392
4363,13546
8082,8480
13424,8353
11882,9241
12919,3307
5576,5875
5305,5932
6074,6052
6155,6428
5424,5965
7091,6829
4188,14074
13873,7947
12333,12068
12459,9668
8368,4867
11626,5596
8663,8338
5372,10540
7692,11713
10926,11761
8256,1010
1502,12822
9160,5479
12649,2568
8767,6263
7059,6901
6774,6627
13377,3045
10618,1400
1496,10826
11616,7092
3752,13165
11833,1251
10526,1300
5297,1418
4531,3877
4432,4678
3709,3888
2935,13175
5604,5846
421,905
3680,13517
12746,1848
7688,5709
13210,3316
11110,1754
2195,13050
6390,10059
5823,7291
3369,8576
7137,5060
7027,6809
1678,12197
14060,5558
13340,3743
13589,3594
8003,10790
10586,12428
1417,6337
13338,3979
6565,8483
12029,1878
6694,4779
13337,7675
13359,7821
9820,13844
6505,6899
