x,y
4702,9273
7853,7852
6579,7195
9522,10156
5203,10203
12258,10266
6596,6452
4466,9298
5866,6732
5205,5482
2639,2441
1970,1692
10224,5352
9702,5359
6197,6672
5696,11106
6636,6798
7103,6783
5180,12361
10904,7128
9039,6113
9289,6372
11050,8765
8950,9213
6536,6270
7828,6586
11707,1414
8451,8685
13172,11957
11076,923
8659,4723
1049,10926
2273,13568
4891,4876
4774,5347
5755,5817
3815,9508
5026,5814
7315,14106
7545,7345
7569,6927
9160,1996
4680,10578
11299,1240
7731,7380
9494,9471
9439,9499
1266,9179
6024,3268
6175,3242
3165,4104
1705,891
6491,6315
6188,6500
8628,12264
7218,4764
7539,5860
6496,4668
6782,4100
4980,10556
8304,8704
9163,7562
8613,8132
8557,7566
4894,4777
1081,11495
3205,1966
2278,2350
1059,8068
7982,8635
13337,2825
6283,6475
5793,5333
7250,5142
3222,1963
4354,1759
2945,1406
1980,9467
7685,3265
7704,3275
12382,6337
8032,8048
7918,7807
8272,8423
9709,9466
10179,9836
11069,10565
11416,10599
12114,1328
10554,898
6188,5976
13243,4049
8391,6850
11964,7402
7051,11455
6664,7534
6131,4112
5381,1423
8186,7996
11913,1350
11548,8404
9089,8429
9208,1983
12711,3010
12846,2638
6503,8475
6883,4459
7285,2770
3762,894
2183,2555
2891,2917
8431,7873
7521,6673
8051,8192
7598,7409
10291,10300
9757,8993
12440,11730
13173,13743
12250,12263
12545,11878
9943,2548
9815,1544
4297,746
6240,3181
6097,4706
3352,8276
1085,5537
7523,7931
10973,3546
9396,5824
10632,7534
10372,12481
14061,5885
10453,7799
4017,9726
13124,3046
11950,3692
7974,8444
5862,6153
5112,10070
4283,10155
3610,8935
7277,7983
6600,7997
10410,5329
9263,6162
10730,5572
11476,12972
13709,9807
11285,9875
13212,11585
8937,8656
7211,12365
8278,7468
6997,3971
8920,7968
8836,8092
7088,6620
7346,7381
9835,6517
10087,9486
8336,8641
10506,12930
2864,3177
8360,5048
8500,7632
5824,8356
5174,5420
7983,8084
7930,8501
7878,6502
11454,5597
8598,9096
