x,y
6231,4283
11909,2429
11634,1489
7928,1237
8996,5754
6835,6364
5439,5342
10610,5059
8115,5386
8302,10164
6370,6867
10299,10201
6987,9345
6792,6884
9204,9905
6837,13859
8537,5396
12594,5284
6480,6373
7694,13842
5311,3467
13283,2662
9398,1068
10068,3235
7339,2578
6624,8306
2944,673
8789,10026
3232,7402
7750,7638
6457,6129
7724,7106
10226,3252
5835,6184
6854,7214
7844,7641
8170,2264
7145,7554
4443,3909
9192,2319
5653,9119
6652,7249
2559,3044
6624,8598
1187,12137
1221,8849
10061,7026
6526,9498
8695,5643
5072,8454
4796,9805
8578,8364
8922,8056
8492,7688
8448,8492
8511,7877
7224,9220
10222,7086
4583,13859
11244,11371
13829,13113
13647,12788
13731,14148
7034,6386
4633,10427
7678,5197
4825,9324
3662,8952
2135,1619
3566,3872
4328,3176
7314,8042
11551,12131
5758,5950
9222,8456
8067,1323
8281,6203
7339,6714
10192,5799
9490,5519
3596,4065
11196,10807
13715,10243
7692,8358
7961,8396
8010,8280
8372,8719
8644,4469
1769,11112
5246,10740
4842,8470
2662,1818
3313,6459
7233,4907
4684,4805
3780,11092
5906,6075
5771,5782
3486,3612
9103,5829
5853,1623
8919,5501
6160,6751
8027,6259
4740,5240
2738,1388
5924,6558
6962,7145
5525,6170
5987,7363
8008,8042
6665,7055
3590,4156
799,9172
12527,2048
6472,14114
7637,10233
7539,8764
11376,5995
7163,6845
11347,6231
945,6264
1692,3741
2308,9775
6184,5993
1852,3042
13275,3630
13588,4515
3652,11288
5410,5411
8186,8284
3993,3389
2493,2747
8561,8262
7887,8143
8529,8231
9010,9146
8816,7595
7628,8096
4688,5060
7592,13457
8478,5346
3960,4401
6238,6273
7727,7248
6663,7276
9382,2171
6777,6646
5833,6111
1695,6751
5284,4913
5051,4633
3359,3094
3875,8012
2084,1548
8771,9142
7618,6904
6196,6255
7178,7391
7568,5702
7198,7398
1031,961
9110,8815
3816,10388
3669,13842
5327,13384
1355,11621
5277,6006
7898,6335
1173,9357
8488,8510
9461,9913
10087,5989
4217,9402
6570,9650
9100,7590
9708,9829
13234,12624
7805,7459
3070,9437
7480,8409
7329,6734
11950,3692
7974,8444
9874,6072
3610,8935
5696,6069
6334,6978
5188,4938
7404,7316
8790,4405
9561,5298
4064,13456
3945,13554
8445,2573
6252,10096
12094,12464
13038,3756
8482,4749
9051,5483
5066,13305
10314,2818
11776,7753
5426,6224
9381,10054
12855,12006
10250,10680
8663,8788
7181,7568
8785,6498
8187,7514
7812,7514
8274,1188
3894,13759
6331,7000
8547,8390
10856,5487
7643,7556
8708,10358
9987,13251
13596,12937
8596,764
7104,8022
6114,7264
7604,7808
6486,3129
5898,5203
4320,4924
11702,7325
1404,4893
2065,1609
5020,6038
6168,3401
5298,14094
6286,13640
13160,10332
11932,12557
10448,10151
11676,5634
12170,7234
5785,8526
8678,6625
6275,9107
7292,7838
11918,9732
7224,7165
7574,6968
7737,8240
11984,11448
12445,12825
3872,13281
10605,10482
9167,8926
9370,13483
11769,7651
3197,8205
7444,7909
7398,6904
6984,6813
9376,9393
8916,8150
7712,7370
4614,4362
5880,6128
2137,12447
9878,9072
5969,6131
9431,8924
10210,9622
7079,13329
11983,3259
12424,12042
12456,12611
7738,7144
7263,7716
8600,8726
7385,7398
6518,12659
10128,7606
12487,12676
10635,11124
7726,7321
6271,6502
6561,7010
6691,6987
1624,12942
14039,7651
9607,13441
7694,8104
7225,6029
9899,5178
7401,7193
11466,3224
8126,8301
9643,9035
7284,7159
5294,10090
11946,10646
10109,13303
13309,4649
9172,8534
11570,4304
8006,7563
8912,8178
10072,5980
11097,9934
5123,12259
3233,12913
7570,4884
11928,9225
9261,11174
8739,9304
6111,5984
9227,7491
4693,8636
982,4039
7652,7599
12590,1528
9986,5574
5157,5682
9842,9453
7026,7994
11978,11050
10188,9854
7764,7938
7183,7325
8617,8761
11692,6876
13417,7788
7348,6684
10548,9966
10112,10501
4573,11859
7595,5806
4723,8981
11650,6651
8204,8691
7778,6532
7535,7441
5886,6129
8032,7510
10005,5254
5790,5590
9554,8975
6705,4693
1283,5556
4581,9750
8891,8161
10964,5386
6788,6291
5111,4666
8049,2093
2413,12648
4846,770
1132,6698
6720,4632
4323,4300
2692,4148
8891,8657
5111,4690
9670,5478
3848,3950
11534,1715
13461,7654
9455,4327
11137,11056
13898,6749
12105,8014
9388,5751
5047,7545
6503,7979
6366,6303
5195,8566
6110,6794
8142,8212
1691,10534
7143,11462
9928,3025
7422,9730
5001,8406
7664,11760
9961,6569
7127,6947
8156,7608
7348,6878
7663,7483
11872,2200
13277,2499
12551,2857
11533,6775
9958,6761
6635,7300
7178,6717
7960,6664
9064,8769
10727,1053
11358,4441
11828,11770
6252,8824
8408,5976
7589,7208
1238,11726
7750,8446
3660,8781
5083,784
10499,9945
6168,6244
13972,7387
8474,7998
11109,10714
7499,6952
12777,12887
7046,6490
8356,5112
9132,8614
12895,5359
6978,9043
8283,6585
10690,10593
3755,9706
12044,8592
3278,10286
913,3712
11472,3403
13908,6895
13910,9977
5262,5040
1561,2295
3882,1294
10132,10634
12320,12614
6694,7161
13240,2982
13761,3928
10789,13399
11996,7378
10986,973
10971,1570
6390,6148
7321,7073
10112,5586
7532,7340
4320,4182
8343,5736
1627,3760
3818,1734
7492,7389
6596,8121
8141,7578
6927,7101
8221,8092
8682,8051
8582,7600
5766,6532
10862,10860
6134,10086
8578,8911
11886,11511
3952,11224
8199,12242
5587,6174
2022,9484
7321,7806
4616,4877
4584,4183
5136,5022
7680,783
5246,5742
8725,8064
12603,1866
10726,1281
7852,10520
8936,8946
8896,9733
9463,13194
10742,11163
6959,6920
6405,6332
9721,1403
8542,6556
10253,2395
2154,4718
10289,7325
6564,3154
3423,6152
7565,5749
5428,12665
1660,4780
4884,9062
4172,3363
3350,7287
4878,1089
7230,6538
7032,6727
5263,5686
8667,4549
8143,8255
7092,7786
6440,7911
13240,7483
8056,7418
10036,6872
6730,7225
11356,6262
3388,10150
9035,8930
11808,2147
7567,2824
5014,5058
5057,5483
4777,7226
1731,931
6739,9515
7442,7313
8667,7765
8588,8108
10093,4959
8953,8201
10069,9901
9836,10384
13867,11020
8882,8135
8223,7241
8874,8840
8313,7609
13816,3452
9403,7303
9361,9596
8975,9964
9389,9340
11999,11251
5299,9183
10077,9036
3698,13150
11455,1720
9836,9198
6358,7023
8130,5334
9167,9148
8788,4781
13428,2335
7034,7407
8714,5422
7489,7809
5958,5207
2464,1902
2871,1443
6073,1744
6244,4950
5250,5378
6396,6558
4394,1378
6876,6611
7914,6799
12160,3011
5861,9241
4848,7396
7076,934
13527,2906
5268,7706
3722,9096
1798,6976
8691,5375
10711,11517
6806,6634
7622,7164
3725,10789
5035,7831
9887,6228
10957,10381
8996,5634
10182,9512
8902,9459
7653,7209
8819,4821
6612,6966
5892,6778
10239,1119
5362,3290
2579,1628
7701,5089
9668,5607
6269,6859
12421,1344
6484,9241
9975,10260
6351,10123
5984,6822
6587,6432
7789,7832
1790,7640
1896,5276
6256,1588
9012,2175
11957,2883
7359,1568
9778,13517
5960,9125
4381,3972
10207,11965
5334,10802
8876,5774
10235,5508
12414,12234
10895,9817
8358,8234
7944,7906
8123,10168
10319,10304
7510,7126
9248,8715
4607,9447
4632,4226
5831,5367
8500,8518
7868,8087
8743,10174
8693,5373
13284,7875
7709,5097
9964,9340
9964,9960
13248,12599
6224,6128
5905,5872
5974,6064
1606,12153
7080,6694
7841,5439
6908,6900
2852,2387
6642,6445
8543,7852
8445,8307
6390,4550
4642,5882
2795,2402
4199,3985
1851,982
5744,6284
9527,6362
6054,6114
7514,11057
11934,12718
11026,3774
13528,8413
11736,13308
6159,6266
9838,2395
13190,6955
12237,1492
8294,2065
6343,896
6777,6401
7742,7546
8179,7447
1473,8544
7033,6990
7523,6043
3763,11408
11514,6998
11094,5396
7756,8341
11336,3264
8326,900
9675,5973
1075,6598
5710,12397
2712,2618
11941,3380
5802,6119
11019,4136
8543,8450
8145,7816
8700,8315
9317,8977
8265,6195
13586,5182
8306,8627
13479,8033
6282,9186
11630,6112
10921,10554
8815,13696
6990,7914
8306,8370
8254,8559
7445,6830
8230,8614
857,1316
12487,2459
8706,7941
11291,3871
8440,7657
13318,8698
2932,1916
6510,6514
4723,4807
5973,6479
4406,4354
4919,1423
4895,4606
8338,7991
8723,4964
8437,8558
7272,6519
7420,6145
8949,10912
11762,7282
10966,10567
1502,5446
7044,7106
6595,6526
4943,10877
6071,6185
13975,3769
8575,8450
8261,10099
7226,7358
7819,7853
9621,9377
8266,7936
9453,9988
10661,8795
8360,7755
4556,9496
10698,1259
2787,5886
2939,5648
4212,2774
6357,8129
4338,5122
5366,5662
5613,6001
943,11250
3505,9920
6096,4935
7555,4759
5579,1115
6817,6944
13638,8243
6941,11697
13557,7819
7899,10049
3758,4439
1091,4565
1300,2185
7762,8047
2585,5641
5498,6015
7054,6210
6043,6485
7379,6168
8623,5962
8104,7092
6917,6542
8794,6505
10695,7585
9893,5177
7134,8687
6819,2552
4638,7012
4436,8034
3905,3517
3249,7242
8049,8420
5934,6026
9889,9232
9991,12259
9994,7771
12283,13403
7911,6749
7751,7793
7049,1191
1038,6967
8708,8331
7955,7205
8283,8568
13883,3681
8545,8419
8246,6409
5327,5456
7290,5190
8113,7410
5878,6706
7255,7674
14183,11902
11258,12792
10328,896
10544,1734
11068,1103
7969,3341
11996,9376
8430,8474
8388,8376
10170,13636
9004,9401
12992,12968
9708,6403
13492,2807
8252,7399
8924,6584
7584,8461
7494,7469
7957,6784
6957,7574
3815,2948
1151,6101
7544,8032
6467,6312
7170,6142
6118,6104
10637,2679
10166,8630
7426,6702
7699,7303
11857,9289
12268,2124
12347,2751
13127,3403
3870,7385
4591,4008
6120,6793
6248,6296
8213,2419
6421,6281
8852,8253
8476,7956
1492,10590
1062,11799
3909,9397
6532,7061
7733,6718
6371,4601
4886,6908
6258,5840
6433,6192
955,7997
3149,4305
1249,2952
3141,2520
5791,6601
7534,12097
8225,6830
9252,8666
11112,10120
6132,5940
4777,4520
6009,3411
8309,997
8441,8018
7601,8005
5812,9118
5125,5913
6454,6969
5432,5472
7368,4834
7262,6482
7304,7686
7465,7748
5644,6341
7752,8011
7475,7652
10652,10524
13604,13703
6394,6373
7379,4885
4880,5439
4938,9398
3646,7924
8678,8485
8656,8809
8587,1463
4955,9357
3931,1800
5544,3644
4104,3836
7056,3090
13642,10343
9655,6396
13038,12340
13658,3084
13147,3637
1457,7824
7701,8112
8244,6806
12229,1737
7188,8104
10330,5465
11107,10659
11789,5421
14219,13831
7260,6116
12685,3219
13431,5402
8526,8577
9544,9230
5362,5254
7888,7209
8418,6252
5633,5252
2009,1312
8495,8111
5281,13104
8740,5602
13393,7473
7215,6682
5912,9419
13621,4146
9885,1173
1193,8337
1252,8155
4971,1061
6360,8311
8205,8182
6833,7433
9506,3473
12242,10310
8039,7195
6740,7665
10336,2967
10014,9039
7516,13822
1381,9507
3535,11379
10727,2111
6165,9822
11942,11178
5500,5529
7836,6512
8263,8699
7802,6978
8608,7980
8524,8921
8544,8060
8361,6125
9980,9039
3963,9383
14335,12779
11556,10738
3894,13947
13306,12139
6661,6456
6940,7116
7378,4760
6420,6072
6584,13417
11274,9794
9494,9484
3406,8174
5555,11328
10059,9672
6867,4163
6009,1882
6415,6706
6213,9072
14140,5008
14091,7880
9494,5736
5880,6000
7086,9834
4738,4049
