x,y
12647,2122
14088,4723
6728,9903
12820,7347
11309,12497
10524,3354
11742,11249
6578,13792
11764,12342
11783,1122
11839,6728
7144,9236
5906,12817
6890,9420
10221,9895
10433,1182
13297,2597
10783,1259
11594,1487
8516,9082
9562,9764
6765,7378
13547,9228
9739,13615
10452,1433
11146,1045
7287,5968
4733,1578
3958,4339
13142,3958
14025,4572
11800,1250
10945,5217
8684,2473
11701,3173
10924,1008
13310,2340
11886,1982
3712,10768
6856,9914
11988,11614
6998,6392
11148,1234
11708,6558
4867,8998
4640,9782
7808,7491
10585,8714
8868,1270
2296,3651
1374,3014
11709,1673
12443,2282
9627,2518
1532,11608
8172,13807
8744,10481
13958,5658
7208,3169
7363,1350
4650,5080
2543,717
11115,1391
7005,6439
4466,9298
5261,5345
2639,2441
12698,2322
11262,1854
10935,1195
11831,1219
12386,2379
7992,1364
4839,5225
3087,2770
10513,5000
12761,3253
10270,1239
13291,6649
5781,8422
13821,5088
4069,4665
3177,13573
12223,5013
12091,1537
8305,8361
13709,7440
12673,7204
13625,8541
13606,7822
11237,11798
11842,4984
13375,3230
8870,1051
7671,8148
12876,3228
10926,1760
10121,1567
12346,1599
9278,2208
5686,1018
5019,5009
1121,5802
11141,1050
10580,9936
12486,1300
6661,1574
4714,4598
4632,9456
2039,12453
4742,3986
10617,1358
11153,3277
5684,4946
5556,5402
7191,3460
4732,9204
4508,3978
5932,3604
3912,2793
7160,7451
4695,2947
1027,2849
9030,2188
6761,1463
12020,1230
12920,1816
4969,8831
5334,4829
11412,5508
13571,4197
13393,3138
14027,7976
12177,3119
8560,8963
9600,13802
13079,13990
11333,3364
13404,3949
12158,2804
13235,4106
11532,1231
12529,2439
4299,13449
7578,13507
10487,10750
9720,9588
12921,12866
10828,1154
10581,1197
13389,3813
12966,3060
5625,6033
11424,1158
3975,13606
5545,1654
5945,11384
8691,10192
11672,5723
8034,802
13088,3737
10534,3108
2574,4890
1151,2563
4843,6844
12015,2242
886,9219
10101,1119
5461,9275
10164,6755
12848,11815
10104,6482
12635,2143
10555,887
5242,4855
12417,3127
13580,4740
9315,9355
13493,8146
12997,3181
13708,7950
13398,13825
13861,4052
13357,3539
12870,2969
6660,4653
8016,1423
12188,2602
12064,1989
12846,5216
13250,5434
9983,1401
5893,6046
5912,5874
4993,5036
9477,9116
6626,7834
7088,4140
7095,6670
8544,5518
11952,2172
13842,3949
12486,13162
14022,4463
1664,10186
7801,8162
7312,7862
5218,4753
11439,1594
13886,5142
13603,4578
10004,9628
3968,10424
14110,7585
3874,13506
6411,6059
7811,8247
7212,6876
5459,5909
6478,4854
7378,7118
4070,4552
6122,5846
7340,6143
2880,7520
11460,11144
11146,1352
10466,1348
10155,10291
10488,1365
10480,3496
12896,10556
8614,4497
8423,9907
13857,4839
6282,13516
9414,7390
12315,13569
11951,5408
9930,9186
8437,7518
6445,6535
8435,4844
12861,12163
4608,9716
11740,1892
7972,8027
5739,5680
6285,4900
4334,4534
5267,5067
8266,8576
9777,9218
4852,4773
6525,11260
13280,13846
12784,3326
10102,968
10416,868
6846,6848
6138,4964
8471,6701
4704,4863
13099,2116
4852,1608
2968,622
1059,8068
10472,1497
6315,1387
6788,1088
6315,6848
12806,2978
4705,3813
7668,8133
4289,4000
8299,8521
13181,3944
13300,3670
13653,4013
10668,1130
8590,8630
6271,6411
5547,5860
10730,9910
10100,1469
6062,6545
3981,4024
12868,12532
12968,3250
13821,4682
13804,3930
7226,6870
7540,7706
9942,5395
13460,7630
11885,2175
12588,2853
6650,7453
8502,8298
5659,5013
10685,924
7503,821
10107,6627
5426,5790
13742,5458
13871,8414
12810,1643
10386,851
14117,6924
7358,11681
4271,11766
12688,1576
13768,3953
2203,11702
4843,5938
9066,9137
6780,8195
9319,11418
9236,9655
14091,6289
10301,1471
13892,6978
13060,3887
7052,7030
8641,4590
4814,5623
9568,13885
959,11346
8649,10561
9360,9419
10720,13388
11713,2176
5276,5014
7599,2478
8316,7078
11270,1858
3780,12603
1090,7148
5834,6192
12685,12345
14016,4588
12274,2876
3311,7010
4470,9211
13976,4621
13686,3656
13110,4504
9201,8768
4853,5867
7800,8582
2619,6853
4583,4579
13161,2290
11665,8025
12578,3151
9347,9765
7848,7958
8937,10796
12215,12838
13225,3474
13238,4626
11396,1610
4615,4931
7178,7989
7984,1537
2055,2666
13568,8242
13110,3016
13982,4240
13430,2645
13304,10412
10897,1211
14078,10203
10951,1211
13265,4910
6995,7927
9065,1581
5111,1256
3125,9256
2589,2083
11251,1906
11265,1571
12848,2403
6778,7098
11026,3676
13259,4311
13184,2545
13218,4059
10611,10176
4832,5511
7943,5343
4457,5166
7467,6896
10555,1323
8855,9145
3007,9631
897,4354
13802,3252
8474,5993
8524,7657
7595,7531
6237,10621
9331,11167
8755,8481
4171,9969
4482,9357
6608,8583
8020,13690
7597,9947
10151,1172
12207,2039
10337,5357
7998,2303
6866,6972
11870,2012
13548,3471
13741,3841
9029,2443
8598,8546
11764,2535
4757,5259
2941,7482
13280,2753
13900,5010
11393,971
10244,4775
8650,6464
10409,1477
13163,9268
6303,6073
11394,1912
12122,1865
13062,2999
10233,1278
7604,7273
12686,5159
13630,10455
6179,9430
9967,6464
9595,10160
5235,5702
13722,4744
13782,4974
12024,2474
13332,4661
7802,10177
13554,8523
13384,10298
9324,13958
7058,6658
13792,11490
12357,1832
5854,6668
11800,5101
7749,11790
11659,1945
10482,1353
11346,1172
10107,4932
8554,9068
3264,4224
1691,2927
6944,2830
11244,1363
10544,1474
13925,3674
11502,1740
1356,10381
1519,10739
5550,5477
1158,9915
4669,3650
7622,13697
6207,6046
11767,1447
12753,1890
11568,1722
10722,1946
5745,6527
6182,6520
5847,4947
4773,4890
1217,5320
4415,4305
6118,6011
3874,10033
1674,3787
4519,4236
12830,1672
13444,3563
13169,2273
13819,3313
13534,2688
11289,4499
14054,4494
1737,12274
11567,1599
10912,5299
9541,1370
7280,4982
4410,1745
11338,1863
10923,1628
10813,1566
12034,2400
10714,966
7542,1139
7285,1128
6766,4866
13968,5876
7914,2286
3772,2640
3295,1613
10266,2670
13391,4206
9128,6404
3999,12506
8654,5873
4243,4491
12920,12763
13891,4891
12801,1765
12626,1495
13465,2705
13617,4325
12620,1503
1013,12017
4479,2418
8138,1771
13744,3354
12935,2148
1678,1022
6326,12745
11766,1357
8632,8730
10834,4554
11479,10703
6119,9875
13170,8229
13179,7656
14095,12223
10236,9522
13828,13887
12923,2218
12546,2797
11946,2366
10373,1284
13573,3484
7206,5224
6256,6292
6183,8172
9974,9297
6988,13904
3486,3287
13159,7409
7052,6552
5929,5132
14047,4259
7579,2836
6099,4925
13346,3100
13195,2050
12106,7199
11406,7873
11372,10964
6724,10106
13720,7665
13159,11387
9660,10294
9747,5911
14067,5253
13103,3440
10024,2543
7500,2353
11498,1395
7341,1055
1068,1461
12712,2357
11600,1570
