x,y
10430,1183
13702,5396
5800,12687
11146,11652
13262,2500
13591,3558
10891,4416
12667,1669
12385,1960
12492,3220
6022,5028
10035,9682
9718,9126
13954,14068
8306,5503
9342,9621
13315,5377
10388,13497
10497,2743
11609,4108
6717,2683
11018,1998
10768,2456
12944,3494
8831,6476
6352,4704
2792,5659
2746,5720
2772,7466
4748,4570
4883,5501
8254,10216
10777,5208
9726,9024
1158,1738
1428,2374
11298,3784
13045,2373
11804,7301
11072,1554
11628,3065
11480,3080
11435,4679
11305,1723
10877,949
11497,1666
10410,2798
10022,8376
10442,1281
13323,7547
13660,9284
10376,14185
2564,13525
13100,5437
10735,2225
8258,7714
5014,1238
13447,4985
6551,1018
3420,5135
2902,9524
8867,2202
9306,6378
6164,6249
6423,6443
12981,1949
1645,11984
3106,2140
10463,5050
11219,5655
13047,3335
13368,4582
13578,6958
12138,7352
12278,1240
7386,7718
5635,8814
12236,2502
3007,9688
3193,9330
3161,13890
8652,4097
6375,10082
9870,9851
13134,3748
8801,9322
12732,2842
12684,11438
12353,2801
10879,2193
8098,8724
6473,1294
10453,5606
13646,10409
4579,9739
13491,12685
10430,5176
11378,1261
11589,1787
11712,1520
12307,2086
11146,1760
7801,764
11712,2099
11395,1546
13395,3232
12401,1822
6096,1263
13578,4433
5500,3456
9790,3271
11123,3625
10576,2727
13327,4468
12270,2283
11662,1859
11829,2159
10290,2542
12940,5330
13324,5556
5202,11549
6250,10040
11011,10849
11140,11656
11634,1388
4569,8579
5345,1868
6004,5544
2804,2763
4294,3340
4367,4088
13544,4805
14095,4514
11406,1298
10325,1159
12546,1562
11334,1437
11151,4345
6636,3086
7647,1070
892,2331
1229,753
11624,1528
12546,2701
14212,12325
12772,13649
8666,776
4246,9146
13552,8520
13493,10129
12196,2045
13552,2988
11889,1206
7379,6971
5780,6007
9000,5815
4824,8188
7278,1400
6478,1179
6950,934
7615,860
13261,2680
10866,2175
1738,4319
8387,3539
11867,2343
2568,7146
11865,1648
6372,9231
5915,9026
7535,1526
12470,1795
12781,1780
12635,1699
9840,3216
13281,2318
10060,1317
13106,2328
842,8602
625,752
10297,13986
13182,11824
13362,12833
13262,12505
8785,5459
11658,2032
11464,1762
7064,4110
11744,2340
12830,2896
5615,1275
1874,2036
10908,1294
12764,2658
12457,4974
13971,5115
3558,3927
13998,4254
11525,6462
13550,3376
4900,5886
10124,4819
9579,9763
9623,10192
7145,7343
4794,5152
8614,7776
11501,3044
13193,3782
10259,9624
8572,9106
13300,4059
13572,4824
11146,5454
8547,8408
11023,3567
6738,6361
7394,7848
6209,6850
5239,5702
10221,4858
11390,3911
11019,12186
3042,7586
12420,10639
11693,4404
12090,1433
7560,6645
8188,8101
13409,7458
12412,7310
9854,10028
9602,2478
12679,9674
8486,2218
935,11130
