x,y
12617,5015
10173,5953
8400,5760
13826,9747
12667,1669
12492,3220
7058,10002
2377,12450
6523,6928
11134,10669
12331,10324
12074,11504
12828,2494
6216,1442
5836,5738
1660,6794
10999,1555
11249,1145
10072,808
7570,6763
6968,1258
7840,1683
5757,6495
5823,7288
10252,1531
2412,658
2870,5818
10134,2326
10517,2214
13965,4518
9251,2096
13797,7711
12307,8174
7353,8673
14019,11699
8186,5519
8393,7921
11663,5817
8592,8792
1124,10296
7209,13746
8168,11855
13562,11867
8563,4554
10933,2912
12003,3605
12884,2934
3855,10659
8157,10304
11330,9721
5562,8936
9784,10952
12226,10820
12350,2321
11391,4473
10827,1012
2901,11179
4569,8579
3717,9874
1373,6608
13732,3718
14106,5133
8995,11423
8684,8557
13962,8083
13798,10338
10325,1159
6636,3086
3912,992
4695,4514
3992,10016
892,2331
10927,2005
7321,3263
10255,1288
9423,3633
4919,9651
1058,8959
7589,11784
5890,13874
9896,6981
2792,12322
7762,6513
12455,2743
12202,8171
9769,1488
12924,3526
12224,8447
12367,1672
11762,9322
6029,9143
11510,1410
13525,4842
7639,8454
6617,9122
9871,4477
9466,4719
9589,11592
13910,12577
13452,3061
10235,1374
7788,3238
10255,5749
12808,1884
12159,1359
13174,2807
8816,8348
5876,13098
9059,3425
8690,8677
13129,2199
11218,1711
10377,3256
5486,6370
9422,3071
3978,10303
5966,10871
12469,6250
11453,6093
13366,4185
8469,3731
6121,5889
9793,3107
12139,1605
11801,2218
11134,4134
9619,4114
4331,9478
10156,13641
9011,9592
12494,4696
13661,4342
13526,4069
5809,10673
14061,4771
12350,2286
13591,9097
13008,12232
12344,1723
10574,1261
7739,7319
5743,10831
6966,7690
7072,9761
13943,7508
12143,13766
11469,10862
11300,1406
13108,5056
6989,6461
5389,9175
6559,8628
12251,13122
8709,6210
7965,3369
12387,1477
8694,4432
8257,8162
7176,5788
2396,7262
10396,5559
4636,6908
8216,10090
11559,5653
12664,12233
4664,5498
7511,8937
12340,8296
13540,4538
12386,2935
7921,8721
9845,6600
8408,10064
11756,7497
10785,10752
5780,10745
9230,14113
11930,2377
5760,5864
3332,4025
3823,1158
12299,5326
10806,934
9221,5818
8483,10297
11675,2291
7558,6763
4940,8333
13956,13494
10360,3150
2599,12082
5146,7798
4438,11947
10092,6500
11818,2997
8254,8756
9011,10996
10094,5986
5107,2688
4596,9527
8159,6464
4900,7434
3177,5655
5487,6202
10251,9743
10696,2790
6023,10379
3261,12861
5347,9617
6963,9418
7514,8967
8198,13948
13196,2006
13272,4506
1737,7770
6439,6144
11177,3749
9880,2437
3795,3514
5270,3096
2558,6553
3382,2408
11071,3591
8246,4903
2708,9956
11409,7680
12516,1545
9397,2068
8842,5823
5163,6211
4145,12956
11523,5659
14076,4607
10697,5101
11267,14238
9297,9209
13526,13738
8999,6079
12828,2510
9870,1467
8479,12518
6741,1091
4813,8250
14140,5258
13250,2954
13347,7546
12276,8325
10915,11652
14213,13865
11503,1830
8638,7874
4268,9628
11270,4474
7938,5044
10099,7706
7859,2150
11500,5640
11286,7817
7614,8064
6620,6889
12392,13261
6161,8588
12255,14259
10610,1406
8401,1692
10921,1860
11524,1991
11037,4269
5716,7384
10166,12319
13924,3731
11297,6670
7340,13922
10012,7748
13689,5323
13037,2604
12917,1957
12044,2967
11573,2466
11572,3763
8150,3194
8608,7201
10571,857
4641,12504
9649,13141
10634,3124
14061,8907
12938,12413
13414,2740
11674,1492
13147,2142
7032,6195
12290,3368
8273,8108
7880,7590
9135,4275
9957,7497
6099,8817
4377,12654
11760,10655
9058,9229
9749,9387
13942,13777
13666,8948
9807,6118
11009,10547
11494,4985
2241,4076
11342,1414
13045,4130
13115,4183
13393,6439
12253,9978
6364,5894
9882,1500
11417,11112
10719,2249
8374,8950
9341,8727
13477,2973
13404,2436
