x,y
13712,4114
8665,6256
13225,12467
11176,1492
6271,10236
8562,12665
6464,6433
11784,11238
12180,3296
9590,3197
9374,8699
8948,8245
9920,4727
12690,2670
10768,2456
12944,3494
6196,2024
8831,6476
2746,5720
4883,5501
8685,11667
1428,2374
11590,1586
14048,5339
11923,5002
6403,6331
5881,6140
11260,11267
11419,11948
11551,10901
12938,12792
3741,12922
5419,14020
7339,6368
2422,8824
7941,6869
11011,3791
14076,4310
13553,8232
7116,9504
8574,10040
1557,12715
5677,11368
13456,12720
11199,1927
10625,1341
4554,13488
5806,5350
2942,7381
2456,9940
13803,4243
12605,5016
8138,6380
11227,5347
12229,3307
11795,6824
5633,5130
5980,6367
10305,5713
6375,10033
8801,6461
3938,4013
12656,1932
10294,1427
11774,2680
12168,2510
13368,3526
9356,5406
10896,13018
7646,13632
7382,6882
5894,3991
10281,1293
6922,6446
11783,1087
10555,1784
7636,5053
8848,8363
11088,3286
10848,3394
5360,5445
8413,5475
1760,4128
11270,1355
12453,1435
6780,9324
11590,7218
6294,8863
3042,3326
2840,4858
7306,1015
3496,8160
2722,1643
12144,1491
4815,7013
12161,1227
12155,2334
8557,12334
10104,6711
7608,8461
5357,6125
4306,4844
10340,5776
14077,11075
13412,13579
13703,3013
11088,946
12818,12999
10994,955
11076,923
11198,1341
12750,1909
10740,951
8968,865
6184,7026
2034,808
1601,3112
4891,4876
2419,5535
886,2893
14112,4585
13176,3375
7980,6590
8295,7836
4426,14011
8683,8057
7976,9560
8832,5561
10139,8444
8892,8336
5063,12399
4466,10086
13825,13123
8068,1849
7050,2549
9136,1638
3811,3451
10673,3211
4678,6167
8248,2244
8566,6093
12367,1834
9568,886
7801,5133
9355,3147
10890,1802
1522,8523
8208,7546
12072,1541
12677,2882
4916,4908
12764,2658
13971,5115
10815,969
12676,1738
14117,6100
7490,8886
8204,8682
11748,1231
11291,1244
10739,2012
13182,4006
3435,9053
7962,4866
5885,7143
3643,3231
3391,2637
13652,4411
9377,2631
10241,2479
7679,7892
998,4482
7140,6500
5084,1714
8669,8539
13208,11686
10172,1372
13220,5536
11951,9806
13788,13845
10162,1320
12284,5039
7366,5024
986,3958
2179,2501
2354,1738
11447,1395
12471,2870
4582,672
10996,11274
12277,2425
10635,868
8016,7542
8219,5258
7754,8096
5936,6114
6812,4098
5724,5505
3729,11385
3678,2829
12184,2289
13644,4554
11957,1283
9507,1502
8057,5387
6971,8171
1221,1842
12980,1868
9913,8150
6378,2504
4405,1385
2118,4104
1446,2169
1115,11662
11637,2016
3085,7741
4025,4646
7294,797
10962,4512
2755,6594
5749,9150
4733,5903
13621,3350
6473,6220
13309,3486
10241,5460
10081,9892
3793,11491
11922,12045
6719,6704
4414,9870
8892,3901
7432,2541
4788,9511
7522,5949
4046,9517
7723,9539
8493,6605
3123,4956
7424,7372
9444,9821
4852,4170
8659,8128
8262,12318
7694,6862
11224,1905
11735,2029
10786,1360
9569,4577
7184,5265
4637,4256
4465,3129
1369,5276
1555,7155
10698,3202
11242,3279
1662,9904
3823,7295
1585,12748
3348,4214
1171,4587
10500,844
5025,5461
8337,7631
7452,4876
3445,2922
3004,3366
3000,11086
1210,1175
7015,781
7897,7069
3798,4433
12322,5229
8365,8959
11194,7218
14003,4557
11718,3856
13273,4239
10330,9746
14094,5387
13379,5080
13044,2597
9334,9422
5530,6060
8105,7613
8893,8945
8340,8970
13381,4807
11791,2447
7638,2806
8289,8042
883,9204
6293,2533
13439,2667
6622,6579
7410,7458
6383,6000
6390,1036
6828,7459
11660,1349
10344,912
10046,966
5316,9230
9152,6158
10870,4461
3779,862
894,1881
7585,7578
7714,8246
8466,8275
8508,12973
6812,7243
9342,4414
7578,7098
4622,3838
4284,3770
9065,4053
13018,3116
12413,4786
13550,14304
6210,10878
13977,13815
9042,963
11816,7135
10674,4957
4850,9672
11321,6529
10688,5010
4794,9706
9765,1773
6765,7426
8626,3719
8859,7522
1399,7180
5267,5099
6169,4645
10318,7916
2841,9636
8442,4936
13991,4197
11858,1092
12755,2193
13896,9863
11018,10554
13662,12340
8474,8799
7798,1502
12250,3221
8211,8832
6850,2827
10441,10709
10742,5419
11396,11316
7920,3436
6944,9127
5037,10146
9993,8899
8515,5831
3454,8497
12079,1711
13930,5010
8549,1613
11646,1066
12454,12528
13846,4078
12844,2868
10113,5018
8648,1212
10199,10126
8546,8502
9140,9025
9037,8818
5224,9562
9576,9637
6989,9774
11706,3154
10261,6750
9246,6281
4147,6110
4846,8965
5735,5910
6306,8879
10567,9843
10756,4770
4942,902
731,1528
10883,1464
6405,6254
7068,6656
7988,12084
7034,5178
986,5059
10281,9846
8864,8746
7770,5163
3600,8762
11398,6162
6823,9786
8624,5216
10953,1230
10580,1423
12128,1510
9319,3665
10026,1220
4508,4546
11518,1661
11303,1849
10304,10878
9970,10494
11221,10039
11090,10834
12938,3434
11378,3594
13488,4905
12518,1512
6567,6145
12450,2658
10752,11947
1156,3952
8383,13279
4533,9293
7744,7884
10138,2611
5946,11071
1693,9526
6299,8972
10137,9657
3918,3047
13264,5314
10767,1415
11138,1328
9030,5721
8542,8590
5902,8684
8465,8691
5296,8994
13406,10895
3533,7841
9951,10067
6350,6936
10582,2671
13562,3294
13535,8238
10050,8902
9467,9552
7035,6636
9149,8826
5635,5852
10402,5444
2444,3336
13583,10261
10925,11193
13950,12762
10837,2376
10401,1247
10638,1286
3937,3878
12667,2784
9981,5635
11404,12305
10454,11086
10326,11610
10418,10996
12580,12676
8481,5659
13146,7733
7669,8577
4698,6534
10287,10435
2921,3961
4386,5169
11503,1662
10720,1182
11706,1348
5872,5772
6185,6660
11012,4407
7483,7247
2650,7376
4337,4257
4084,3563
9819,4163
11402,1401
11647,3948
6011,11346
8486,6196
8596,8119
10271,14086
11473,6373
9412,5554
9973,7989
9788,6451
7577,5800
4572,5389
12618,2362
13556,5564
7594,6941
8800,9935
5886,6700
5947,6029
11263,1677
13086,1873
12767,3227
10834,2663
13092,2766
11850,5211
13744,5453
7218,3361
9204,9679
7264,7354
8320,12108
10004,8831
12948,13486
9646,9533
12620,14116
12105,12603
10980,1933
12381,2531
10796,1760
6227,6141
5410,5283
10827,1141
11364,1142
11859,2196
5264,4986
2841,3362
3348,8462
6125,4864
4605,4523
506,906
12403,2824
