x,y
6240,10466
4280,3078
13310,2340
9714,1644
14026,6051
2857,12593
13442,3995
6420,8849
10283,9908
11620,2187
9474,4188
7220,7600
12181,1741
5342,3344
10572,1238
7580,9652
13788,11472
10731,1775
11634,1704
8513,7923
6827,8252
5952,5585
14072,7158
7422,7544
10000,6678
6495,1659
4314,9759
3992,10016
7884,8300
11724,4661
1575,4725
4183,9668
9587,1655
7206,6728
4355,2612
13132,3396
12597,5163
3607,10270
7797,7921
13326,2484
13151,13052
13770,3064
4160,12876
12788,12343
12506,9896
8372,4758
5291,9226
14054,4786
6243,9446
5266,5928
9348,13892
11706,12394
12113,1256
6511,1250
5222,4785
8041,7723
5882,5972
4918,7807
7054,6374
5753,1342
10662,1254
12382,1561
11704,1404
14043,6173
10889,1218
9707,4239
12052,2039
10867,1386
11002,1129
5212,9216
3968,10424
12261,9654
12879,13549
6974,7710
1462,9662
12699,2588
12884,2740
12593,1840
5344,3697
5802,3776
5192,4735
7534,8395
935,3912
7663,7125
5855,5319
5300,5536
13709,4754
6436,8846
8305,10136
10170,9839
10974,1305
13545,3384
10065,6197
5265,5975
8395,1116
11300,1406
12093,1863
6989,6461
9459,1938
6559,8628
11562,11059
12077,2761
13032,5122
986,6530
11265,4306
12766,2464
11402,1797
11993,1969
7965,3369
12387,1477
4928,8464
7284,7076
8863,7621
7202,3346
10396,5559
7179,6035
7668,9533
12664,12233
12465,12116
13973,7054
12000,1859
10564,2416
2262,13324
6674,3808
8490,4741
8600,4566
6612,1386
9235,9398
5173,2296
7954,7519
13629,4319
10812,1609
14056,7285
10943,13462
11722,12418
8156,8000
9882,13938
10720,13388
11762,1360
12607,3017
8771,9142
9995,1011
7568,5702
1358,11951
4572,7409
6636,7131
11076,1017
6928,9072
11018,11376
3244,2459
12106,11710
3256,9038
11000,8738
10577,10739
1424,10010
2893,3927
10471,858
13738,4262
5829,4976
6682,9181
1761,5582
4815,4883
10194,2955
13545,3295
11304,1519
11120,974
12119,2919
12015,1267
6469,6841
10754,3257
13220,3825
13187,5132
13312,5113
6142,6610
13222,3634
7467,6896
10926,1610
8312,7563
12368,7431
9392,4608
9830,6475
11221,1657
6188,9955
8543,12599
13635,3289
11139,1326
7222,1250
12284,7585
10526,11455
12420,2900
10074,8360
8087,5448
6858,5486
11348,1408
7150,7790
11648,6745
7098,5492
5370,10420
6615,9221
7957,7627
10320,819
11090,7688
14183,11524
7600,8012
12878,12622
13978,12530
13160,3980
13547,4721
9540,7316
8549,7580
13499,3026
8514,6089
8801,9715
9187,6125
10617,5580
12164,2395
11642,3404
6372,6951
4960,3749
12806,2420
13258,4316
12854,2668
5971,12685
6037,13191
12190,13908
12387,2590
6355,6280
5940,5725
6575,7172
10123,9889
11948,1459
11574,9940
13092,6860
11068,1284
4214,7368
12487,12676
10868,4931
11046,5579
6899,4737
10082,9029
8415,10177
10601,11148
13730,10115
13020,11244
9543,10058
10580,3268
5778,13685
6426,6270
13234,3430
11448,1868
9312,11436
8771,10989
13635,4032
10440,8897
13965,10390
11204,1260
12566,3014
8226,8206
13566,4096
12690,7292
1192,790
13103,3440
6814,6838
5539,6102
11584,1867
11544,1931
1802,3760
10425,9675
13595,3434
6459,6854
11688,10505
7081,6755
12939,2470
1162,656
10042,831
7512,6804
8548,1144
11657,2227
13926,4254
12799,2792
8376,7706
9778,6398
11692,3714
7950,7438
1418,3613
8461,10093
13234,3095
8716,6051
12698,2965
8878,4188
6776,7018
7993,7757
7062,10823
9680,12837
13555,13463
10224,9618
13407,6814
13648,3232
3888,1892
3550,2591
5470,5490
13807,4045
11525,13279
12579,1628
8005,5185
12534,2879
10605,12020
13123,2984
13039,2765
13400,4166
5811,8812
9996,8130
11797,2178
12020,2169
12455,1881
6753,1384
12358,1436
11154,1060
12572,1676
11860,3928
7807,9497
12576,3190
13628,3053
8769,7538
11733,1309
11352,5674
4604,9505
9033,13491
13432,11444
13626,3596
6225,5792
8807,5654
6522,9162
13276,2476
7326,1578
8788,1042
2208,9837
9859,5564
7612,6954
1361,7214
1576,8198
1422,7848
9964,2562
7095,748
11104,1764
1700,4242
2515,2535
12253,2372
12873,1858
9464,2400
6671,2720
11205,5961
3569,1598
9966,6971
9538,8937
8141,6980
10986,1544
13560,2912
5045,7774
2852,9284
9982,2420
991,1609
12755,3291
13957,10065
9280,10068
13446,2797
6816,7646
8440,8238
7123,13313
3893,9397
7316,7669
8272,6476
7312,7794
12504,1381
10577,1456
10901,5513
9878,1277
10065,7899
10297,10282
11222,12184
12053,5167
6890,4706
13295,5553
13580,3552
5519,5170
2934,12156
6826,9609
7195,6367
6234,1670
12730,3170
9999,3088
7741,3619
13777,3281
13122,8156
9482,1351
7342,7272
3641,2695
13462,3024
2230,3644
5474,5123
898,1024
1717,1306
10272,7886
929,8193
10854,11240
1015,11415
1450,10740
9699,9416
5374,1414
9677,5736
11423,1651
10978,1301
10964,1594
13023,12758
12600,2170
11067,1378
11597,6849
