x,y
7616,6052
13262,2500
10640,8864
6571,13244
10575,3117
11640,1005
12564,2956
12502,1790
8190,7526
7685,848
11178,1874
11019,1775
6458,6200
8000,5340
6276,6572
9313,8752
3951,4094
10002,5516
7019,7995
6193,10949
13045,12244
12931,2017
10186,876
12595,1546
9977,1040
5705,5411
4226,9554
6560,7163
7722,758
3947,7253
7955,5901
1756,3370
1842,4450
13181,2962
12277,3080
13330,3712
7516,7498
8814,8268
8071,8314
7699,5224
12013,7704
14108,8024
8444,10060
11240,12281
11139,965
13003,3270
7326,3360
6363,6225
8949,4176
10822,889
12242,1704
10964,898
9080,9414
7272,7200
4829,6761
7338,7090
8710,6534
10545,5055
8835,8227
4726,8293
7788,1672
13537,3177
11462,1016
7977,7320
6154,6030
6747,12578
5746,8438
1551,1236
12726,1713
11946,3520
11260,6353
13564,2879
5234,5977
8081,8036
10852,5193
5135,8511
1738,7158
8602,8521
7937,7371
6025,5881
6022,8743
6477,9833
10221,4160
5897,5667
9742,7291
8837,5469
14064,4400
9166,11145
7853,7434
8131,7973
13629,3767
10736,4905
7764,13512
13389,3326
4656,7383
2644,3425
6392,9351
8925,6236
7099,2601
3624,9224
7551,6990
9037,5640
3666,10523
12017,12051
6710,7202
9973,8987
5937,6602
7597,6143
11986,1510
4782,5912
2715,3224
1623,6892
8593,8354
5270,13265
9538,12735
7568,6991
13283,8381
8334,11656
13086,10605
7825,5948
6606,6195
6443,6271
5349,2013
6252,6154
9720,6176
3888,739
2151,1606
4496,5210
4074,4932
454,841
13635,3750
12910,1966
12159,2329
6790,3105
5878,9270
5416,7601
4856,7084
8836,4900
5981,4302
7288,4676
5408,12244
9660,9920
2351,12979
10617,9974
2618,2131
8498,6867
6663,8079
8346,6058
8342,7647
9744,5471
8101,3326
11350,4904
10000,7933
5396,6215
1279,2328
11510,3509
11148,1610
11053,1994
10539,1492
12237,1275
8721,5452
9772,808
13200,6333
7757,10995
2857,11891
9541,12611
2112,9847
6475,6969
3681,9858
3934,3678
1606,10671
10070,7087
6602,7169
10740,1598
10866,4585
11345,1656
13378,3481
8942,3578
9650,5737
8008,8388
6894,6865
10639,3371
5532,816
2712,6301
3712,4822
1766,588
4586,4013
13419,3851
13378,2308
7518,8010
6379,6379
7182,6609
7555,7881
5414,5819
7885,7473
4892,2955
13375,3701
13053,3663
12370,1668
11418,1333
13794,4336
11951,2587
7631,4959
10634,9808
12573,10922
12546,12515
6662,7187
2499,7626
4553,6139
6705,4790
5328,3234
686,3792
12619,2092
13047,3451
12034,2368
8831,6236
3853,9617
4575,6272
1605,1089
11628,1333
13435,3690
7252,1282
7440,1200
6300,6170
4424,5132
5511,5252
6238,2674
6429,1805
6245,5805
13513,2833
13553,2760
12270,2510
8747,9027
10850,10477
13178,7476
4842,8716
9977,9834
11181,13277
13763,13769
6991,7178
6939,6662
6872,7167
13282,2293
9628,2746
11241,1311
7740,3306
10797,980
12784,2239
13479,2836
11467,1340
13352,2255
6536,6485
8517,8410
9436,9701
10584,4933
11562,6706
10135,1082
4833,3909
3864,2692
11690,2176
11126,4000
12199,7902
3105,3981
5754,6210
6861,7407
9752,8810
7362,13868
9998,4850
5708,12664
3623,3763
1070,11408
2206,1648
12915,13428
12446,1992
12961,2422
11473,1132
5253,5572
8123,7396
3180,8767
9460,9801
9433,8942
5549,5983
12916,3488
12051,3608
6846,11417
6832,1323
5318,8771
9656,5888
11295,11352
3299,3736
12478,2815
13412,3386
9051,6351
7731,8160
9901,5931
3347,2072
9255,1451
3561,9250
10938,4240
6252,1605
7467,5893
11677,1989
10936,2113
11654,2892
13451,3990
11694,1400
11937,7777
7602,10354
13662,8563
4343,3847
6178,12684
1645,624
13894,5014
12240,3167
7865,8082
9325,9347
11529,6313
4429,13188
9982,8997
8430,5704
7092,6776
13397,8033
6933,7783
2776,12072
8422,8387
7993,8218
9739,8957
12266,12020
6303,11143
6316,7100
10836,5044
9044,5433
9338,8853
10586,8874
6648,7212
7960,7754
8372,7804
8300,8366
10049,10246
11136,10628
13100,11802
14136,14033
13169,3452
13028,3421
12027,2476
10660,8783
10424,2901
8546,7597
6604,6779
10594,5367
5414,8763
6687,9681
7672,6097
1068,8465
8349,4857
5494,8584
3361,8521
8137,5227
5457,10349
7232,13920
14340,14391
8414,8775
8509,8080
7762,10438
6298,6788
2990,13739
3981,6147
2377,959
8651,5214
11012,5030
3910,13629
1890,9798
14016,4217
12505,1393
4799,6019
1680,2042
5965,6284
5850,6580
5938,6878
5292,9468
10660,10102
9084,8808
11933,5600
3589,11025
12031,11267
7899,7887
7463,7539
7291,7195
8325,7356
10889,11272
9226,6051
11250,11641
7316,8711
13132,8753
7816,3289
12143,1259
12770,5298
7367,6732
8397,7813
7832,8095
7629,7373
9218,13856
4437,9309
7160,3086
12834,1714
5386,1586
4211,1649
4319,981
3058,3662
6224,8106
11677,11294
6062,11461
7409,6750
9734,9269
13572,8256
9280,10068
11981,1729
8911,8305
740,6436
6068,4193
10701,5356
5842,7320
8859,8597
3886,9477
7576,5185
7819,5201
6349,8206
7533,7091
4516,4641
2759,4742
3265,3921
13916,4832
13723,5102
10907,1871
2238,12918
3851,13224
5383,5362
1759,10188
11166,13027
13433,7517
7410,5830
7953,8029
1637,8214
10811,1038
7011,3051
4445,4697
5641,5074
9844,9298
12518,9394
4563,9343
10827,4540
4851,4968
8356,7729
7343,7925
7925,7357
6442,7218
6491,6813
7420,5859
13903,4349
9104,8476
8209,7936
9433,8682
8579,5505
6722,10029
5442,9011
8030,7870
7318,7273
5262,3246
12086,1374
11356,929
10033,1374
10553,5157
3712,4112
13268,5676
13662,7132
8117,8012
8212,7315
1331,1156
9409,5777
11752,7177
7893,7615
7587,11349
10098,10884
5366,5711
7347,6025
8411,5640
8438,1385
7318,6830
6134,7276
4661,1289
4829,8859
4688,9310
11421,6623
7262,3841
8080,7036
6251,6836
6590,6193
7372,6804
2924,9626
7077,1655
8068,1297
1181,1987
2250,9820
8660,8399
8045,7889
13428,2510
12491,1412
5740,7379
7317,6202
6059,10199
13730,6276
8252,8286
4830,8164
8935,5993
11305,1368
12733,3060
12803,1735
12045,1680
13287,2558
10806,5297
6884,6526
6267,6088
6044,4974
4780,4268
7190,7363
6506,6585
6694,4562
2080,2772
7966,5350
4941,2882
13754,3305
12316,2531
9866,1229
13462,3867
7788,7154
8762,7591
11268,5967
4345,2299
7586,13754
11092,5533
13431,10565
6500,6400
5120,5518
9090,5508
4549,10027
8812,6146
10275,1714
12968,2502
7676,13801
9910,13500
7448,6260
10420,1558
9363,6017
6860,7450
12190,9260
6256,6282
10763,10005
10929,12867
6179,6808
6987,7478
9294,5756
8717,5498
4584,5277
10029,8328
10849,5098
6026,6145
11371,12704
5488,7804
9422,7408
5134,8784
6842,6949
10221,10265
7989,7606
9321,3407
5770,7208
5780,5996
8017,6538
5868,5803
4566,6794
4416,8299
10406,3219
2030,12090
4813,6011
13722,3198
6505,11577
9854,6349
13566,2704
13201,8745
6448,6268
1410,2644
8274,8130
10297,9838
8575,7698
10081,9958
13448,8921
8338,8454
12098,1150
8294,7700
8179,8366
10174,10378
9600,9386
11588,11276
11054,4285
11458,1429
7321,6838
13185,2173
8526,5644
6030,6361
12674,1613
13640,2970
10693,1812
8911,8235
9409,9555
5642,9500
11369,4425
9539,5665
11753,3782
10014,7533
11042,13280
14047,9045
5064,10746
11738,2250
13338,4136
7677,5157
7325,6663
3744,4918
8687,8742
3206,9638
9331,9278
8471,7733
8454,7821
9014,8793
11524,5919
7322,7328
9476,9461
4904,9334
13299,8383
6986,13953
13868,8360
13573,8190
10035,9721
6996,6718
3432,9198
10215,1530
11156,1724
7527,12105
14101,7790
12777,9589
6877,7077
8492,4747
4440,12615
7647,7766
5131,5661
6905,8002
3184,12886
7755,7832
1924,2470
11679,3599
10917,4285
8478,6463
9414,1674
8490,6809
4775,7536
2340,9700
5344,5612
5045,5441
1306,5478
12268,11309
5384,9012
7328,7215
7360,6248
13644,7471
7604,7855
9654,9488
11474,1558
10544,11923
5952,11317
7473,7505
6776,6431
6637,6659
6739,6423
3193,11310
7146,8854
6664,13050
5441,5346
3281,12866
4918,4104
14133,4521
12729,2517
13842,7594
8681,8005
10390,2578
9473,6371
9649,6202
7748,8675
8463,7842
6072,5797
5995,6101
4945,8361
11512,6538
13196,14234
12406,2658
10270,841
8290,5669
9420,9133
6062,6058
7282,4951
7937,6832
7999,10071
9419,12119
7060,6446
6399,6006
1757,1286
6667,9287
5918,7349
10037,8701
13680,7456
5603,9179
12635,11854
1791,2983
7733,3244
9836,899
10397,882
11656,1396
10824,1111
4809,5215
10222,9998
10551,7769
10804,1220
724,8656
13406,2767
13543,2725
9861,1131
10677,1847
10547,3274
9005,5997
6307,8066
6227,2684
11627,3031
9876,1742
9227,9546
9392,9558
8632,10087
9838,5953
7539,3184
11570,1188
8630,1013
5203,1416
1327,7011
11355,1143
13122,3380
9884,1278
6167,6258
1208,12299
1434,10076
7600,5726
7762,8015
9170,9084
4352,9896
8279,5560
4853,7416
7976,1066
1607,4591
497,824
7019,8961
7638,5750
13182,4114
5845,5853
5962,5979
7193,9874
8802,8825
12076,8757
10057,1415
10073,7144
10095,9384
10996,3651
3931,1247
1975,2296
11688,2207
11701,2074
6386,8244
11705,2914
6733,6584
8897,11410
12244,8996
11618,9934
13073,12873
10999,955
10548,863
9774,5283
11540,2017
8545,3838
7108,3584
4553,4540
3950,3686
7703,7746
7399,7779
5000,5431
9699,11278
10643,8899
6733,11386
6448,6780
12415,7411
6151,5991
7978,13610
3607,10056
4111,4395
2738,4593
10198,12590
6445,6983
12839,2944
13167,2600
13823,6983
6703,1725
7768,7265
6425,8277
2057,4280
6128,6691
7248,11312
6530,7203
7052,7139
6377,9339
6828,7045
4922,4656
10988,8674
5119,3537
13321,2453
11815,1252
13211,2401
9170,852
7872,917
1238,11546
7706,999
10489,1651
7357,7418
1688,11804
4258,1825
6917,7122
2446,2506
7478,6919
5859,7288
5729,5700
7041,6815
4562,4801
6758,6561
10287,2493
5288,4800
5962,2158
1478,3584
11291,1527
9960,1044
12961,3140
5114,5444
13946,5675
12487,10342
13814,3710
6523,6064
2937,1594
13001,1833
12408,1436
9968,6632
12002,3624
7926,11823
10033,7929
8249,6962
6377,9274
12491,7592
11188,1122
10712,1009
10960,10615
11169,6483
11722,11238
6385,6480
1415,10774
8004,1348
3098,2502
7197,6790
9439,7290
8699,9001
9942,6996
8982,6473
12273,8297
13043,11832
11782,3686
13002,2010
9266,5738
8326,1261
4833,4460
3772,742
7326,6816
9580,5448
8076,9954
10460,4954
12827,12481
13132,2149
11605,7491
13653,3678
12998,3320
8411,6239
9539,9022
12266,8190
10368,9896
7471,2988
13240,7516
8219,10150
9422,8813
7232,6516
7130,2609
11899,1999
12169,2383
7174,7531
5695,5248
3870,3420
3600,8414
2490,7442
3802,4288
2080,5411
5956,6318
4138,4431
2305,1865
13663,4131
11338,4341
12803,2544
9984,5411
7387,6703
6905,6542
6782,9620
7272,3040
8220,3374
6361,8738
11667,7490
4331,2603
3223,13619
4387,11598
7031,3073
7795,7462
12290,7750
11472,7918
9144,5710
10690,7645
6915,11701
11151,12997
7404,7149
6907,6206
1139,8907
11891,7178
12061,11715
13663,3063
13164,2068
13011,2724
9214,7508
9971,9807
8865,8221
9253,11280
14168,10947
13490,14281
8285,7940
8276,7864
10240,9762
7790,8691
8647,4189
5066,11507
