x,y
10524,3354
10353,11024
9582,11200
11764,12342
11022,1843
11594,1796
10712,1889
9326,5808
6485,6110
6888,767
11292,1269
10731,1376
10050,1126
13289,4826
9866,2445
7372,2562
4153,4083
13086,1907
3858,12728
5094,11659
8474,8695
8323,7468
7633,6873
8899,8712
8894,8356
3445,1750
1933,4257
9524,8767
7178,6908
8874,8842
4216,9707
6972,3031
7927,12238
8273,11708
7163,11585
8405,10117
13201,11131
12910,10879
13484,4354
9138,8844
11476,1246
11395,5543
7887,5687
12995,3540
11952,3035
11181,1537
11596,1983
13711,3544
10050,6634
11366,3862
11482,3950
5954,6255
6667,7651
5699,6489
6229,6200
12329,2983
6362,8840
5664,6323
4767,5404
6499,6033
6469,6769
5796,6254
4649,3963
6744,795
4208,11787
1957,12506
3081,12848
5568,13398
8913,8783
7060,4996
7014,13559
7492,1340
11661,1600
8612,4181
8312,4856
7237,8070
6608,6819
6188,6686
4118,12384
2592,6504
5880,5947
7712,7328
10895,3412
8064,12169
7993,10923
5383,10412
5690,5652
4991,5694
6353,6257
9035,8322
2575,9273
8108,5206
8376,7795
12756,6506
12264,7274
6717,6914
5618,7793
10500,5019
11252,5575
6212,9226
774,10006
13206,13825
7583,8459
4017,1853
12549,1754
11940,5522
9319,8945
10030,899
4009,3914
13857,4839
6267,9342
10292,8014
10053,10647
11603,7570
12025,7069
12231,1437
5783,5915
4665,6051
798,6462
1410,5898
10378,860
10911,992
9923,1309
9423,2410
7106,7418
5503,5496
3925,13527
10563,4894
6733,6449
9526,5982
4489,13382
2847,12645
9822,8977
5984,8294
6174,6386
7256,7428
6007,6195
7289,7735
7791,7474
12052,5019
8845,7685
6924,6292
1267,10914
8848,6619
8376,8055
5924,850
4793,933
4574,1796
2903,2693
3210,13155
4106,7263
3771,7259
7819,7409
5950,7039
12420,1941
9367,9269
4363,4898
5966,6179
7278,6888
5291,7535
2943,2520
6371,6511
7406,7524
8026,6946
7543,2889
6739,3049
6293,5793
5515,5148
4757,3801
12273,1397
732,8829
5246,8598
8281,7645
1307,9915
2964,3354
8981,1383
6820,7149
6459,6577
7246,7786
5632,5584
9496,4238
743,3498
12902,3167
13686,3656
13394,3835
862,10706
12593,2771
9337,3983
13696,4645
13100,4220
10896,2576
6923,1330
6789,4484
7987,6957
13784,3370
2812,7736
2688,1327
8655,7969
6231,6615
7666,8454
9278,13124
