x,y
9560,1734
8482,7860
7756,8258
4434,3904
7697,7450
4795,8232
10066,6866
13815,9796
12700,2734
8012,7204
4808,9609
11575,14255
12080,2129
13554,3609
13435,2392
12447,2560
11127,3842
10499,5718
8609,5575
6173,13475
8030,5355
4736,8288
8715,13687
10810,10460
6194,9347
4284,5055
12308,12879
10433,861
7204,7416
6011,4948
9091,8337
1164,7012
8933,5441
8698,1540
7161,4866
7942,7573
7466,7730
3523,9378
6446,6202
9004,8799
8850,7437
4469,12347
6605,2854
9026,7685
4154,4346
4700,7509
7508,5106
8903,8700
9978,9168
3010,4953
10224,881
12129,2200
9350,933
11224,1519
10703,913
10334,1150
8699,1487
10746,4838
11466,1606
11466,955
12880,2017
13265,2788
13190,4411
8274,6773
8010,7917
2394,1731
13180,2997
7865,1375
10193,8789
8179,6962
8142,10236
10188,10291
9652,1565
4084,12402
4972,13484
5713,12893
8591,12785
11844,12063
12904,3164
7743,5505
1534,7545
4078,3716
6629,6366
4539,4537
6801,6570
13556,4427
13550,4189
7351,3209
4548,4734
5866,1128
5216,8716
9934,8983
8880,8681
4726,6829
11643,1750
11832,2058
11922,2331
6894,7351
11312,1718
11723,1697
7942,7139
7746,10060
7984,13634
11661,1444
1171,11778
7843,11862
9419,11482
8517,3665
13420,3265
10750,1090
13536,2882
11299,1240
9439,9499
8964,5824
5650,5732
5620,13137
6175,3242
1129,1282
11543,1563
9376,4525
8224,7648
13494,6265
14110,8382
3589,3505
4509,7468
10337,890
12994,2523
8163,8031
9671,9246
8038,7883
2659,3189
13985,5861
10674,8752
10678,5391
5003,10144
10996,10883
12689,10626
13642,4824
12324,2211
13708,4917
14083,4719
13492,7441
13779,10330
9291,11324
13414,4116
12968,2389
6695,1461
7940,3560
11373,7958
7015,6286
9388,9150
6029,1065
2574,1519
13498,8500
11166,3439
10890,11144
9603,9470
10973,3546
11993,1743
10632,7534
11930,5569
6024,9836
1485,8196
9548,13207
11043,1953
11803,2047
8709,7973
6072,6304
13601,3571
13742,4714
12466,2758
11578,5680
8777,8654
8135,13313
4707,3865
8780,12813
12111,2870
12068,1600
6235,10934
12438,1652
12164,2128
9468,6246
8758,9095
8889,2399
13384,4232
13100,2928
5791,996
4774,6673
8155,7083
5931,5862
2091,2084
10604,1753
10015,10705
12644,2245
13234,3973
10114,8643
13325,10207
12456,2778
10165,1618
10644,894
4692,6046
4478,10046
6992,3744
7060,4594
7471,7035
1811,3499
12886,2560
8285,5191
6514,7652
8689,4663
4643,7874
5185,5965
11215,3803
12362,2520
11292,1233
7230,4675
5111,5307
1058,7928
6871,13559
12425,11653
4783,6594
10480,5218
1793,1370
10234,957
13188,3506
3115,8120
6212,4228
