x,y
13025,3668
10112,1594
11240,1005
7718,3634
7570,2494
8843,8838
13990,7098
10205,2273
6835,6364
13983,4116
1292,7458
9164,5665
8302,10164
10299,10201
10452,1433
11146,1045
10259,1393
7580,2954
6781,7366
4733,1578
3958,4339
10194,8086
13968,5410
13103,3317
6373,5884
6222,4774
6216,1442
6489,6544
5091,5821
6524,6145
13408,4973
2743,3127
11701,3173
10924,1008
6590,4676
6886,5016
11886,1982
10463,1455
9918,4356
11922,12155
11988,11614
10932,1707
11133,3336
6136,6048
6120,6234
7357,3751
5251,5036
4650,5080
14192,13773
10039,1259
10828,1217
10559,878
7122,7858
6728,7471
4683,4642
6000,3425
12064,1422
11625,1782
13321,5597
10513,5000
12761,3253
13418,2373
13912,8145
11519,6287
11491,8237
7146,6650
10021,4993
1830,13166
8862,8088
10897,7579
14047,4023
6600,6528
7115,7054
9660,5921
11452,4408
1410,4429
10080,6531
10252,7293
9472,9638
10851,9914
9816,9512
9936,5228
7865,1375
10952,5410
13471,3320
1649,6621
10188,4735
5386,9088
13417,3987
13358,3912
8147,10251
4699,5994
8036,8069
5012,9314
8583,12347
10000,13830
10764,12080
14088,5013
11657,1511
12238,1400
4297,13685
13354,5261
8918,9916
9166,1751
10774,11620
12447,11865
8210,10306
11419,1853
11589,1842
13397,2518
13258,3474
8699,7482
6148,6508
9306,6348
9017,6175
8885,5939
13244,6737
13486,2920
13858,7802
7845,10076
7160,1359
8867,1668
6090,7278
10750,4490
1443,9920
13738,3148
12538,2467
13878,3865
13587,3453
13993,4319
13483,5994
10072,2379
3558,10487
9432,9935
10796,10342
9506,2462
10890,1802
8208,7546
8340,7375
9365,1856
8891,2196
8061,7090
6872,7181
5834,5673
13100,3998
13081,3777
7229,6748
11108,14054
10877,4782
5873,8906
14026,5383
12676,1738
8493,9685
13182,2493
13182,4006
3435,9053
7775,6857
4039,2223
3643,3231
13196,3094
5997,6327
9734,1315
2648,6890
3569,6306
13354,7647
11181,1020
11757,1473
12820,1754
10258,1113
7041,7307
9875,9632
6199,4842
6874,4395
14022,5744
11213,5989
3613,13363
13661,4342
14061,4771
12350,2286
13591,9097
13690,10025
14031,7242
13662,8792
11483,10555
11210,11713
13008,11161
13654,12238
12672,2703
13697,4476
13478,2701
7745,7378
8716,8114
12615,2954
9382,2054
11551,2029
13719,3794
8303,2095
12516,10426
8206,5025
8887,8891
4298,4298
14094,5387
13308,13674
12738,3156
11479,1945
10954,1846
10977,1184
13078,2692
11747,2390
8954,8991
13152,9352
5236,5664
6910,6337
4232,4062
4945,4517
9226,8552
5290,5370
9972,9984
11413,11435
10870,10477
4300,9585
1511,2097
10561,1432
11800,7283
6170,9220
12334,3226
10258,5655
4857,8423
11422,11150
8279,835
11993,1743
13603,5205
7653,9600
1514,8854
1283,8429
1485,8196
10712,13505
9548,13207
10344,1260
1357,9969
9411,11344
13420,12855
12677,12016
12252,2187
13385,4270
12400,3068
13074,3925
13768,3796
7952,7574
7516,6820
4344,14033
4428,13782
7779,14044
7517,7976
8447,8744
11218,10697
10766,10548
11273,10962
11849,12332
13680,12646
12096,12798
7758,11094
6214,10262
8420,11534
8538,12360
10665,14003
14176,12972
10405,2253
9452,9660
5194,5638
7642,8780
8743,8775
6639,9382
13229,2964
9979,1089
13439,3592
13120,2343
9684,1432
5335,5523
14055,5484
10399,13348
13230,12108
13930,5010
8654,8974
11822,1515
4344,9987
6320,9262
2349,5101
3798,4086
4299,4758
3769,4458
8926,906
7119,7483
10638,7448
13520,9711
1805,12095
10151,1172
