x,y
2105,13301
11412,3140
4028,13996
6489,6544
8040,8195
1711,11716
5866,6554
9246,9928
6794,8151
13061,3855
5799,5919
596,284
2572,11984
2378,11981
10022,8376
8642,13744
8347,11733
10376,14185
6561,11365
1177,8272
1124,10011
4120,12971
587,2481
1051,3257
7796,2523
3111,780
1122,3258
308,539
936,11218
1640,10847
12072,9212
9301,7341
6156,8336
3868,4436
2199,3926
4015,9577
4064,13365
6847,9737
3261,6589
11353,12084
12918,12484
9934,8597
11650,13149
4312,13661
1675,12009
4205,13597
8895,4689
1603,12913
3040,546
5767,13203
3428,1645
4431,14025
4377,13639
7861,11835
6101,10205
10068,8481
9784,9333
7721,5681
9420,9796
4989,8456
8662,5198
7919,5798
13992,8847
9449,13204
1004,10225
1746,10920
1914,7725
7245,6503
7081,11060
3380,11468
11894,7219
9504,9135
7706,13679
8268,10100
7032,6488
8288,7152
7832,8416
6399,6849
7907,10783
4805,7202
10221,5052
8416,3372
2948,6198
5574,1395
2612,2344
1490,11814
1383,10304
1195,10769
1668,6638
6852,6908
1660,4409
1600,4183
4082,13813
2621,12117
1562,9570
3798,13785
1393,11571
3609,9680
4359,13464
5588,9444
4119,13430
4742,13990
3870,13260
7106,7321
4013,13007
1497,10735
3272,13108
823,7702
8461,5414
11816,11686
4068,9516
1147,2845
4691,11587
14019,4712
12432,4991
5245,10345
2789,4766
1472,2004
5628,13699
5150,5645
1027,11682
7361,6698
6410,7066
6345,6046
8684,6545
8940,9478
6823,9707
11272,6499
6456,13696
11252,7083
3066,3512
1292,9525
11837,2985
5218,10408
8756,5928
7740,5416
4756,9754
8926,9882
4243,9294
2652,7218
1358,10676
1501,12844
3178,12002
6164,11606
9469,5606
2556,3850
1159,11482
1902,11556
7766,14022
6772,13856
10808,1519
8932,7890
4022,3862
7421,7851
1708,10720
1263,12538
1535,11149
1418,10733
6686,7104
1062,7711
3757,3349
8263,10088
7265,9845
8016,8244
10719,2785
2699,6159
7880,5797
1056,2960
2827,9787
1861,11959
1210,12190
2031,11624
10519,4791
7966,1328
6714,7629
13127,2396
11280,1408
9978,6660
9967,11955
9112,6055
7404,11084
13099,10651
8196,11718
14484,14042
2627,12871
3278,13469
1565,12508
3433,13237
3648,13052
5998,14080
2982,12310
10372,5480
883,10719
4596,13838
10881,8781
9764,860
9598,12682
12356,2721
10218,5109
8072,8294
7616,8594
4489,4052
11044,9870
9776,6228
12510,11525
9715,12386
3117,13424
4181,13838
2450,11729
3565,10625
3682,13188
2377,11788
1824,12106
4557,9513
877,7268
7763,7864
7190,4762
5266,6182
6583,6504
4699,3752
6526,6819
4983,4533
4976,5072
1222,2655
750,8161
10200,7358
6757,13828
9443,11995
2709,4421
12524,4945
13521,5676
12414,12084
9045,14068
8578,12121
5385,5870
1626,2223
2974,13513
4837,7861
745,7632
4656,5082
8948,1174
2006,3024
1482,11836
1308,10731
13615,5772
3557,13447
6757,7169
3366,8404
3209,602
12706,1935
3110,8433
862,11480
4581,11970
7976,1366
2425,12029
4526,11704
4351,12173
8067,14067
4203,9779
4144,3848
7858,5793
9846,9193
9055,9983
9953,8334
3773,13115
3675,13923
4410,13313
8789,11648
11838,6744
9989,6643
1178,10332
824,11032
2751,3789
2670,6057
1658,11111
2131,12110
6904,8874
3302,6986
5770,1412
3299,13274
998,10932
6196,10034
1500,11137
7671,7794
7339,13550
7839,5175
3743,7249
6101,6585
3307,4189
9177,6027
2035,1420
4592,3941
2024,11569
919,10832
6857,8095
3353,13807
9155,11305
8208,7860
620,695
4123,13559
940,7213
7886,6800
8432,10206
5006,12309
4997,4482
10229,5644
9748,4344
3872,2631
4203,13507
3293,13384
8607,5797
1745,11165
8954,7781
2078,13227
1224,11058
1932,12544
8824,8952
2794,12154
5589,13377
7408,3719
3146,12890
4816,14037
4148,12414
3779,10886
8230,8049
7861,12340
11040,13894
8590,13439
13657,13773
10800,9804
12849,12495
2106,7546
1045,11480
5881,5013
3587,8631
3464,1872
1379,11780
1586,12763
4842,6989
8423,4785
6928,1717
6413,6036
4388,13487
4826,8638
9584,4501
8697,12697
11074,7152
14080,10633
8738,4085
4640,4855
4517,10064
2974,3148
3454,13123
5774,13595
9380,12819
3908,12616
8392,12384
7374,13544
9350,9325
9470,12716
11714,12184
1391,10880
3576,13012
2503,8162
12012,2867
8075,8339
7346,7298
9162,8492
815,10300
11968,2447
8338,8773
3836,11107
3068,12733
3378,11307
863,11330
1172,7362
3366,10784
4523,12154
11217,6082
8066,8104
10372,13556
11052,892
11782,13245
10522,10538
2838,13750
14102,9809
10551,12997
7125,9674
12905,11555
1465,11026
2990,12931
2703,13075
3760,12658
824,10406
1461,6423
1344,6510
3535,13074
7033,6924
5682,5659
6662,6772
1734,7358
5215,737
6405,13502
1321,9110
972,7756
8289,8225
13461,3947
6875,9555
13581,12379
1726,11132
3428,13020
5005,14000
7791,8759
6823,11452
9235,9096
5392,9386
4498,9638
3518,11587
13000,12964
13149,2009
9895,10372
8851,7378
8604,4297
11167,5366
12505,7255
9030,7714
8992,8378
11628,10113
6168,6222
6659,2977
6157,10946
7215,5225
13384,2682
5331,10499
11333,1014
8672,6758
6092,6051
5730,12803
5041,5691
7499,3262
4788,827
7934,10205
5614,5451
6218,6472
1111,8953
3698,7294
3878,11334
10080,12050
7234,3324
801,10335
997,11092
1213,9344
9110,1162
1898,4238
3542,13525
990,9087
3554,13772
7574,7529
5005,10589
11212,10773
1862,11626
3340,13288
4300,13243
6167,4880
14023,6295
5219,11753
9844,9147
4244,13125
4036,13937
7491,7499
7670,12394
13264,6902
6398,10104
12146,12515
12954,13999
3814,13975
3346,12950
1221,11304
12057,7162
3592,13076
2446,13425
2435,13521
1783,12995
794,9382
12498,2888
2732,13140
2921,12952
920,1568
2057,12547
3464,13297
5596,5396
8159,10592
13320,13976
4934,13695
4115,9750
4086,13051
2637,11590
8042,7337
1209,6797
9391,3857
10068,10425
6394,5016
2670,12014
1759,11760
2996,11291
1092,10990
995,10145
3144,7528
4972,10510
8517,2392
10972,4704
2976,7280
4030,3607
6533,12467
3374,13090
11446,6670
4482,13686
9497,7645
2612,12141
4491,9523
10285,8064
13020,11088
5248,10255
9460,9030
8520,8664
13670,12209
12663,10247
12449,2476
4307,2770
4431,9067
3036,11048
7402,6213
4130,9423
7355,3101
4667,13708
4711,9546
11113,5362
9365,9883
12956,9378
11142,5340
4907,7671
9209,8718
10208,7550
13857,7993
11848,6837
5253,5408
13531,10972
1018,7320
4727,4377
2557,2241
3428,10720
922,9963
4222,14004
6045,6106
6386,8234
7481,1668
9196,8734
5126,5926
12587,5451
7287,1361
9438,5492
8302,13395
7865,8655
1162,12468
11447,8386
7915,7245
1215,6831
7487,2329
7909,11943
12717,11148
2948,12581
1932,12996
1632,10771
6984,8218
3940,14007
10185,7352
5385,10591
1743,10986
1261,12693
1154,10738
3132,13067
4802,11851
4546,13808
5937,3911
1028,1206
3375,12861
12053,3090
9544,1673
12287,3338
8663,5405
8694,5383
10256,8995
11243,4977
6517,6933
1899,7813
6298,4385
5385,1268
1665,13215
4036,14072
6646,7156
12852,5170
7862,6970
5896,5910
9086,1678
9866,9118
3321,13763
11446,1764
12214,9278
7612,1565
8051,10080
9396,1786
9262,3580
3542,11388
8820,8305
6367,5009
11862,6948
10539,11180
12848,14245
4555,13683
9162,9166
5950,13738
8954,9748
13771,6685
9785,5799
10523,10462
13237,10271
1155,10910
12310,1565
5386,5601
4063,557
1767,12552
3884,13338
4024,13096
1460,8338
8030,1708
777,7726
6528,10106
1064,12354
4288,13476
8107,5255
3288,8835
3309,7820
624,2833
849,10534
2703,11498
5580,5253
13021,2433
4450,6020
4566,11648
14066,4344
3700,11269
6331,1663
1889,13034
4153,12005
3563,13409
8837,2489
4866,5383
5140,4708
3304,2892
1116,10813
3164,13313
4717,3974
5427,1855
1376,4688
6926,3003
3655,8748
9224,1504
1861,11511
808,10394
9048,11084
8266,7346
2378,1868
1516,10602
1194,10766
1146,11507
8504,8021
1522,8323
1800,11463
1281,4600
2806,13270
6311,9268
10767,13063
1955,11486
6433,7054
3185,13565
5630,12694
6734,6255
5103,10255
7380,11365
1069,10029
4143,13020
11340,13903
5573,12956
3924,14005
2442,12594
4035,13980
6830,8898
8344,8170
9006,9002
4074,14056
1438,11741
3417,13640
1311,11731
4226,14027
13547,2797
9988,13414
4172,9716
6483,11486
12874,11476
13597,3440
3475,13221
980,11806
1097,11038
1878,11809
4616,13695
4387,7642
3446,13019
6282,13276
6387,6597
13429,3007
12573,7222
1324,5414
2036,1659
4123,11655
7539,869
2424,12173
9504,2517
6267,2780
4764,4350
764,6708
3041,1757
3045,12861
1443,11470
877,10241
821,7710
1004,7568
789,6189
10486,11386
10127,11106
4322,13304
6269,6453
7672,12353
13664,8596
7651,10311
1630,5999
1594,12852
3044,11724
5654,13588
6007,12685
12211,3113
6887,6650
11411,1446
4752,1428
4814,4310
4807,14073
6809,6804
8196,7516
7879,5776
12719,7296
11332,5252
10201,10301
12196,11904
13236,3319
14138,5368
1896,12907
8118,13766
10059,13303
1582,8356
6468,12312
12638,5821
1682,9562
10671,9871
9249,13267
12993,13527
3208,12812
932,11032
1952,12659
3709,12797
8125,7812
10470,3430
8768,7408
3774,13702
7268,10924
5974,7269
10887,5413
859,10936
3978,12693
1171,11488
1414,11211
6223,9801
1502,11777
768,8120
3219,7312
7076,6127
2536,1291
2118,12008
4771,13309
12946,3514
11895,1755
6855,5530
7636,7752
13498,4741
10266,7330
5985,883
4378,13436
4045,13618
6565,8483
8567,8760
10918,10764
4179,13936
2840,13022
3606,8386
4674,7853
9980,6053
4602,13428
1456,7891
854,10857
1394,12355
4877,5119
1966,11470
7404,7975
5764,12722
1732,7149
3237,12864
8188,6620
6965,11371
8175,10078
1909,11672
2250,13016
6033,13577
7006,6671
10150,10466
9988,5611
7516,7830
13966,6832
13258,8009
14242,13320
2807,12700
9503,3416
8588,3479
8658,7604
10528,5649
4195,4555
11981,12098
11295,6873
9979,8804
6513,6262
