x,y
2497,8490
4775,13519
4655,5138
6787,6634
7947,7624
2875,13464
9653,7248
10078,6720
1578,12060
6125,5830
3629,13422
4555,13808
3111,12716
2870,12709
4310,13362
8078,13575
7738,13819
8030,13842
8172,13807
4151,13603
2704,12795
3644,11193
3921,11439
2683,12319
1061,7545
7050,6785
1303,6802
1096,9273
1323,6619
1582,4174
2394,9150
2424,8538
8184,1894
1865,2095
158,337
1773,10945
1624,10806
4152,13336
7813,13556
9724,9820
8270,8525
5585,5510
5668,6260
942,11644
4761,3951
1331,2753
2108,2193
2658,1729
1181,10142
13607,5633
12382,2880
9964,9146
3270,13123
2522,13112
6188,4584
4573,8032
4657,7210
7594,5200
10515,1150
3748,13738
2103,13304
3957,13486
4156,13452
1016,11824
4179,14038
4685,13564
7747,11867
10229,10179
7747,5260
10226,7283
2574,10402
7764,5292
4870,9502
13160,13984
2564,12589
2126,7598
4502,4632
7081,4048
7684,8296
6888,7090
6515,6761
8250,7136
6934,7540
6772,7314
1416,10772
6774,859
4563,1354
6202,3185
4622,13536
13267,3098
1427,10534
7077,6974
6148,4461
8018,5116
3852,13785
2013,12638
2623,11536
3931,13675
2112,9847
1723,11358
2180,12250
3681,9858
1636,12834
9374,1636
1841,12101
4175,13267
1882,11675
2630,12188
5054,5744
8266,762
12108,1969
1587,8153
3130,9369
2453,9714
1922,2205
1086,1254
944,2646
3094,11382
8714,6084
2091,2084
11088,3378
4260,13327
1494,10676
2406,12197
3036,11506
6569,6959
5308,5601
1266,11306
7575,7980
4730,7315
5243,4827
10094,6298
6211,9304
9274,8847
11820,2098
7630,11816
1506,12114
1141,10952
1688,11982
4990,10278
4305,9900
1262,10626
1648,12000
6226,13762
1908,3059
1944,3251
7688,7253
6976,6998
4280,3088
9815,1351
7570,8855
12808,2016
13023,1932
10265,1245
7850,7440
8342,6356
10490,4708
6948,7165
4265,9296
2843,7231
1846,13188
7910,7420
1458,11421
8763,5687
8418,5628
5585,5210
6297,5902
1310,6957
1767,11584
13414,2740
1736,7280
2304,9519
4238,1118
11154,1239
9126,1254
8186,1479
9104,1430
1152,9456
1496,10435
1386,10904
4535,3848
2698,2271
2898,796
7929,11531
3124,12896
2912,13474
8427,8741
8310,8680
10362,8734
13714,8080
14114,8361
11621,12728
2932,11272
4578,10000
6700,8499
7929,8235
7111,7134
6001,1679
6139,2070
4671,4604
4245,13238
1934,11917
1520,9634
14047,4261
2500,13504
6595,8495
8723,11531
8786,7773
10301,10110
12983,2643
12966,2326
10262,5438
8091,6740
13442,7352
8114,8032
10349,8734
12774,12578
8795,13611
12770,11984
2111,2422
2183,13136
1782,13124
9294,1632
4830,1065
3250,730
3391,748
3260,1400
1237,11487
1287,11095
5876,8656
10140,9540
13485,6064
7564,5134
9280,6304
9932,9516
9435,8957
2834,7974
3336,574
3682,10274
1582,4082
10784,3255
3551,11149
5664,6168
1090,10925
7238,14034
9912,9808
2019,13265
2371,13150
13293,6458
12660,5946
6552,13568
13364,6862
919,10631
3830,9484
5833,9182
1258,9226
8520,10076
1060,11335
7141,9679
8692,8594
974,2831
3311,3803
2786,13010
3798,13191
1852,12698
5837,13454
5197,13510
2098,9454
608,900
2297,13434
4324,11847
4426,13611
13276,3931
13821,3871
4305,13653
1513,10246
6732,4515
5588,4990
2943,12604
5240,12323
3419,9276
6822,9668
7617,5748
8418,994
8610,4818
7320,4930
2750,13625
8783,8959
2650,12138
3045,13374
7487,1656
10425,11058
9774,11210
7558,4718
7242,3912
4004,12887
10016,8684
11251,5457
11010,5426
1289,11544
3482,4027
5162,5276
2482,3238
2385,3613
3752,2086
3586,1825
6473,7030
7422,4658
8917,4088
3430,13022
2530,13074
4282,13605
8802,6387
11120,5432
8775,4030
1653,4063
2926,11958
4061,13245
4068,13407
4312,13654
4245,13723
7649,13475
8342,13610
4054,13466
9603,9632
1513,8162
13553,14132
4687,10063
11788,11921
1405,12581
1105,11331
1778,9896
11982,2077
10863,949
10368,1105
5081,10126
10206,7224
5845,10374
5171,8689
5096,5251
1267,11133
2202,7618
9452,13611
3462,6458
4376,8194
11110,4343
6342,740
6525,8038
5536,8570
2875,9729
2710,12832
3842,13616
12962,2176
6864,7246
8510,10308
5303,13624
5424,7906
2898,9804
6330,9462
11914,13218
3440,10716
3840,11160
11090,7621
9127,11313
1602,11441
1792,11780
4093,13014
7229,7029
6298,13770
10984,11856
2962,13217
1915,12314
1642,11496
2981,13562
1156,9536
8399,6124
7600,6138
1322,7412
6852,7900
4207,9993
2923,1021
4681,6595
982,11377
8494,3282
7905,2041
1385,11650
5770,5357
1745,9847
1685,7468
6188,2020
2588,2018
8434,8045
10631,10433
13439,7541
2714,12329
10737,10967
1442,10453
3738,13478
7753,11855
6916,11524
6262,11268
8446,8591
10035,8948
12808,2493
11240,1088
12479,2938
11629,1736
7103,7067
10776,5073
10486,3154
7608,8695
7830,10538
3035,10059
10628,10587
2981,9108
6095,5998
4036,3702
4763,2882
13185,7997
10135,10222
9940,9950
1980,12234
1902,11909
4192,14010
4830,6040
3639,4276
6228,11207
2640,12347
986,10752
1170,6992
10817,3594
10112,13199
10237,13189
935,4770
1249,5028
7808,2038
3125,6636
5716,8594
11162,10736
5408,9100
5832,9478
4620,13489
9316,1138
2926,12638
8328,3568
2593,11859
5827,810
8487,929
9356,6379
8736,8430
10293,6590
11823,7805
11868,11248
12193,12673
2320,12918
1540,9312
688,2241
5653,5769
14056,7279
1652,10774
879,10631
1056,5314
6440,6568
3882,13834
3961,13572
7765,10909
9951,9061
8798,9261
12401,9232
7617,10282
4110,12458
4096,14062
4432,13791
7444,6829
8645,8091
7747,13615
8314,10326
9502,9336
13116,7387
8251,7829
8490,8660
12181,11900
10928,5052
11664,4038
12982,10842
7074,7014
3840,11130
1642,11120
10993,1359
12385,1276
3998,3842
4723,4949
2646,6348
3002,7772
4374,4996
7172,3386
5124,2152
1312,11034
5812,12526
1280,10860
6622,7656
6624,7556
8862,4752
7294,1134
1058,4860
11266,11910
10920,10031
10077,10133
4788,9092
4706,6430
10169,9856
7278,12135
6554,6284
1218,11284
5156,1290
7678,3664
4104,13636
13316,4378
3606,13133
13431,5402
12620,5590
13866,3498
9544,9230
5362,5254
6038,6046
13344,7921
7888,7209
5494,5766
8418,6252
4196,13694
1364,12232
2782,12732
6227,13723
7736,2244
6296,2118
10673,3156
10938,1709
7600,7090
6868,1038
7454,1160
8647,8432
12425,7306
8784,3652
7984,13235
3754,13142
8839,8621
5538,12296
4039,13524
9515,9113
10854,8774
3106,11731
13026,10803
1172,10622
1435,11136
4098,11580
4684,13628
4436,9438
10247,8737
9802,7379
3272,7392
1970,11572
3251,7938
7816,7836
9569,8863
5752,6539
10918,1377
2886,12650
6260,2342
6132,1156
1516,6243
1152,6408
2974,3009
4145,3949
3438,13165
948,9978
7646,7816
7239,6888
5322,5431
6583,7606
5692,8514
6900,7452
11790,1900
12997,2930
10861,1102
7694,7290
2438,13360
2274,9439
5269,8530
3462,6672
2599,7619
2915,13244
2314,12234
7560,7751
8594,2389
7303,7063
11094,3327
4254,7348
7458,11090
10568,11214
4714,13736
1988,11585
3004,11283
3804,10116
13612,5884
13434,5732
1697,11114
13433,7668
9504,6258
12892,10900
2551,11799
3158,8014
2957,5303
3375,8600
1101,3308
1835,4389
1908,11876
7553,6650
1184,7590
6528,980
6988,1190
899,7711
6686,6863
7706,5114
9599,5407
6515,6897
5566,6252
900,11015
1905,12855
9128,7466
4912,13795
10948,3422
8620,4805
7504,9720
6624,13330
5218,9480
2540,7478
6552,2570
6635,9562
4582,4460
4326,6076
13830,13122
13437,12888
13085,3210
12136,1676
14056,4957
7408,3604
10045,1437
1812,12390
2878,12614
5513,13693
2552,12837
1764,11998
5916,5956
8641,8413
10202,10624
10210,2613
9439,9466
3784,10033
3938,9738
11064,10890
8964,9165
10778,11402
13174,3467
13357,7410
3872,3280
2926,13152
2641,12056
6271,6406
13079,2765
2048,12355
12512,5962
12308,6406
6490,6455
3764,8034
11895,2570
3453,3896
3622,1610
2671,4525
5748,11244
1857,3494
6335,8478
1591,4895
1145,11511
2414,7670
4108,9635
4972,2821
3616,13800
7780,8006
11100,4424
5246,3760
11796,1536
1027,10865
1596,12064
1418,10870
2682,10006
1244,11624
2403,12289
1206,11508
1437,8750
944,6563
2824,6158
2013,4520
3422,8708
2631,5735
2051,1889
8955,9404
7160,9732
3557,2803
4256,4520
1898,3516
3197,1680
3052,1954
1798,1309
2862,11314
3215,10820
11474,4035
12019,1794
7216,13698
4202,13639
7478,6081
2444,12380
8671,8303
4091,13968
8144,13504
9134,7528
6660,13433
4309,13706
4546,14016
13269,2541
13996,6545
1246,12359
7831,14056
13106,6830
13577,7152
13145,7142
13542,8043
14007,10578
13846,8741
1538,11736
1908,11406
4248,13678
2173,12073
1615,12897
5532,13000
5256,13860
10429,9785
3078,11584
4214,11964
1902,11794
1798,11770
5358,10438
5238,10428
4234,9656
2901,13145
8344,8170
7487,11108
6085,9391
5461,8972
3802,13887
3126,13518
2696,12980
5312,12516
9384,9806
6861,11390
11996,11176
4359,13636
2772,12735
6054,13599
3528,12890
10993,13885
10742,13684
3423,8378
6656,8377
6783,1189
1620,11005
1509,9416
1091,6875
9326,2456
6565,6662
6088,1877
6338,2670
6193,6113
5052,5275
3886,4376
4560,1827
3224,13179
2700,13700
1846,12007
1347,11478
2562,12147
2115,9549
5585,8845
5956,9006
9106,6502
2322,7462
9978,10080
12178,6839
12904,7366
10744,11259
13270,10521
8664,10884
3827,13227
2278,9317
2878,13087
7152,9276
7434,7050
7824,11139
1544,7424
7510,13984
4918,11557
7198,11165
6280,6484
2647,11881
4408,12290
5187,7684
4890,4453
3717,10937
3316,8229
6048,6298
7621,7245
11457,3272
12893,7158
10096,8657
11230,5588
6738,6211
9206,6362
10755,4821
6717,4703
8739,4285
6918,9652
6048,6900
5281,5799
7647,8978
6308,6689
7004,4498
5538,13156
7187,6517
1843,7914
1401,11757
8460,6492
6226,8898
8186,7692
7892,7588
11156,3867
10232,2940
9877,3319
4155,13828
3892,10116
13066,4072
13598,5096
12436,1713
8184,7232
10036,7152
6354,6230
1712,12420
7649,11332
1653,12329
7293,4747
6876,4347
9718,5488
4424,12093
4342,3164
8688,11562
11554,3854
1642,11364
9692,9884
9016,9046
1556,9124
13019,9349
1339,11289
8562,5914
8407,8477
8032,8063
8016,7756
4129,4816
2644,5900
5458,5446
7306,9830
6448,6332
10092,6987
12907,10365
10956,8614
12600,12818
1189,11981
13342,4256
7038,6579
5430,12580
6129,13401
8018,5391
4412,9806
6695,7152
8175,7380
6319,6035
6469,6609
10759,11125
1217,10973
3118,2356
3000,7464
3330,3922
2170,2124
1777,2111
8512,1484
1616,8059
11485,1132
1614,8100
7305,3286
1385,10538
3969,10136
5887,7027
7666,2540
7193,1047
5605,5119
8863,12928
2898,7896
4403,9234
3074,6800
13404,6317
13847,5942
7570,1248
4536,2772
3275,13048
1228,11534
3680,9972
12057,9744
13903,9419
11740,5199
11588,11973
5432,13444
2806,12286
6613,12505
13532,5516
916,9717
2934,7615
6052,1220
1437,11771
1936,12295
4211,13308
3074,13320
7377,4908
7362,8702
7951,758
13456,3014
13240,6874
14080,11224
6546,7952
9421,9446
1970,11623
1032,11225
8381,3318
10993,3309
6474,9459
8178,7092
7542,7809
13410,5978
8011,5598
5819,4189
854,10551
6259,10286
6656,13940
4418,1140
11174,1922
7818,13357
5709,6302
2052,9582
1644,4970
13575,8163
13224,4268
6672,9606
2246,13204
4806,13706
5331,12496
6797,4417
13001,3665
6450,6972
10314,10294
13576,6486
14134,10428
4372,13280
13459,12410
5884,9035
9528,13569
4544,9719
2630,12518
9844,9025
1536,11056
4420,14036
9760,1150
2976,12840
4639,13586
3043,13644
3825,10694
3947,11324
1726,10132
1308,10730
11618,1220
7520,13684
5582,13608
9398,9310
9461,5566
6433,7161
5492,5620
1552,12464
3468,13046
5216,8494
8166,8254
8973,8903
6994,7412
6766,7390
7464,13374
7903,12207
3563,13020
11406,11057
13377,5274
7054,1179
10974,1692
7150,3512
2770,5936
4526,9768
1112,2176
2853,13253
1270,11080
866,10580
2978,12838
6860,6896
13122,2230
13954,7500
7002,9633
12810,9540
13632,12105
8321,8548
8711,8740
8776,4408
8655,5727
12282,11706
11285,10727
11292,4888
1858,12898
1624,11942
13514,3528
9280,9328
14332,13627
3382,10123
9614,1256
9446,1387
4536,5907
8972,4308
3952,9414
7400,1542
4577,5066
7287,5086
10591,5134
14066,7766
7286,6956
8607,7243
10617,10669
2713,12998
3446,13216
1264,12397
4209,13525
3906,13292
13323,2775
1885,11797
7115,9031
12242,9049
10162,13983
11347,10842
13264,11368
2108,11733
4816,8348
3266,11549
7631,5936
3996,9930
12243,8870
13529,2829
10552,8769
6238,9556
8921,8794
5535,6171
13878,8976
9874,7316
13346,7503
7020,9117
13784,13138
12932,13597
12232,8841
3750,13645
4924,6908
3235,9251
8932,8198
7846,12045
7191,13740
13133,11120
3612,9681
12330,2164
12795,2488
1775,6940
9130,10003
1047,11489
3905,13906
3694,11348
4404,7434
12095,10134
11998,7162
5458,5507
3835,6183
13539,7753
7990,7958
7942,3406
8986,5449
8365,6508
8565,4679
6203,6153
8595,9828
10075,10140
11086,11733
1194,10754
2216,12636
6771,6554
8221,7661
7370,7826
13313,3567
4578,8180
1564,4464
12568,7510
6169,10836
7012,11274
13028,5088
974,11285
1779,11246
2630,11750
2346,12104
9968,8516
10027,9001
762,9591
10920,5380
3320,10743
4076,13095
12498,3041
7463,7245
