x,y
8296,7415
7828,8686
3415,11136
7080,13318
11304,5725
7936,11828
12039,8776
5942,10600
3398,13904
2397,12803
2460,8658
5645,7765
9066,6488
7085,7173
6095,9806
7214,6218
8463,7730
4842,8752
9605,12967
6317,6926
7053,7991
6373,6084
7376,8011
7369,4844
10090,8479
5424,5916
1157,10649
870,10053
5125,8531
12073,1663
13477,9043
8469,6270
6658,6604
8267,6493
9334,5632
10117,5928
8758,3897
7226,13648
8438,7883
8057,10141
6832,7878
10206,9694
5304,9166
12841,11914
3999,13516
6871,7055
8143,7589
6755,6656
6289,6474
6934,7259
7534,6887
8239,7679
6742,6907
6552,6155
8265,7407
9668,6391
8633,7827
8576,8507
7464,6998
8479,8490
1423,7790
8769,8199
9834,5714
12614,2098
9785,1424
11325,6492
4725,8449
7678,8168
7186,6741
6288,6362
6606,4680
3170,3892
2151,11864
6546,7656
6559,6098
7717,7280
7279,6573
4182,12582
1086,908
8214,8172
8585,8945
8036,6681
6132,6942
6886,6804
9540,9336
6515,9235
6724,1369
11654,3993
12856,1934
5812,7192
3078,3750
4769,2844
5062,9234
1420,6976
5921,5127
4685,6967
8306,5457
8432,7940
1109,10950
8561,6596
6208,8265
6752,9734
4756,7250
7123,4733
5979,6078
7035,6599
6235,4563
5589,5397
2481,1795
6500,6657
8840,3444
8926,9188
9153,11328
13223,13913
6112,5105
7477,6202
6668,7200
4870,8291
4822,3434
8378,7453
7742,8523
6646,8373
7557,7505
8527,9901
12511,5925
2626,13323
2047,12697
964,9898
2926,12042
2877,13486
7114,8875
14029,5250
6984,7824
9886,5865
8784,5718
6790,6455
8027,8132
6601,6491
12141,1923
9948,9534
11278,10772
8140,7562
5254,7668
4682,6323
10230,5151
8184,4742
7834,10410
11522,7578
8082,7810
8490,8932
7761,7429
7705,7494
2250,1393
7063,7073
8025,5796
9754,2391
7726,7286
6298,6192
8743,8775
7947,1802
6100,4716
6471,7889
9570,5438
6403,4815
8931,9734
7189,8687
11499,6257
5275,4783
11435,3928
6048,1970
5370,5605
4754,4070
3946,7279
1082,7151
9194,3760
7038,7321
6116,5953
3742,3049
2385,1747
2927,2036
13348,3101
6813,7434
5656,5867
6148,6114
7861,5995
8227,8523
10204,7187
10746,14054
5735,11456
9409,9262
5249,9320
9279,5632
7462,8648
4657,5454
8078,7536
4203,6045
10086,1745
