x,y
9052,9815
12116,1530
8998,8914
5242,11456
9875,9030
9186,13491
9530,11757
11389,13392
5178,5208
3250,7118
2162,1300
1716,11237
1184,11664
1710,11115
1566,10215
1684,11328
1790,12032
770,10242
6842,6243
843,10386
1982,2750
2958,12506
3772,13186
8088,9888
9874,5646
8518,7879
13863,8817
7763,10170
12270,7629
14013,10281
7561,9947
9459,12619
8627,9710
10065,7602
9322,8626
12043,1225
5232,4721
7253,7612
7171,3436
11436,4289
5988,7553
5914,9195
12064,7276
7296,13249
13381,12554
3624,11619
10207,9606
6453,13320
2539,12625
11866,3428
9905,5193
2068,12138
3140,10722
4853,13865
1300,8626
8362,8850
6844,14002
3140,11740
9772,10406
6086,11215
9000,9956
5542,9041
13058,3374
11572,6774
5361,8661
11719,5531
3940,4610
3697,11226
1336,1318
1056,10270
5696,11106
1574,11490
2859,12771
2719,9962
6591,6455
4010,4438
4400,4906
7932,11822
6202,9448
12843,13346
11263,5105
8248,8637
2191,11725
5717,5599
6593,4570
6199,9965
6033,6776
5883,6133
5940,6270
942,11644
2793,3797
1042,4526
3063,2534
9123,5715
2740,11651
10607,1742
1323,7518
12128,1156
7434,1084
1518,7863
7006,7411
10322,5368
9483,5499
4300,3841
3766,10590
10995,3755
7326,6852
6588,6142
5559,5716
7852,3410
4571,4879
1216,4702
3693,7731
1918,9706
4810,5644
3853,2444
13718,3698
4180,13455
8572,9106
9355,10030
3037,12710
9996,9140
10628,5213
7560,6645
8188,8101
10050,9445
1663,11775
1308,11027
1194,12126
2648,6890
3569,6306
1178,6029
2473,4271
8732,7471
6308,6148
7755,7569
6661,13186
7826,11855
9988,9092
7938,12066
9972,3248
2327,4362
9512,6173
2608,12995
5006,1334
1712,12424
2684,13527
9018,9628
3835,11575
3158,11726
8269,7201
3744,10080
3845,3549
1606,7069
1141,10501
1652,10843
782,10212
1184,11112
6002,6502
12622,1755
6925,1047
2533,786
11064,1004
2418,652
1714,2943
8313,3504
1295,6923
1160,10233
5840,9072
7654,7374
4675,6573
1057,2061
2657,12754
828,9648
1942,12604
8336,10381
5547,5571
3810,2821
3206,13293
7474,7731
8126,10129
11353,5997
13774,8131
11648,7755
1094,6848
6366,7008
6343,11251
13305,5920
4957,7924
6564,9753
10850,8386
3789,12993
3528,12890
9024,8858
13547,9771
2752,12685
2898,12684
2718,12742
3366,12985
12268,13442
7827,10094
1953,12382
6936,6759
1506,3370
3281,6994
1030,9455
804,10630
12271,6375
2484,7605
8425,5046
3163,3567
6322,6653
11260,1860
3936,8006
13468,2777
13183,3278
11867,1710
5870,6187
11103,6879
6670,8415
9973,6739
12912,3452
3896,13890
6300,9304
2667,3807
872,10596
6210,9034
7143,6650
6659,4683
10038,5549
5946,5924
6594,8294
7247,7103
10018,6973
7985,972
9040,5649
4518,14056
1696,12696
2765,12668
2369,12674
3361,13932
8533,6266
1584,12184
1444,10598
1531,7922
1328,8381
7001,6433
7245,2548
9681,6321
4972,5082
7924,6912
12908,3412
1583,7468
7578,7914
1031,4084
10380,2890
4238,4116
8587,11876
10292,9822
7366,5226
12612,12514
12092,8035
4959,10362
12794,13334
8915,8303
4258,986
3073,13534
7268,6702
1696,11446
5673,5707
6826,6425
2487,12720
2589,12511
2323,7518
3658,3561
2711,1640
2809,12026
6318,9134
8623,6042
5001,3846
1401,10409
1751,11458
11773,4459
8850,6329
7103,7350
3149,3945
7794,868
4906,7928
13544,3423
13436,2592
13373,2573
10058,9841
9378,11326
10617,5580
4658,4628
6045,6047
4250,12190
4241,13556
4007,13826
1180,11315
6637,6558
4960,3749
5812,6252
9540,7186
7870,9894
5503,12751
10241,4962
11819,13068
7881,5635
9767,9338
8400,11741
11398,7012
8960,10644
2780,12999
9907,3105
10597,13025
1407,10750
2988,12401
2426,8776
1038,7561
1981,7664
7434,3366
4090,12979
9762,7017
9288,8746
6941,2966
7296,4944
2471,2623
6377,6428
6360,6680
6606,7040
6314,6700
14085,5753
9998,10980
12541,2820
8046,1898
12482,9700
8572,8906
13740,6987
3412,2814
10134,7750
11459,10669
2510,12444
3863,12526
2425,11898
9630,10217
8156,7881
7918,7799
9558,7315
12005,7609
10995,11035
12827,12270
9590,5466
6715,6359
8719,8613
6136,11050
3637,9103
5395,1113
3557,8864
1132,10984
4727,13690
6351,6219
8173,5284
8542,3450
4241,6076
12082,8974
8568,10230
1014,8712
9812,6034
4156,884
4219,3842
5662,3598
3411,3807
3790,3192
4294,14031
9680,5448
3002,1711
6454,12778
7916,11965
8359,6548
5500,6075
14111,6881
4436,13389
3268,7958
14016,8376
2070,1567
4244,11860
4873,10820
13120,4114
10326,2741
5616,5684
3013,13216
1734,11398
3912,13202
7259,6657
1840,11617
1734,11169
8040,7708
3937,5936
9437,2468
2225,12792
3776,10148
3430,8359
8207,6275
3596,9730
3983,13650
4531,12507
8679,4577
5924,1349
8181,7957
1261,4815
9144,9106
9605,9047
2268,11720
1175,12308
9771,4632
7437,4672
854,9326
1189,11554
1680,7019
3364,8665
1367,10425
5423,5549
4264,1103
3811,1711
882,9631
3422,11280
10311,5390
10100,9819
6225,5792
6740,6732
8622,7706
13866,4258
3663,13713
2897,13586
3550,13393
935,7747
10962,9890
5729,5079
10985,10512
13922,4910
13354,9428
1882,12017
5299,13374
7464,12298
13932,12171
9964,6092
4568,13918
4123,13909
8276,13679
10473,5597
2797,13602
7521,13252
13772,10455
1237,11487
6319,6205
9522,9707
5246,5418
4675,9902
9481,8768
2400,11694
788,10032
13714,9534
4186,13757
2086,13276
6272,7196
6895,7111
1689,4351
974,8354
2132,1246
6705,6496
4181,4728
5845,7375
12699,10672
10944,11402
11993,14249
2787,5575
7005,3902
6032,5583
6726,7206
7761,11739
10551,2796
7618,6920
1996,1445
4035,7866
1532,10721
7250,6883
7448,1206
10570,10180
3534,10840
5796,6615
11948,2486
7511,1248
12821,11143
4362,9459
12337,3189
6824,7248
3297,5163
1853,12239
6262,8255
7269,6897
4143,9308
9689,11042
4547,12184
10517,5331
10073,8598
12290,8714
10706,4480
9767,9556
952,11346
2326,2682
1717,4481
2495,13618
6137,10152
1258,9226
5502,5580
2285,1396
2955,2917
1319,660
6391,6303
8010,8385
8570,7502
9468,9567
13119,7427
8409,8685
5909,5530
10288,894
6907,6999
6325,7028
5796,6182
9775,4415
1811,7540
4483,4604
8407,5638
1441,4235
3642,3464
7672,7980
9976,4742
12823,2040
7927,1482
7066,6445
4752,8375
2476,3194
8095,3150
6251,8283
6268,13955
13240,8428
7275,7030
3293,9221
5220,9361
11086,10742
9970,10292
13128,3148
9718,9214
7757,7708
6921,6571
9089,8383
5333,8654
12436,1410
6740,14024
5426,5966
8067,7961
7536,8278
9752,4610
6740,9112
5286,1350
5937,5897
4408,4692
841,10515
1105,11041
11508,1444
8176,8645
7368,8937
9068,9725
13402,2443
3260,12824
8395,5702
9006,9634
3692,4168
9404,2263
6192,10088
9380,13452
1938,12371
11868,9119
11332,11132
13864,3914
3808,13959
13511,4614
8748,8955
8530,8697
8759,8960
9906,8800
10522,10877
10207,7724
10993,4587
11579,11269
12010,12545
13434,13601
1368,11842
3196,13409
1120,10147
2958,12699
2324,4627
6809,4292
2112,9864
9172,1308
8628,3964
7490,5063
5148,5448
8423,13312
1420,12846
3694,13534
4282,13538
9983,9432
13088,10841
784,10057
1364,12524
3975,12612
6751,7442
11638,1815
3636,12987
7680,13420
2107,11645
1266,9216
5894,6063
8687,8955
6180,9413
8796,1238
4092,13522
5202,8703
3317,10379
9872,9317
5216,9009
3269,10742
9298,13395
5643,5633
9870,4556
11159,9813
7428,7805
7324,8714
9082,8898
12242,9572
4768,9253
1426,11092
4940,3035
4177,11634
5556,5612
3711,9892
8032,10212
11354,11735
4566,14012
10858,11178
5323,9026
10284,13434
5776,9025
11911,10809
9092,13774
7718,9544
10682,5606
9801,6460
8638,4527
8546,8783
6807,4921
8645,3822
7859,3472
7501,4989
1614,9948
2046,4256
5268,9403
3102,12692
6936,6868
7555,11254
6005,1872
2144,3179
4108,2284
7332,4765
8628,6646
3005,2503
3356,13134
11596,6746
10102,9692
8693,3428
7622,3813
9930,6952
9904,4428
11025,4302
