x,y
5932,7452
9182,8977
8605,8381
7736,10236
1539,2335
9928,9952
12836,5306
4974,9236
3140,11740
9772,10406
4444,4203
9000,9956
6248,6324
10680,1444
13043,2664
1100,5847
6616,4520
1353,2188
1738,2012
1774,2058
985,1343
8144,13784
11846,9688
9129,14060
12382,1810
7352,7961
6612,6163
4632,4386
1261,11120
13989,4041
2844,6237
2600,11760
13618,5862
13205,4990
14046,6735
13365,8014
7691,7325
10041,9603
9361,11444
12064,11725
8331,7815
5236,5882
12487,2553
10365,1121
4248,9880
8371,7946
8339,7296
3043,1570
2790,1956
1653,3581
13920,4295
7868,10401
5854,7168
7088,4140
4066,4696
9752,9636
7095,6670
3526,2951
8544,5518
7642,6690
9238,8852
8409,8714
8416,8163
7690,9995
11826,6694
12290,8746
9987,9331
4490,9888
6586,12810
13196,13711
12792,13649
10071,1556
11490,3461
10315,8442
7985,8254
8711,9255
10334,10103
14022,6180
11701,3040
6987,6210
6194,6643
10654,3173
10551,1261
10964,4728
8620,8796
12748,2030
12899,2921
13211,4148
14091,7283
11679,4131
13156,7858
11475,6097
12503,2100
7976,4008
8615,5822
7685,6588
5302,4804
13304,4594
3168,8134
2327,4362
9512,6173
6252,13203
8275,10106
9649,2426
1120,10759
1792,11377
6455,6368
5230,5541
7244,10976
7599,13644
3708,13865
7975,5260
8205,6654
7985,4933
8850,9293
8670,8736
7703,7592
10146,10985
5073,13593
3910,10517
5177,12430
8322,13645
11920,7579
11293,5156
10170,8121
9923,11425
10740,1598
10160,849
13539,8544
6921,8068
7500,7044
5481,5786
10980,8908
10116,8868
11692,4870
12596,4970
8720,4304
13230,3002
12755,2830
9471,9953
10051,4989
6144,9103
4078,9288
2484,3691
6136,9396
1836,12884
1932,12308
1246,12216
10856,5487
13145,5153
12550,7441
11478,6666
11398,6162
13217,7566
8624,5216
13850,6306
5847,13724
13053,10550
8976,8240
12737,2347
11581,1606
13757,9053
8024,6767
7931,6864
10958,1103
5192,6118
6423,1615
7255,7296
6908,6672
4008,3008
3850,3755
6353,1814
7939,1908
2268,13557
2122,11847
13889,12197
14175,11731
6372,6252
10746,1311
6699,6433
6456,13696
3149,3945
2856,3696
6896,1015
7794,868
7947,958
3066,3512
5399,5816
4634,7558
4906,7928
5212,7580
6216,9486
9752,3396
10266,2670
9493,5841
11002,5531
13355,4035
8525,6821
9717,5839
3999,12506
4470,9623
3779,9325
6450,9594
13621,13178
11064,3442
11537,6581
11263,4953
14060,4330
7226,8094
6556,7052
6867,6631
10133,8018
7106,7556
8815,7391
9926,3850
10059,13282
12478,2815
9051,6351
5376,6140
10989,4073
13836,4061
6269,7066
5146,5860
10697,868
4436,4848
4402,4733
4574,9955
13395,7323
2256,2105
6503,3301
5443,12863
8969,6187
7649,8106
8522,8547
4246,9708
11024,2050
13214,2276
6351,6219
12501,1370
5997,2490
2560,8177
4241,6076
4790,7094
12086,11759
10982,11878
10593,11224
9132,7510
9388,11369
6542,7100
1009,8881
7599,8674
3529,7268
6456,965
576,3552
1440,3177
7724,5902
9951,6650
6938,11349
8719,8495
7998,4808
10625,12678
8200,6215
10011,6966
3274,4957
11228,4916
11005,10511
11971,12296
11208,5650
7201,6268
8901,8808
9902,6219
6439,11181
10207,860
5994,6325
9116,9248
9810,10360
10707,11606
11263,11825
10872,11502
11224,10989
2946,7684
1869,7540
2412,5533
2792,2033
711,1463
9477,4427
10011,5339
8199,6380
8482,7952
11664,5096
5454,5577
7750,7186
7599,7138
6262,6753
4256,4735
7630,4932
9958,9576
9977,9019
9641,8912
9967,7834
7864,6500
6773,6907
13529,3206
8116,7408
5790,9419
6932,13745
5136,8992
7404,6175
7824,11069
9597,3457
3922,9765
5276,9322
5153,10511
10014,5895
7903,5077
13517,3473
2585,6607
4175,4696
10657,1125
8719,5598
6396,8209
8475,8836
7414,7676
9801,11152
2705,5524
3791,696
3209,602
2831,13671
6120,8448
6677,9543
2956,11219
10021,10622
9628,11238
12263,11614
10992,892
13738,7835
6025,8647
8722,13610
6705,13278
6974,13208
3261,1731
3991,3892
4345,4654
5020,5201
4144,3848
9068,8308
5580,5348
5210,3769
6682,7119
9546,11286
4901,5922
5162,10596
6814,1281
11236,10750
7617,3164
6391,2430
6077,10357
2042,11600
3162,7889
3115,7340
10203,2902
10697,1773
8003,1027
7098,888
11075,969
10523,1163
9361,2383
13714,10057
2701,7210
5008,4948
8663,5363
8784,8774
12198,2699
11701,1746
13495,4080
5319,5506
8169,8003
8378,6949
6546,4589
4779,4426
1015,10644
6171,6501
4471,2242
4324,772
5041,10143
6672,6393
6691,7128
7631,7001
