x,y
828,7764
6095,6372
3724,4313
9313,1428
13906,10670
6470,8250
8564,13917
2887,10024
1325,7026
991,5291
5223,5505
2568,4227
1926,12884
2202,12813
6804,6916
4644,4947
4966,6062
13467,10172
1658,10933
6073,1321
735,6393
2636,6799
4754,6230
2624,5758
13104,3172
5113,8608
968,5887
1329,11361
2124,12458
988,5278
1660,7640
9540,5523
1857,11373
1352,11612
3178,7734
4640,12016
4922,5802
3266,8343
11954,11128
7836,6008
5288,3694
4263,12631
3588,1906
1410,11732
1584,10248
3535,12897
4153,11720
4128,13580
2074,9649
7811,13833
8292,13297
7916,8344
12783,13450
11883,1531
1854,11789
2599,9885
3572,9122
7306,3424
4544,4251
4436,4411
6189,4844
8290,8539
13715,3554
12238,1400
5927,1308
4274,12693
5241,6048
6594,4528
2028,4624
2152,9780
2699,11444
2431,12119
2248,11851
1494,10622
4287,13191
12161,11482
9353,13394
1603,11625
2865,12010
4102,13467
4235,13407
5967,11370
3276,13296
6004,12514
9019,13569
4388,4374
979,6054
6378,10050
3922,3438
2331,12000
3023,10997
2012,11730
5410,12446
4131,13871
2261,13305
8815,9000
1053,8563
6788,6217
8934,958
8140,7524
2614,1902
1428,11476
2555,12985
2600,12930
7319,6019
4459,3025
7236,1044
3364,1898
3550,13535
3059,13007
1494,11580
3538,13364
5534,5110
6230,4897
6596,6504
1705,8152
7907,2410
5968,1143
4387,13607
2718,12305
9160,1996
9233,7285
4680,10578
5728,5722
2835,13389
8070,7100
11686,1887
13804,5501
7957,10117
7274,7644
7522,10111
3530,13162
12857,7329
6161,11039
1376,11745
2227,12290
10715,1260
4062,5988
7192,7970
8780,5624
1165,1085
1481,11412
10317,9947
7205,6659
7465,7063
11759,2391
3539,10266
11020,10294
2137,12874
4029,13256
9608,10168
6743,6870
13863,10643
8370,10315
12496,12960
2287,12728
3506,8296
1636,10998
1749,9844
1288,11548
8376,8356
9647,10246
8010,8516
8463,8843
11971,10172
3719,13179
3355,11807
1614,8141
1700,10906
1988,1125
4409,9355
13662,3376
4987,4954
4966,10325
7683,4870
3019,11177
4598,13643
1144,10941
3506,12980
5931,6148
8803,6017
5898,7330
9500,9717
7060,6545
8702,6237
4848,3743
6453,11499
5583,5148
7046,3089
8268,6896
7834,7547
6824,8090
11937,6919
1682,10672
10984,13731
2100,12906
3500,13280
3964,13467
10640,5618
11880,11167
4261,13424
9481,13181
1599,11501
3500,13023
3011,7606
10888,10703
10849,10655
4220,14034
12768,11946
1755,11610
7222,1250
3908,3644
3613,13216
1621,11227
2364,12477
1838,12863
1556,12008
2891,13631
1395,10934
2058,12143
2084,12802
3404,11636
1080,11960
6047,5751
7234,2563
2020,11986
1530,11481
1104,10954
3216,13380
3949,13880
876,10318
4732,10033
5268,4847
4781,8233
7268,766
3306,3982
1701,1067
5528,13067
6887,13476
9988,7006
8784,11508
9458,12214
13124,9561
12708,11029
9086,11287
10524,11366
9336,9461
11410,12744
7402,6291
11317,9752
8696,9060
11222,13404
3728,3323
5916,6095
8323,13641
7220,1555
8429,13458
982,1382
2985,12369
3202,12875
4005,13894
6147,6008
8286,8864
5726,5325
6142,3542
1974,11741
2096,11631
6637,9452
805,10265
2248,12170
1320,10924
1305,6960
1424,6984
2268,13557
13503,9224
10190,10226
3447,12925
5268,13483
4649,13614
4991,13780
4892,13874
8734,8076
10668,11234
11958,2938
12546,10392
6428,8173
6248,4300
9384,9844
8340,13974
12255,12752
1607,10943
6625,6467
6587,9607
5523,5321
4839,5183
4769,1272
1904,12862
2317,12947
3825,13420
2088,11892
3832,9489
4125,13417
9562,5398
9063,9363
10708,9978
4772,4498
11566,4356
3460,7064
1128,9750
8964,10747
7312,7175
11572,13201
1749,12261
3043,12902
1556,11994
1845,11430
1099,10080
1915,9562
1712,11098
1693,7745
9982,9015
13264,9530
13188,9817
10893,12245
3244,13475
2885,12675
7594,13627
9696,6289
2408,12301
4094,4556
7803,977
3555,3992
2726,12916
3456,10072
798,10088
980,10793
14064,6392
13912,12634
11060,4805
13168,12784
2766,12300
821,10364
5708,12537
12061,10598
8779,10433
9772,13956
13264,6466
1170,12288
2068,11785
1084,11383
6053,10947
9880,9547
7093,6523
1764,12619
3372,13326
10604,11138
6721,9390
4550,11808
1045,10664
8062,7050
10000,9383
4415,11885
4214,11536
10256,8687
14184,12936
1244,5787
1506,10009
12675,7204
9123,1436
12925,2011
5394,13354
7872,1602
11119,3912
2489,1776
1683,13014
3418,13778
1018,11731
8096,1412
1295,11654
6352,1111
2721,11779
4729,1085
3904,9764
9800,2497
931,11565
3641,9929
1682,12909
4104,10006
